,标题,总价格,单价,地段,小区名,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,户型介绍,售房详情,税费解析,小区介绍,周边配套,权属抵押,适宜人群,房源核验码
14,交通便利 生活设施完善 商场 采光好,85万,8965,溧阳市溧阳,中央花园(溧阳市),2室1厅1厨1卫,高楼层 (共6层),94.82㎡,暂无数据,暂无数据,暂无数据,南 北,未知结构,精装,暂无数据,无,暂无数据,2023-11-27,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,交通便利 生活设施完善 商场 采光好,户型周正，格局分布合理，空间感好，通透性强，居住舒适: 2、楼层佳，朝向南北，视野开阔,,契税:A:首套 90平米以下1%B:首套90平米以上1.5%C;二套90平米以下1%D:二套90平米以上2%E:三套3%2.满2年免征，不满2年全额征收5.35%3.个人 :不满5年征1%满5年且房东名下唯一住房可免,小区生活实施齐全，商场，菜市场，银户型周正，格局分布合理，空间感好，通透性强，居住舒适: 2、楼层佳，朝向南北，视野开阔行等。2:小区内有健身器材，可供小区居民使用。3:小区停车位充足，建有地面临时停车位,,,,0003396
15,曹山未来城 三室两厅一厨一卫 楼层好 采光充足,125万,12887,溧阳市溧阳,环球融创·曹山未来城,3室2厅1厨1卫,中楼层 (共8层),97㎡,平层,暂无数据,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2024-03-16,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,住宅房.旅游环球融创.曹山未来城，环境好，事宜居住养老,户型.是三室两厅一厨一卫的房子，一家三口够居住，平时也可以当旅游居住点,交易方便，价格优惠，诚心出售，看房提前联系都可以看，交通也方便，,,,,,此小区事宜养生的业主们环境空气好旅游城适合长期居住有配套医疗也方便,
16,北水西花園 3室1厅 南,131万,11734,溧阳市溧阳,北水西花園,3室1厅1厨1卫,高楼层 (共11层),111.65㎡,暂无数据,暂无数据,暂无数据,南,未知结构,其他,一梯两户,有,暂无数据,2024-03-06,商品房,暂无数据,普通住宅,暂无数据,非共有,暂无数据,未上传房本照片,,,,,,,,,
17,岗头新村 3室2厅 南 北,75万,5220,溧阳市溧阳,岗头新村,3室2厅1厨2卫,高楼层 (共6层),143.7㎡,暂无数据,暂无数据,暂无数据,南 北,未知结构,其他,暂无数据,无,暂无数据,2024-02-22,商品房,暂无数据,普通住宅,暂无数据,非共有,暂无数据,未上传房本照片,,,,,,,,,
18,凤仪湾 3室2厅 南 北,125万,10965,溧阳市溧阳,凤仪湾,3室2厅1厨2卫,高楼层 (共6层),114㎡,暂无数据,暂无数据,暂无数据,南 北,未知结构,精装,暂无数据,无,暂无数据,2024-02-23,商品房,暂无数据,普通住宅,暂无数据,共有,暂无数据,未上传房本照片,,,,,,,,,
19,环球融创·曹山未来城 3室2厅 南,180万,15550,溧阳市溧阳,环球融创·曹山未来城,3室2厅0厨2卫,高楼层 (共8层),115.76㎡,平层,暂无数据,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2024-03-04,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 业主自还,未上传房本照片,,,,,,,,,
20,光明英伦尊邸 3室2厅 南 北,124万,9254,溧阳市溧阳,光明英伦尊邸,3室2厅1厨2卫,高楼层 (共26层),134㎡,暂无数据,暂无数据,暂无数据,南 北,未知结构,其他,两梯两户,有,暂无数据,2024-03-19,商品房,暂无数据,普通住宅,暂无数据,非共有,暂无数据,未上传房本照片,,,,,,,,,
21,文化新村一区 2室1厅 南,20.8万,4334,溧阳市溧阳,文化新村一区,2室1厅1厨1卫,中楼层 (共7层),48㎡,暂无数据,暂无数据,暂无数据,南,未知结构,其他,暂无数据,无,暂无数据,2024-03-05,商品房,暂无数据,普通住宅,暂无数据,非共有,暂无数据,未上传房本照片,,,,,,,,,
22,时代天悦 3室2厅 南 北,165万,15000,溧阳市溧阳,时代天悦,3室2厅1厨2卫,中楼层 (共26层),110㎡,暂无数据,暂无数据,暂无数据,南 北,未知结构,其他,暂无数据,暂无数据,暂无数据,2024-03-03,商品房,暂无数据,普通住宅,暂无数据,非共有,暂无数据,未上传房本照片,,,,,,,,,
23,金顶名都 3室2厅 南 北,189万,12600,溧阳市溧阳,金顶名都,3室2厅1厨2卫,低楼层 (共25层),150㎡,暂无数据,暂无数据,暂无数据,南 北,未知结构,其他,两梯三户,有,暂无数据,2024-03-20,商品房,暂无数据,普通住宅,暂无数据,非共有,暂无数据,未上传房本照片,,,,,,,,,
24,西城花园Ⅱ区 3室2厅 南 北,172.8万,12343,溧阳市溧阳,西城花园Ⅱ区,3室2厅1厨2卫,高楼层 (共26层),140㎡,暂无数据,暂无数据,暂无数据,南 北,未知结构,其他,四梯两户,有,暂无数据,2024-03-05,商品房,暂无数据,普通住宅,暂无数据,非共有,暂无数据,未上传房本照片,,,,,,,,,
25,福阳山庄 3室2厅 南,130万,10848,溧阳市溧阳,福阳山庄,3室2厅1厨2卫,中楼层 (共5层),119.84㎡,暂无数据,暂无数据,暂无数据,南,未知结构,其他,暂无数据,无,暂无数据,2024-03-16,商品房,暂无数据,普通住宅,暂无数据,非共有,暂无数据,未上传房本照片,,,,,,,,,
26,华府天第 2室1厅 南 北,130万,13334,溧阳市溧阳,华府天第,2室1厅1厨1卫,低楼层 (共20层),97.5㎡,暂无数据,暂无数据,暂无数据,南 北,未知结构,毛坯,两梯三户,有,暂无数据,2024-02-29,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,,,,,,,,,
27,庄家小区 3室2厅 北 南,125万,10246,溧阳市溧阳,庄家小区,3室2厅1厨1卫,低楼层 (共6层),122㎡,暂无数据,暂无数据,暂无数据,北 南,未知结构,其他,暂无数据,无,暂无数据,2024-02-24,商品房,暂无数据,普通住宅,暂无数据,非共有,暂无数据,未上传房本照片,,,,,,,,,
28,中央花园(溧阳市) 3室2厅 南 北,119.8万,9345,溧阳市溧阳,中央花园(溧阳市),3室2厅1厨1卫,高楼层 (共6层),128.21㎡,暂无数据,暂无数据,暂无数据,南 北,未知结构,精装,暂无数据,无,暂无数据,2024-01-12,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 80万元,未上传房本照片,,,,,,,,,
29,御湖城 3室2厅 南 北,150万,10996,溧阳市溧阳,御湖城,3室2厅1厨2卫,低楼层 (共24层),136.42㎡,暂无数据,暂无数据,暂无数据,南 北,未知结构,其他,两梯四户,有,暂无数据,2024-03-21,商品房,暂无数据,普通住宅,暂无数据,非共有,暂无数据,未上传房本照片,,,,,,,,,
