,标题,总价格,单价,地段,小区名,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,周边配套,权属抵押,交通出行,小区介绍,税费解析,户型介绍,售房详情,房源核验码,查询房管备案记录,适宜人群,别墅类型,装修描述,用水类型,用电类型,燃气价格
22,小高层 2梯2户 全天采光 房东诚心出售,159万,13998,天宁区茶山,华润·中央公园,3室2厅1厨1卫,中楼层 (共33层),113.59㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯三户,有,暂无数据,2024-03-12,商品房,2019-03-12,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,户型方正，采光无遮，小区环境优美,,,,小区地理位置，绿化，居民素质高 配套：有健身器材，小型篮球场，可供小区居民使用 车位：停车位充足，建有地上停车场和地下车库 保安：小区内24保安巡逻,契税：A首套 90平以下1% B首套 90平以上1.5% C二套90平以下1% D二套90平以上2% E三套都是3% 增值税：满两年免征 不满2年权.额征收5.6% 个人所得税：不满5年征1%,,此房业主诚心出售，产权清晰 ，证件齐全， 看房方便，， 放心购买,,,,,,,,
23,开发商精装房东诚心出售带正衡空置,225万,21429,天宁区茶山,龙运天城,3室2厅1厨2卫,低楼层 (共25层),105㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2024-02-27,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,龙运天成 开发商精装 中间楼层采光好,位于朝阳成熟商圈，配套齐全，银行，医院，饭店，小吃，吃喝玩乐都全。,,,小区旁成熟社区，配套设施齐，菜场、娱乐场所、公园、银行、医院，适宜居住,1.契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％，二套房90平以上成交价的2%；2.增值税：产证满2年免收增值税，未满2年征收5.3％； 3.个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%。,,,,,,,,,,
24,龙运天城精装修 地暖空调 新风系统 看房方便,205万,17827,天宁区茶山,龙运天城,3室2厅1厨2卫,低楼层 (共25层),115㎡,平层,暂无数据,板塔结合,东南,钢混结构,精装,两梯四户,有,暂无数据,2023-12-06,商品房,2023-09-13,普通住宅,未满两年,共有,无抵押,已上传房本照片,小区旁成熟社区，配套设施齐，菜场、娱乐场所、公园、银行、医院，适宜居住,1.契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％，二套房90平以上成交价的2%；2.增值税：产证满2年免收增值税，未满2年征收5.3％； 3.个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%。,,,位于朝阳成熟商圈，配套齐全，银行，医院，饭店，小吃，吃喝玩乐都全。,,,,022400136844,龙运天城精装修 地暖空调新风系统 带软装 有车位 看房方便,,,,,,
25,银河湾明苑二期 诚心出售 楼层佳视野开阔,175万,13424,天宁区茶山,银河湾明苑二期,3室2厅1厨2卫,中楼层 (共34层),130.37㎡,暂无数据,102.45㎡,板塔结合,南,钢混结构,毛坯,两梯四户,有,暂无数据,2023-10-31,商品房,2012-04-24,普通住宅,暂无数据,共有,无抵押,已上传房本照片,楼层好户型方正，小区物业环境好，楼层视野采光无遮挡。,交通便利：公交车方向众多，外部道路宽阔，交通十分便利；3.生活便利：小区内有，合理分布便利，生活用品及买菜十分便利，生活轻松。,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同。价格可商量，房子保养好。,,,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%。",,,,,,,,,,
26,此房格局好 视野开阔 采光充足 配套设施齐全 交通便利,115万,10551,天宁区茶山,同济花园,3室2厅1厨1卫,高楼层 (共6层),109㎡,暂无数据,暂无数据,暂无数据,南,未知结构,简装,暂无数据,暂无数据,暂无数据,2023-05-02,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,此房格局好 视野开阔 采光充足 配套设施齐全 交通便利,朝阳综合市场，德安医院，银行交通银行，中国工商银行，中国工商银行，邮政储蓄.,,,小区生活设施齐，商场、菜市场、银行等，交通便捷 2.小区内有健身器材，小型篮球场，可供小区居民使用 3.小区内停车位充足,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,,,,,,
27,青果巷旁桃园新村三房好楼层采光无遮挡,225万,26094,天宁区茶山,桃园新村,3室2厅1厨1卫,中楼层 (共5层),86.23㎡,平层,暂无数据,板楼,南,砖混结构,简装,暂无数据,暂无数据,暂无数据,2024-02-28,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,楼层好采光无遮挡三房采光无遮挡,小区附 近有商场，菜场，地铁，医院，红梅公园和东坡公园，生活设施一应俱全,,,桃园新村位于红梅公园南方向，社区24H物业服务，绿化高，社区里有水景公园（现在水池没有注水），紫藤、绿树很多 社区东侧1KM有东坡公园、儿童医院，一院、中医院、二院都在2KM范围内，医疗配套优秀,,户型方正，厅房分离，私密性比较好 ，冬天阳光直射房间，生活很舒适,,,,,,,,,
28,元丰苑，3楼，有钥匙，看房方便,250万,27133,天宁区茶山,元丰苑,2室2厅1厨1卫,中楼层 (共7层),92.14㎡,暂无数据,暂无数据,板楼,南,混合结构,简装,暂无数据,暂无数据,暂无数据,2024-02-02,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,元丰苑，3楼，有钥匙，看房方便,医院：常州市中医院、常州市第二人民医院 购物：瑞和泰，世纪华联市(麻巷店)、常购连锁市NO.093、物美市(红梅南路)，元丰菜场 其他：红梅公园、东坡公园、天宁寺,,,小区闹中取静，24小时安保 环境优美 小区居民整体素质比较高 值得入住,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,,,,,,
29,朝阳四村北区精装两房 采光好无遮挡成熟社区拎包入住,48万,8222,天宁区茶山,朝阳四村北区,2室1厅1厨1卫,高楼层 (共6层),58.38㎡,暂无数据,暂无数据,板楼,东南,砖混结构,精装,一梯四户,有,暂无数据,2024-03-07,商品房,2014-10-28,普通住宅,暂无数据,共有,无抵押,已上传房本照片,朝阳四村北区精装两房 满五 房东诚售 随时看房,"：
朝阳综合市场，大润发卖场，弘阳广场，德安医院，银行交通银行，中国工商银行，中国工商银行，邮政储蓄，弘阳广场。",此房无贷款，无抵押，产权清晰。房东对付款无要求，按照正常首付就可以。,,,税费解析：此房满五唯一，故个税是0%。契税：首套房90平米以下是成交价的1％，90平米以上是成交价的1.5％； 二套房90平米以下是成交价的1％，90平米以上是成交价的2％；三套房是成交价的3％。,,,,,,,,,,
30,龙游路 朝阳四村 中间楼层 简装 价格可以谈 两房朝南,48.8万,8134,天宁区茶山,朝阳四村北区,2室1厅1厨1卫,中楼层 (共5层),60㎡,暂无数据,暂无数据,暂无数据,南,未知结构,简装,暂无数据,暂无数据,暂无数据,2024-02-21,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,龙游路 朝阳四村 中间楼层 简装 价格可以谈 两房朝南,儿童医院，常州中医院，弟一人民医院，大润发，朝阳菜场，交通便利，出行方便。,,,,契税：首套房90平米以下是成交价的1％，90平米以上是成交价的1.5％； 二套房90平米以下是成交价的1％，90平米以上是成交价的2％；三套房是成交价的3％,,此房权属清晰，房东诚心出售的，全明户型，拎包住。看房方便，过户过程都全程陪同,,,,,,,,
31,诚心出售，随时看房，看房方便，价格可谈,99万,10061,天宁区茶山,丽华新村,3室1厅1厨1卫,高楼层 (共6层),98.4㎡,暂无数据,暂无数据,塔楼,南 北,钢混结构,简装,一梯两户,有,暂无数据,2022-09-04,商品房,1998-09-05,普通住宅,满五年,共有,无抵押,已上传房本照片,此房户型方正，阳光充足，交通便利，,成熟商圈，配套齐全，银行，医院，饭店，小吃，离市区近，吃喝玩乐都全。,此房无抵押，无查封，产权清晰，可以立即过户。房东诚心出售，价钱可谈。,小区楼下有共享单车，和两个公交站台，门口公交有多条线路，可到达江南商场，火车站等，交通四通八达，小区门口即是环城主干道，可通往常州各个区域。,,,,,,,,,,,,
32,东城明居 新上小面积 诚心出售，方便看房,108万,13974,天宁区茶山,东城明居,2室2厅1厨1卫,低楼层 (共18层),77.29㎡,平层,61.92㎡,板塔结合,南,混合结构,精装,暂无数据,暂无数据,暂无数据,2023-11-06,商品房,2011-07-11,普通住宅,暂无数据,共有,无抵押,已上传房本照片,小区配套齐全，朝阳新菜场，弘阳广场购物方便，交通便利,朝阳综合市场，大润发卖场，弘阳广场，德安医院，银行交通银行，中国工商银行，中国工商银行，邮政储蓄，弘阳广场。,此房无贷款，产权清晰。房东对付款无要求，按照正常首付就可以。,,,税费解析：此房满二，故个税是1%。契税：首套房90平米以下是成交价的1％，90平米以上是成交价的1.5％； 二套房90平米以下是成交价的1％，90平米以上是成交价的2％；三套房是成交价的3％。,,,,,,,,,,
33,天翼 御品苑  精装 采光无遮挡，小区环境比较好,175万,15048,天宁区茶山,天翼·御品苑,3室2厅1厨1卫,中楼层 (共16层),116.3㎡,平层,94.98㎡,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-11-15,商品房,2012-08-06,普通住宅,暂无数据,共有,无抵押,已上传房本照片,户型比较好，端正，精装，采光无遮挡，小区环境比较好,新怡华，交通银行，中国工商银行，中国农业银行，邮政储蓄，绿地公园,,公交】1、 清凉东站 （6路; 16路; 33路; 33路高峰; d7路） 2、 三宝浜桥 （6路; 16路; 33路; 33路高峰; d7路）,小区地址：天宁浦前东路北侧、清凉新村南侧 所属区域：天宁 兰 陵邮 编：213000 产权描述：70年 物业类别：住宅 建筑年代：2011年建成,,,,,,,,,,,
34,私房，天鹅湖旁，杨家花园别墅边户，采光好，大院子,360万,15333,天宁区茶山,杨家花园,4室2厅1厨3卫,低楼层 (共2层),234.8㎡,跃层,暂无数据,板塔结合,东南,钢混结构,简装,暂无数据,无,暂无数据,2022-08-19,商品房,2006-08-20,普通住宅,暂无数据,共有,无抵押,已上传房本照片,私房，中吴大道天鹅湖旁，杨家花园别墅边户，采光好，前后大院子,配套齐全，有蔷薇公园，大型购物市场，天鹅湖的好邻菜场， 多条公交路线，更便捷， 门口就有大饭店，购物场所，金店。,,,,"【二手房交易所需税费】
1、	首套房90M以下1％、90M以上1.5％；
2、	二套房90M以下1％、90M以上2％；
3、	三套房不论面积统一3％.
4、个税：满二年不满5年1％",1，户型方正，格局分布合理，空间感好，通透性强，居住舒适 2，2开间，3层，有个前面大院子，可以停车，种花栽菜都很美，1楼两个南客厅，全屋主功能间都带有窗户。,,,,"，本房源是装修好，利用空间大，楼上楼下共3层，前后还有大院子，边户，可以种菜种花，都很漂亮
2，房子是有多个房间，适合家庭成员多的家庭。
3，小区门口就是幼儿园小区内有儿童游乐场，适合有孩子和老人的家庭",,,,,
