,标题,总价格,单价,地段,小区名,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,小区介绍,税费解析,交通出行,房源核验码,查询房管备案记录,户型介绍,周边配套,适宜人群,装修描述,权属抵押,别墅类型,售房详情
10,此房户型方正，三室两厅一厨一卫 中间楼层 采光充足,105万,11798,钟楼区新闸,光明当代拾光里,3室2厅1厨1卫,中楼层 (共16层),89㎡,暂无数据,暂无数据,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-12-04,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押 100万元 江南农商银行 业主自还,未上传房本照片,此房户型方正，三室两厅一厨一卫 中间楼层 采光充足 配套完善,小区地理位置好 绿化好 居民素质高 配套：有健身器材 小型篮球场 可供小区居民使用 车位：停车位充足 地面人车分流保安：小区内24保安巡逻,"1.契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%, 2.增值税：产证满2年免收增值税，未满2年征收5.6％； 3.个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,,小区环境优美，舒适安静，适宜居住，服务有保障。出门即有公交菜场，银行 商场 美食等 人文素养好，乐于助人，相处和谐！配套齐全，公园地铁医院商,,,,
11,钟楼荷园新小区 荷樾府远离铁路诚意出售 满二看房随时,120万,12100,钟楼区新闸,光明荷樾府,3室2厅1厨1卫,中楼层 (共27层),99.18㎡,暂无数据,73.39㎡,暂无数据,南 北,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2024-01-07,商品房,2022-04-26,普通住宅,未满两年,非共有,无抵押,已上传房本照片,公园旁 客厅宽敞舒适，使用率高 ，朝南户型,,,龙城高架和龙江路高架，沟通南北，贯穿东西，交通便利，出行无忧,,,户型 朝南舒适，全天采光。房型方正视野好。干湿分离 格局分明,成熟社区，配套设施齐，菜场，娱乐场所，公园 银行 医院，适宜居住 让你步行就满足一切生活所需,小区环境优美，舒适安静 适宜居住，出门即有公交菜场，银行 美食等 人文素养好，乐于助人，相处和谐 总价低、首付低，高享受,,,,
12,绿地世纪城 顶楼大平层 大露台 阳光房 精装拎包即住,158万,9888,钟楼区新闸,绿地世纪城c区,4室2厅1厨2卫,高楼层 (共33层),159.79㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2023-06-01,商品房,2015-08-05,普通住宅,暂无数据,非共有,有抵押,已上传房本照片,顶楼大平层 大露台 阳光房 精装拎包即住,绿地世纪城占地面积409亩，总建筑面积约76万平米，位于龙城大道、龙江路交汇处，飞龙居住区，距市政府道路距离约4公里。借助龙城快速干道、长江路可快速抵达市；社区内规划物业品类丰富，集中布置小高层、高层、联排别墅,"1.税费信息
A.首套 90平以下1%
B.首套90平以上1.5%
C.二套90平以下1%
D.二套90平以上2%
E.三套或以上3%

2.增值税：满2年免征，不满2年全额征收5.6%

3.个人所得税：不满5年征1%，满5且家庭 住房，省个税",天山花园 （98路; 1111路; 1811路） 953米【公交】 绿地世纪城 （98路） 596米【公交】 飞龙首末站 （526路; 1111路; 1811路） 492米【公交】 龙江路龙城大道 （526路） 406米【公交】 飞龙公交枢纽北 （98路; 111路; 213路）,,,,,,,,,
13,绿地三期 顶复 不靠高架 诚心出售,260万,13839,钟楼区新闸,绿地世纪城A区,4室2厅1厨2卫,高楼层 (共11层),187.88㎡,复式,暂无数据,板塔结合,南 北,钢混结构,精装,暂无数据,暂无数据,暂无数据,2022-07-16,商品房,2015-12-14,普通住宅,暂无数据,共有,有抵押,已上传房本照片,此房满五 顶复 不靠高架  无遮挡 小区配套全,,90平以内首套房契税1%，二套房1%，三套或以上3% 2、90平以上首套房契税1.5%，二套房2%，三套或以上3% 3、不满两年增值税5.6%，满两年免增值税 4、满五年唯一免个税1%,天山花园 （98路; 1111路; 1811路） 953米【公交】 绿地世纪城 （98路） 596米【公交】 飞龙首末站 （526路; 1111路; 1811路） 492米【公交】 龙江路龙城大道 （526路） 406米【公交】 飞龙公交枢纽北 （98路; 111路; 213路） 房主自荐(业主对房源的描述),,,,1、小区生活设施齐全，菜市场、银行，交通便捷； 2、小区内有健身器材，可供小区居民使用； 3、小区内停车位充足，建有地上停车场,,,,,
14,钟楼区，荷园旁次新房，精装修未住过，楼层采光好,195万,19662,钟楼区新闸,光明荷樾府,3室2厅1厨1卫,高楼层 (共27层),99.18㎡,平层,73.39㎡,暂无数据,南,未知结构,精装,暂无数据,暂无数据,暂无数据,2023-11-21,商品房,2022-05-11,普通住宅,未满两年,非共有,有抵押 100万元,已上传房本照片,"1，小区是封闭式管理小区，配有大花园，环境优美，24小时的安保，儿童游乐设施，门口就有幼儿园，接娃方便。,
2，小区成熟，购物交通便利，上学近，步行就可到达
3，适合预算有限，想给孩子一个较好小区环境的年轻家庭。",,,,042472707773,钟楼区，荷园旁次新房，精装修未住过，楼层采光好,距离荷园仅800米，距离飞龙吾悦直线距离仅1500米，距离大卖场仅2000米。龙城高架近在咫尺，出小区门口行驶两百米直接可以上高架了。距离高铁北站仅5千米，出行方便,房子为商品房，满2年 ，面积大于90平，首套房契税为1.5% 二套房的契税为2% 三套及以上为3%,"1，户型方正，格局分布合理，空间感好，通透性强，居住舒适
2，楼层位置不影响采光，
3，2个卧室朝南，客厅带阳台显客厅宽敞
4，全屋主功能间都带有窗户，明厨明卫，更响亮。",,,,
15,房子新装修没怎么住，业主外地考虑置换，价格可谈,149万,16667,钟楼区新闸,绿地世纪城A区,3室2厅1厨1卫,低楼层 (共33层),89.4㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2022-09-16,商品房,2019-09-04,普通住宅,暂无数据,共有,有抵押 68万元 苏州银行 业主自还,已上传房本照片,此房满五唯一 不靠高架 户型方正 配套全 看房子方便,,90平以内首套房契税1%，二套房1%，三套或以上3% 2、90平以上首套房契税1.5%，二套房2%，三套或以上3% 3、不满两年增值税5.6%，满两年免增值税 4、满五年唯一免个税1%,天山花园 （98路; 1111路; 1811路） 953米【公交】 绿地世纪城 （98路） 596米【公交】 飞龙首末站 （526路; 1111路; 1811路） 492米【公交】 龙江路龙城大道 （526路） 406米【公交】 飞龙公交枢纽北 （98路; 111路; 213路） 房主自荐(业主对房源的描述),,,,1、小区生活设施齐全，菜市场、银行，交通便捷； 2、小区内有健身器材，可供小区居民使用； 3、小区内停车位充足，建有地上停车场,,,,,
16,绿地世纪城A区精装   精装大三房  房东诚信出售,175万,13449,钟楼区新闸,绿地世纪城A区,3室2厅1厨2卫,高楼层 (共27层),130.13㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯三户,有,暂无数据,2021-04-04,商品房,2015-12-03,普通住宅,暂无数据,共有,无抵押,已上传房本照片,此房已经满2年，随时可以交易，房东置换，急售，随时可约看...,,,,,,户型方正，朝南，楼层佳，采光好，两房，精装修，领包入住，房东急售,,首付不高：适合首付不多的小两口； 面积刚需：适宜需要面积不大的客户,,贷款情况：房子还有15万左右的贷款，需要下家解押 看首付不高：适合首付不多的小两口； 面积刚需：适宜需要面积不大的客户 房情况：提前一个小时可以约看房,,
17,小区地理位置优越  交通便捷  满五唯一,118万,13683,钟楼区新闸,绿地世纪城A区,3室2厅1厨1卫,高楼层 (共27层),86.24㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2021-04-18,商品房,2017-08-03,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,小区地理位置优越，交通便捷，辐射广，设施齐全,小区环境优美，绿化面积覆盖高，干净整洁，内有健身器材和娱乐广场，物业服务态度好，小区地理位置优越，交通便捷，辐射广，设施齐全,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率）， 若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税均按照3%收取。,"地理位置优越,交通便利，出门就有公交站点，绿化优美，小区环境幽静、小区生活设施齐全，各大银行、菜场、商场、饮食近在咫尺，生活方便 户型周正，格局分布合理，空间感好，通透性强，居住舒适；",,,,,,,,,
18,绿地世纪城 联排别墅 毛坯 位置好,469万,18039,钟楼区新闸,绿地世纪城B区,4室3厅1厨3卫,低楼层 (共3层),260㎡,,暂无数据,,南,钢混结构,毛坯,,,暂无数据,2022-04-28,商品房,2019-08-16,别墅,暂无数据,共有,有抵押 150万元,已上传房本照片,联排别墅 楼层好 视野开阔......,,税费：1契税 首套房90平以下 1%，90平以上1.5% 二套房90平以下1%，90平以上2% 三套房不论面积统一3% 不满二年 收全额的5.6%,天山花园 （98路; 1111路; 1811路）	953米【公交】 绿地世纪城 （98路）	596米【公交】 飞龙首末站 （526路; 1111路; 1811路）	492米【公交】 龙江路龙城大道 （526路）	406米【公交】 飞龙公交枢纽北 （98路; 111路; 213路,,,,区配有2000平米的农贸综合市场，1900平米的市及其他连锁市，占地8000平米的幼儿园，及约20000平方米的商铺,,,,联排,
19,户型方正 社区配套全 交通便利,175万,13359,钟楼区新闸,绿地世纪城B区,5室1厅1厨2卫,低楼层 (共11层),131㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯两户,有,暂无数据,2022-07-24,商品房,2018-11-18,普通住宅,暂无数据,共有,无抵押,已上传房本照片,房子精装修，户型方正，社区配套全，交通便利,,90平以内首套房契税1%，二套房1%，三套或以上3% 2、90平以上首套房契税1.5%，二套房2%，三套或以上3% 3、不满两年增值税5.6%，满两年免增值税 4、满五年唯一免个税1%,天山花园 （98路; 1111路; 1811路） 953米【公交】 绿地世纪城 （98路） 596米【公交】 飞龙首末站 （526路; 1111路; 1811路） 492米【公交】 龙江路龙城大道 （526路） 406米【公交】 飞龙公交枢纽北 （98路; 111路; 213路） 房主自荐(业主对房源的描述),,,,、小区生活设施齐全，菜市场、银行，交通便捷； 2、小区内有健身器材，可供小区居民使用； 3、小区内停车位充足，建有地上停车场,,,,,
20,绿地世纪城A区3-1-1-1 89.00m² 120 万,95万,10652,钟楼区新闸,绿地世纪城A区,3室2厅1厨1卫,中楼层 (共33层),89.19㎡,平层,68.41㎡,板塔结合,南 北,钢混结构,毛坯,两梯四户,有,暂无数据,2022-11-11,商品房,2017-07-10,普通住宅,暂无数据,非共有,有抵押 20万元 中国,已上传房本照片,绿地三期 小区单价低  南北通tou 配套全,此房户型方正，卧室朝南，明厨明卫， 开间大 采光充足位置好，闹中取静，出入方便 ，业主诚心出售,,天山花园 （98路; 1111路; 1811路） 953米【公交】 绿地世纪城 （98路） 596米【公交】 飞龙首末站 （526路; 1111路; 1811路） 492米【公交】 龙江路龙城大道 （526路） 406米【公交】 飞龙公交枢纽北 （98路; 111路; 213路）,,,,小区配有2000平米的农贸综合市场，1900平米的chao 市及其他连锁便利店，占地8000平米的幼儿园，及约20000平方米的商铺,,,,,
21,绿地世纪城精装三房满五唯一无遮挡采光好，诚心出售,185万,14835,钟楼区新闸,绿地世纪城c区,3室2厅1厨2卫,中楼层 (共33层),124.71㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,四梯三户,有,暂无数据,2023-03-03,商品房,2015-06-03,普通住宅,暂无数据,非共有,有抵押,已上传房本照片,小区环境优美，舒适安静 适宜居住，出门即有公交菜场，银行 ，美食等，人文素养好，乐于助人，相处和谐,户型朝南舒适，全天采光。房型方正视野好。干湿分离 格局分明。,,,042404171066,精装三房，采光好，房东诚心出售,成熟社区，配套设施齐，菜场，娱乐场所，公园 银行 医院，适宜居住 让你步行就满足一切生活所需,,,,,,
22,绿地三期大两房 南北双阳台 带独卫私密性好 全天采光,125万,11306,钟楼区新闸,绿地世纪城A区,3室2厅1厨1卫,高楼层 (共27层),110.57㎡,平层,84.66㎡,板楼,南,钢混结构,精装,两梯四户,有,暂无数据,2023-06-01,商品房,2019-03-18,普通住宅,暂无数据,共有,有抵押,已上传房本照片,绿地三期大两房 南北双阳台 带独卫私密性好 全天采光,绿地世纪城占地面积409亩，总建筑面积约76万平米，位于龙城大道、龙江路交汇处，飞龙居住区，距市政府道路距离约4公里。借助龙城快速干道、长江路可快速抵达市；社区内规划物业品类丰富，集中布置小高层、高层、联排别墅,"1.税费信息
A.首套 90平以下1%
B.首套90平以上1.5%
C.二套90平以下1%
D.二套90平以上2%
E.三套或以上3%

2.增值税：满2年免征，不满2年全额征收5.3%

3.个人所得税：不满5年征1%，满5且家庭 住房，省个税",天山花园 （98路; 1111路; 1811路） 953米【公交】 绿地世纪城 （98路） 596米【公交】 飞龙首末站 （526路; 1111路; 1811路） 492米【公交】 龙江路龙城大道 （526路） 406米【公交】 飞龙公交枢纽北 （98路; 111路; 213路）,,,,,,,,,
23,绿地世纪城A区 不靠高架 户型房子满五唯一 诚心出售,105万,12651,钟楼区新闸,绿地世纪城A区,3室2厅1厨1卫,低楼层 (共33层),83㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2023-11-26,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房满五唯一，格局方正，交通便利 配套成熟，不靠高架格局方,,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率）， 若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税均按照3%收取。,,,,,小区配有2000平米的农贸综合市场，1900平米的chao 市及其他连锁便利店，占地8000平米的幼儿园，及约20000平方米的商铺,,,,,亲和力爆棚的业主，诚心置换故此出售，夹杂五味杂陈的个人情感。忍痛挂牌，业主家庭和睦，等待有缘人接盘，我是贝壳找房德佑地产绿地世纪城店经纪人，房屋买卖交易问题可以随时致电垂询。竭诚为您服务。
24,满五唯一   房东诚心出售 无贷款,106万,11805,钟楼区新闸,绿地世纪城c区,2室2厅1厨1卫,中楼层 (共33层),89.8㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯三户,有,暂无数据,2022-09-13,商品房,2013-05-03,普通住宅,暂无数据,共有,无抵押,已上传房本照片,此房满五 中上楼层 视野采光好 生活配套全,,90平以内首套房契税1%，二套房1%，三套或以上3% 2、90平以上首套房契税1.5%，二套房2%，三套或以上3% 3、不满两年增值税5.6%，满两年免增值税 4、满五年唯一免个税1%,天山花园 （98路; 1111路; 1811路） 953米【公交】 绿地世纪城 （98路） 596米【公交】 飞龙首末站 （526路; 1111路; 1811路） 492米【公交】 龙江路龙城大道 （526路） 406米【公交】 飞龙公交枢纽北 （98路; 111路; 213路） 房主自荐(业主对房源的描述),,,,1、小区生活设施齐全，菜市场、银行，交通便捷； 2、小区内有健身器材，可供小区居民使用； 3、小区内停车位充足，建有地上停车场,,,,,
25,绿地世纪城 满5年，配套完善，交通便利，业主诚心出售,98万,10842,钟楼区新闸,绿地世纪城c区,2室1厅1厨1卫,低楼层 (共33层),90.39㎡,平层,69.25㎡,板塔结合,南,钢混结构,精装,两梯一户,有,暂无数据,2023-01-12,商品房,2013-10-21,普通住宅,暂无数据,共有,无抵押,已上传房本照片,此房满5年，配套设施完善，交通便利，业主诚心出售,"配套：有健身器材 小型篮球场 可供小区居民使用 车位：停车位充足 建有地上停车场和地下车库 保安：小区内24小时保安巡逻
东侧向飞龙居住区：飞龙居住区规划总面积323公顷，规划聚集居住人口约7万人，总体定位为“城市大型居住社区”。",,天山花园 （98路; 1111路; 1811路） 953米【公交】 绿地世纪城 （98路） 596米【公交】 飞龙首末站 （526路; 1111路; 1811路） 492米【公交】 龙江路龙城大道 （526路） 406米【公交】 飞龙公交枢纽北 （98路; 111路; 213路）,,,,小区配有2000平米的农贸综合市场，占地8000平米的幼儿园，及约20000平方米的购物街，配套齐全,,,,,
26,绿地世纪城一期小高层 不靠高架 领包入住,145万,13182,钟楼区新闸,绿地世纪城B区,4室2厅1厨1卫,高楼层 (共11层),110㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯两户,有,暂无数据,2022-06-06,商品房,2016-05-04,普通住宅,暂无数据,非共有,有抵押 28万元,已上传房本照片,小区配套齐全  边户南北tong透  交通便利,小区地理位置佳，绿化，居民素质高 配套：有健身器材，小型篮球场，可供小区居民使用 车位：停车位充足，建有地上停车场和地下车库 保安：小区内24保安巡逻,首套房＜90平1％、 ＞90平 1.5％ 2.二套房 ＜90平1％、 ＞90平2％ 3.三套房不论面积统一3％. 4.满二年不论面积全免、不满二年收全额的5.6％、 5.个人所得税：满二1％、 满五且wei一免个人所得税,,,,,小区配置齐全 公交、地铁、菜场、银行、医院、、健身房、大小娱乐项目让您尽情享受,,,,,
27,满五的小户型，价格合宜，居住方便,68万,11181,钟楼区新闸,绿地世纪城B区,1室1厅1厨1卫,中楼层 (共11层),60.82㎡,复式,49.35㎡,塔楼,南,钢混结构,简装,一梯十七户,有,暂无数据,2021-06-11,商品房,2013-04-26,普通住宅,暂无数据,共有,无抵押,已上传房本照片,满足全家居住需求，小朋友幼儿园就是小区门口，小区内有大型农贸菜场以及chao市，内部有健身器材以及游乐设施，生活便利,,3.5公里左右是青枫公园，6公里左右是常州妇幼保健院，4公里左右是新闸的教育点，小区内有社区医院，配套完善,,042469395617,格局方正严谨，彰显大家风范；全明气派尊贵户型，室内阳光流动,,,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率）， 若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税均按照3%收取。,,,,
