,标题,总价格,单价,地段,小区名,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,售房详情,税费解析,权属抵押,周边配套,交通出行,小区介绍,房源核验码,查询房管备案记录,户型介绍,适宜人群,装修描述,用水类型,用电类型,别墅类型,燃气价格
10,金百商业广场，价格可谈，地理位置好，看房方便,75万,12170,天宁区红梅,金百商业广场,2室1厅1厨1卫,高楼层 (共34层),61.63㎡,平层,暂无数据,板塔结合,南,钢混结构,简装,一梯八户,有,暂无数据,2023-10-10,商品房,2021-01-05,普通住宅,暂无数据,非共有,有抵押 30万元 银行,已上传房本照片,新北万达商圈，品质小区，小区环境优美，交通便利，.,,契税：1、首套：90平以下1%；90平以上1.5%。2、二套：90平以下1%；90平以上2%。3、三套都是3%。4、增值税：满两年免征；不满2年全.额征收5.3%.5、个税：不满5年唯一征1%,,,,,,,1.户型方正，格局分布合理，空间感好，通透性强，居住舒适 2.客厅卧室朝南，楼层高采光好，3.全屋主功能间都带有窗户，明厨明卫，更响亮。,1，交通便利，四通八达，出行更加方便，节省时间 2，配套医院近，适合家有老人和孩子的家庭,,,,,
11,新城蓝钻苑（东区） 1室1厅 南,58万,9794,天宁区红梅,新城蓝钻苑（东区）,1室1厅1厨1卫,低楼层 (共28层),59.22㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯六户,有,暂无数据,2023-06-25,商品房,2017-09-11,普通住宅,暂无数据,非共有,有抵押 业主自还,已上传房本照片,,,,,,,,,,,,,,,,
12,市政府商圈地铁口 香缇湾 清爽三房 诚心出售 不靠铁路,132万,11616,天宁区红梅,香缇湾花园,3室2厅1厨1卫,高楼层 (共32层),113.64㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯三户,有,暂无数据,2023-11-09,商品房,2012-02-29,普通住宅,满五年,共有,无抵押,已上传房本照片,此房满5年 南北通 采光好 不靠铁路 诚心出售,,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,"公园：小区近一个青山公园 ,2公里内有红梅公园菜场：怡康菜场 ，锦绣菜场，：2公里内有大润发市 欧尚市。医院：2公里内有青山湾社区医院，武进医院，一院 ，二院",小区地处市区交通便利：门口有公交站台BRT 24路 31路等 1公里内有火车站 ，汽车站，可以上环城高架,,,,,,,,,,
13,红梅假日花苑顶楼 实用面积很大 带空中花园,138万,8962,天宁区红梅,红梅假日花苑,4室2厅1厨3卫,高楼层 (共6层),154㎡,复式,暂无数据,板楼,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-09-12,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,位置佳，4房3卫精装，得房高，地段繁华，交通便.采光充足,,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,红梅街道 （2路; 11路; 15路; 15路芙蓉线; 29路; 29路高峰; 63路; 209路; 212路; 232路; 1111路火车站，高铁站,小区绿化面积大，楼间距宽，格局分明采光好，小区东靠红星美凯龙，南靠红梅小吃一条街大润发，很繁华热闹,,,,,,,,,
14,店长推荐。一楼带院。价格便宜。位置好有钥匙随时看。,105万,9052,天宁区红梅,锦绣花园东区,3室2厅1厨2卫,低楼层 (共7层),116㎡,平层,暂无数据,板楼,南,钢混结构,简装,暂无数据,无,暂无数据,2023-10-12,商品房,2023-12-08,普通住宅,未满两年,非共有,无抵押,已上传房本照片,此房户型好，得房率高 ，价格便宜 随时可以看房,,"个税：产证满五唯一，免收个税，不唯一交成交价的1%1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房，90平以下成交价的1%，90平以上成交价的2%,三套及以上，成交价的3%；",,小区外就有菜市场，银行，生活便利，满足平时生活需求。小区一公里左右就有公园，离得最近的是怡康人口文化园，平时可以带老人和孩子去锻炼身体,"小区门口就有公交车站,在小区西边就是通江路，去新北万达和环球港都很方便，交通出行便利",,,,此房户型方正，三开间朝南，得房率高，价格美丽，金典户型，好房型,,,,,,
15,此房满二不唯一，户型三朝南，装修温馨！,120万,10811,天宁区红梅,红梅假日花苑,3室2厅1厨1卫,低楼层 (共6层),111㎡,平层,暂无数据,板楼,南,钢混结构,简装,两梯两户,有,暂无数据,2023-06-30,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 45万元 客户偿还,未上传房本照片,户型方正通透，地段繁华，交通出行方便。,,,此房产权清晰，房源真实，业主诚心出售，看房方便，全程可陪同过户,,红梅街道 （2路; 11路;  15路; 15路芙蓉线; 29路; 29路高峰; 63路; 209路; 212路; 232路; 1111路;,小区绿化面积大，楼间距宽，格局分明采光好，小区东靠红星美凯龙，南靠红梅小吃一条街大润发，很繁华热闹,,,,,,,,,
16,此房源户型方正，房东诚心出售可谈价，楼层不错光线好,212万,16013,天宁区红梅,银河湾星苑,3室2厅1厨2卫,高楼层 (共34层),132.4㎡,平层,暂无数据,塔楼,南,钢混结构,精装,两梯三户,有,暂无数据,2021-10-09,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押 60万元 80,未上传房本照片,此房源户型方正，房东诚心出售可谈价，楼层不错光线好,业主现诚心出售，证件齐，欢迎看房，随时恭候，如看中房子，价格可谈,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同,,,,,,,,,,,,
17,大润发旁，地铁口，银河湾星苑，人车分流，地段不错,190万,15783,天宁区红梅,银河湾星苑,3室2厅1厨1卫,中楼层 (共20层),120.39㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯三户,有,暂无数据,2023-08-28,商品房,2023-09-06,普通住宅,未满两年,非共有,无抵押,已上传房本照片,此房源户型方正，房东诚心出售，楼层不错光线好，配套不错,,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同,大润发，文化广场，市政府，地铁1号线和五号线交汇。市政府，奥体，客运，等,,,,,,,,,,,
18,中 央花园 房东诚心出售 地铁口 文化广 场  购物,175万,17771,新北区红梅,中央花园（新北区） ,2室2厅1厨1卫,低楼层 (共33层),98.48㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2022-10-07,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 40万元,未上传房本照片,地段好，交通方便，公交、地铁齐全。旁边市民广场、奥体馆。,,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%，三套3% 2、增值税：产证满2年免收增值税，未满2年征收5.6％ 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,地铁口、公交就在小区门口，交通便捷。 市民广场、奥体馆就在小区旁边，生活方便。,,位置：小区地理位置佳，绿化多，居民素质高 配套：有健身器材，小型篮球场，可供小区居民使用 车位：停车位充足，建有地上停车场和地下车库 保安：小区内24小时保安巡逻,,,,,,,,,
19,中。央花园 轨道1号线 交通便利 邻市府近万达,235万,18504,新北区红梅,中央花园（新北区） ,3室2厅1厨2卫,低楼层 (共22层),127㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯三户,有,暂无数据,2020-07-28,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,中 央花园，婚装三房，上学方便，交通便利，房东诚售,,此房满2年，无增值税。个人所得税1% 首套房仅需交契税1.5%，二套房交契税2%，三套房契税3%,,医院：武进医院，三井医院 邮局：邮政储蓄银行银行：中国建设银行 ，交通银行ATM，农业银行ATM 其他：万豪酒店、常州工学院、河海大学小区内部配套：幼儿园（常州机关幼儿园分园）,轨道1号线 交通便利 邻市府近万达 满2 交通出行： 31、302、42、11、33、48路至红豆山庄下车。轨道1号线直达小区门口。,,,,,,,,,,
20,红梅新村 2房 户型方正房东诚心出售看房方便,60万,8738,天宁区红梅,红梅新村,2室1厅1厨1卫,中楼层 (共8层),68.67㎡,平层,暂无数据,塔楼,南,钢混结构,简装,暂无数据,无,暂无数据,2023-04-06,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房装修清爽，户型方正，全天采光,业主现诚心出售，证件齐，欢迎看房，随时恭候，如看中房子，价格可仪,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,红梅商场、红星家具装饰城、，商 业 银行(北环路)、江苏银行红梅支行、农业银行九龙支行、建设银行竹林新村分理处、中国邮政北环路储蓄所、红梅邮政储蓄,,,,,,,,,,,
21,市府板块地铁口中yang花园精装三房诚心出售！价可谈,220万,19754,新北区红梅,中央花园（新北区） ,3室2厅1厨1卫,低楼层 (共30层),111.37㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯六户,有,暂无数据,2023-03-22,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,地段好，交通方便，公交、地铁口。旁边市民广场、奥体馆,,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%，三套3% 2、增值税：产证满2年免收增值税，未满2年征收5.6％ 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,地铁口、公交就在小区门口，交通便捷。 市民广场、奥体馆就在小区旁边，生活方便,,位置：小区地理位置佳，绿化多，居民素质高 配套：有健身器材，小型篮球场，可供小区居民使用 车位：停车位充足，建有地上停车场和地下车库 保安：小区内24小时保安巡逻,,,,,,,,,
22,温馨2房 不靠铁路 中间楼层 家具家电全留 拎包入住,115万,12042,天宁区红梅,香缇湾花园,2室2厅1厨1卫,低楼层 (共29层),95.5㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯三户,有,暂无数据,2022-10-06,商品房,2023-11-28,普通住宅,未满两年,共有,无抵押,已上传房本照片,此房 格局好 视野开阔 采光充足 配套设施齐,,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同,小区地理位置好，位于交通便利，出小区就是BRT站牌，小区配套设施齐全，银行、菜市、医院、商务会所，小区环境幽雅，绿化面积大，家里家室家电齐全，可带衣物直接入住！看房方便，提前预约！欢迎致电！,,,,,,,,,,,
23,金新润园  3开间朝南房  精装修  设施齐全,110万,12360,天宁区红梅,金新润园,2室2厅1厨1卫,中楼层 (共18层),89㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯三户,有,暂无数据,2021-09-25,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,此房满5年，三开间朝南 户型方正 无遮挡 采光好,,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%, 三套房无论面积大小都是3%；2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,"公园：小区自带一个青山公园 ,2公里内有红梅公园菜场：怡康菜场 ，锦绣菜场，2公里内有大润发 欧尚。医院：2公里内有青山湾社区医院，武进医院，一院 ，二院",小区地处市区交通便利：门口有公交站台BRT 24路 31路等 1公里内有火车站 ，汽车站，可以上环城高架,,,,,,,,,,
24,房东诚心出售，随时看房，装修清爽,47万,8699,天宁区红梅,红梅新村,2室1厅1厨1卫,中楼层 (共6层),54.03㎡,平层,暂无数据,塔楼,南,混合结构,精装,暂无数据,无,暂无数据,2023-10-18,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,无抵押，可以随时看房，产权清晰。,,"：
1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,红梅菜场、大润发，红星家具装饰城、，商 业 银行(北环路)、江苏银行红梅支行、农业银行九龙支行、建设银行竹林新村分理处、中国邮政北环路储蓄所、红梅邮政储蓄,9路、10路、11路、15路、24路、29路、208路、216路，地铁2号线500米,,,,,,,,,,
25,两房朝南 楼层好 视野采光都很不错 交通便利 诚心出售,168万,17060,新北区红梅,中央花园（新北区） ,2室2厅1厨1卫,高楼层 (共33层),98.48㎡,平层,81.25㎡,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2021-06-16,商品房,2010-02-01,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,两房朝南 楼层好 视野采光都很不错 交通便利 诚心出售,,常州首房首贷首付3成，二贷首付6成。  税费：契税：首套90平以下1个点，90平以上1.5，二套90以下还是1个点，二套90以上2个点，3套不计面积都是3个，个税：房子满五唯一免征，不唯一1个点。增值税：满二：免征，不满二5.3增值税,,市民广场，图书馆，奥体，出小区东门就是菜场，西门就是地铁口。,19路; 33路; 33路高峰; 42路; 47路; 48路; 213路; 302路; k3路。地铁1号线，龙城高架,,,,,,,,,,
26,彩虹城翠竹新村2房出售生活方便,50万,8197,天宁区红梅,翠竹新村南区,2室1厅1厨1卫,高楼层 (共6层),61㎡,平层,暂无数据,板塔结合,南,钢混结构,简装,暂无数据,暂无数据,暂无数据,2023-02-01,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,小区环境优雅，配套成熟，交通便利，居住舒适。,业主人非 常友好、热情，很有诚意出售。欢迎看房，随时恭候户型棒，成熟小区管理。,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率），若买方此次购 房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税 均按照3%收取。,,生活设施齐 ，农贸菜场 商场 饮食近在咫尺 生活起居很方便。,,,,,,,,,,,
27,青山湾南区精装三室，人车分流交通便利楼层好,198万,21448,天宁区红梅,青山湾南区,2室2厅1厨1卫,低楼层 (共30层),92.32㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,三梯八户,有,暂无数据,2023-03-08,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,青山湾南区精装三室，人车分流交通便利楼层好 视野开阔,,"1、契税:90平方以下的首套跟二套都是1%，90平米以上首套房成交价的1.5%,二套房90平以上成交价的 2%,三套房无论面积大小都是3%; 2、增值税:产证满2年免收增值税 3、个税:产证满五年但不是唯一套住房, 成交价的1%；满5唯一无个税",,"红梅公园、天宁寺、市民广场、规划馆、博物馆，图书馆，八角井菜场,锦绣菜场， 大润发， 医院: 青山湾社区医院,武进医院，一院,二院",,小区有东门和北门两个门，汽车电动车直接入库，小区环境优美 人车分流 ，孩子老人玩耍散步安全放心,,,,,,,,,
28,金百花园， 市政府旁。新北 万达。,93万,12429,天宁区红梅,金百花园,2室2厅1厨1卫,低楼层 (共32层),74.83㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2024-03-06,商品房,2023-03-05,普通住宅,未满两年,非共有,无抵押,已上传房本照片,： 金百小高层楼层好，视野宽阔，配套实施齐全，交通便利,： 业主现诚心出售，证件齐全，欢迎看房，随时恭候，如看中房子，价格可谈,"： 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房，90平以下成交价的1%，90平以上成交价的2%,三套及以上，成交价的3%；2、个税：产证满五唯一，免收个税，不唯一交成交价的1%",,,,： 小区安静优雅，环境优美，绿化较好，带有休闲设施，交通便利，出门道路宽敞，四通八达，不易拥堵，主干道，次主干道公交站台众多，多路公交车通往各处，出门金百广场，购物，餐饮生活方便。,,,,,,,,,
29,房东工作调动 诚意出售 精装家电家具齐全 交通方便,52万,10859,天宁区红梅,金百花园,1室1厅1厨1卫,中楼层 (共32层),47.89㎡,平层,暂无数据,板塔结合,北,钢混结构,精装,两梯四户,有,暂无数据,2024-02-10,商品房,2017-07-24,普通住宅,暂无数据,共有,无抵押,已上传房本照片,金百小高层楼层好，视野宽阔，配套实施齐全，交通便利,业主现诚心出售，证件齐全，欢迎看房，随时恭候，如看中房子，价格可谈,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房，90平以下成交价的1%，90平以上成交价的2%,三套及以上，成交价的3%；2、个税：产证满五唯一，免收个税，不唯一交成交价的1%。",,小区安静优雅，环境优美，绿化较好，带有休闲设施，交通便利，出门道路宽敞，四通八达，不易拥堵，主干道，次主干道公交站台众多，多路公交车通往各处，出门金百广场，购物，餐饮生活方便。,,,,,,,,,,,
30,（三开间朝南）小区中间位置！中间楼层！价格实惠！,208万,18447,新北区红梅,中央花园（新北区） ,3室2厅1厨1卫,中楼层 (共23层),112.76㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯三户,有,暂无数据,2024-01-17,商品房,2010-02-08,普通住宅,暂无数据,共有,无抵押,已上传房本照片,（三开间朝南）小区中间位置！中间楼层！价格实惠！,,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率），若买方此次购 房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税 均按照3%收取。,,小区介小区地理位置佳，绿化多，居民素 质高 配套：有健身器材，小型篮球场，可供小区居民使用 车位：停车位 充足，建有地上停车场和地下车库 保安：小区内24小时保安巡..,,市民广场，图书馆，奥体，出小区东门就是菜场，大润发就在旁边，西门就是地铁口,,,,,,,,,
