,标题,总价格,单价,地段,小区名,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,售房详情,税费解析,权属抵押,户型介绍,周边配套,小区介绍,适宜人群,装修描述,交通出行,房源核验码,查询房管备案记录,别墅类型,用水类型,用电类型,燃气价格
10,世茂香槟湖精装两房满五唯一业主自住保养好,106万,12069,新北区恐龙园,世茂香槟湖一期,2室1厅1厨1卫,低楼层 (共32层),87.83㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2023-02-04,商品房,2022-01-13,普通住宅,暂无数据,共有,无抵押,已上传房本照片,精装修2室户型，采光充足，精装自住保养好,业主现诚心出售，证件齐，欢迎看房，随时恭候，如看中房子，价 格 可 谈。,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是唯 一套住房，免收个税，未满5年成交价的1%",,2室2厅，采光一点都不受影响，看房方便。客厅朝南。两房朝南 。,,,,,,,,,,,
11,恐龙园旁精装修前排采光好，很少住,150万,17069,新北区恐龙园,九龙仓时代上院,3室2厅1厨1卫,中楼层 (共32层),87.88㎡,平层,68.63㎡,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2023-02-03,商品房,2013-03-13,普通住宅,暂无数据,共有,无抵押,已上传房本照片,恐龙园旁，前排，采光好，中间楼层，精装修，很少住，保养好，,,,,这套房子，三房二厅二卫生间，南北有窗户通风好，精装修，户型好，采光好，装修好，,,,适合人群，结婚用婚房，懒得装修人士，外地人，刚需人士，老人住，,精装修房子，很少住，保养好，南北有窗户，通风好，中间楼层，采光好，装修花费20多玩，,,,,,,,
12,恐龙园 南大门口边上 小区前排精装修 好楼层 房东诚心,148万,16605,新北区恐龙园,九龙仓时代上院,3室2厅1厨1卫,中楼层 (共26层),89.13㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2023-09-06,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押 30万元,未上传房本照片,此房源户型方正，房东诚心出售可谈价，楼层光线好,业主空置，诚心出售，房子基本没怎么住过 家电基本全新 房东很诚心 价格好谈 看房方便的,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,房屋三开间朝南户型 客厅 两个卧室朝南 中上楼层 全天采光 视野开阔,,,,,,,,,,,
13,楼层视野开阔 采光充足 设施齐全 房东诚心出售,168万,15454,新北区恐龙园,世茂香槟湖四期,3室2厅1厨1卫,低楼层 (共33层),108.71㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2024-03-06,商品房,2018-07-12,普通住宅,暂无数据,非共有,有抵押 40万元,已上传房本照片,楼层视野开阔 采光充足 设施齐全 房东诚心出售,,首套房90平米以下成交价的1％，90平米以上成交价的1.5％，二套房90平以下1%，以上2%，三套房不论大小均为3%； 增值税分析：产证满2年免收增值税，未满2年征收5.3％；个税：产证满五年而且是唯一一套住房，免收个税，未满5年成交价的1%,,,"生活设施齐 ，农贸菜场, 商场, 饮食近在咫尺, 生活起居很方便",小区地理位置好，绿化好，居民素质高 配套：有健身器材，小型篮球场，可供小区居民使用 车位：停车位充足，建有地上停车场和地下车库 保安：小区内24小时保安巡逻,,,,,,,,,
14,"随时可以看，价格低,房东诚心出售",170万,15008,新北区恐龙园,世茂香槟湖五期,3室1厅1厨2卫,低楼层 (共33层),113.28㎡,平层,暂无数据,板塔结合,北 南,框架结构,毛坯,两梯五户,有,暂无数据,2024-03-09,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押 10万元,未上传房本照片,随时可以看，价格低，房东置换诚心出售,,面积90平以上，首套契税需交1.5个点，二套需交2个点，三套及以上需交3个点,,,小区紧靠紫荆公园与恐龙园，旁边就是东经120，与在建的龙湖天街跟大型菜场，还有规划的地铁6号线,小区是由世茂开发商建造的，物业也是开发商自带的世茂物业，小区地理位置优越，环境优美,,,,,,,,,
15,九龙仓时代上院精装3房，业主诚心出售，价格可谈,150万,17126,新北区恐龙园,九龙仓时代上院,3室2厅1厨1卫,高楼层 (共26层),87.59㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2024-03-08,商品房,2019-10-30,普通住宅,暂无数据,共有,无抵押,已上传房本照片,精装三房，两年的装修，装修新，居住时间不多，房子保..,,"契税分析:首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90 平以下1%,90平以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值 税,契税发票满二已算，未满2年征收5.3%增值税。个税:产证满五年而且是家庭名下唯一住房,免收个税,",,,,小区2012年建造，小区有小高层和高层，有别墅，小区整体绿化不错，居住舒适感好,中上楼层改善和刚需都可以选择三房，户型好，前排视野采光好交通便利,,,,,,,,
16,香树湾花园别墅好房出售位置好沿河,410万,18274,新北区恐龙园,香树湾花园,4室1厅1厨3卫,低楼层 (共3层),224.37㎡,跃层,暂无数据,暂无数据,南 北,未知结构,精装,暂无数据,暂无数据,暂无数据,2024-01-22,商品房,2018-08-09,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,房子朝南落地大窗采光，前面没什么遮挡，而且房子户型很好,,,,房子格局正，客厅阔气，朝南，大露台，别墅是一种身份的象征！ 看房方便,离商圈近的小区，步行也就几步路程，而且上下班相对来说人流量比较小。 小区绿化多，进入小区犹如来到了公园，身心感到舒畅，空气清新，有益身体健康，晨练夕闲没有比这更适合的小区,,,精装修，随时拎包入住，客厅让您更有别墅居住感，阳光房，洗衣房，休闲书房茶座都已搞好。,,,,,,,
17,世茂香槟湖二期 东边户 大院子 精装修,280万,17947,新北区恐龙园,世茂香槟湖二期,4室2厅1厨2卫,低楼层 (共17层),156.02㎡,平层,暂无数据,板塔结合,南,混合结构,精装,四梯两户,有,暂无数据,2023-11-30,商品房,2017-08-04,普通住宅,暂无数据,非共有,有抵押 60万元,已上传房本照片,小区环境优雅，配套成熟，交通便利，居住舒适,业主人非 常友好、热情，很有诚意出售。欢迎看房，随时恭候户型棒，成熟小区管理,首套房契税是1.5%，二套是2%，三套及以上是3%，首套房契税是1.5%，二套是2%，三套及以上是3%,,,生活设施齐 银行 农贸菜场 商场 饮食近在咫尺 生活起居很方便,,,,,,,,,,
18,世茂香槟湖三期 精装小三房 中间楼层 前排无遮挡,172万,17552,新北区恐龙园,世茂香槟湖三期,3室2厅1厨1卫,中楼层 (共31层),98㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2024-03-03,商品房,2016-04-08,普通住宅,暂无数据,非共有,有抵押 交通银行,已上传房本照片,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同,,首套房契税是1.5%，二套是2%，三套及以上是3%，首套房契税是1.5%，二套是2%，三套及以上是3%,,此房装修新保养好，户型方正，三朝阳，前排无遮挡中间楼层，全天采光。,小区东在建大型菜场，北有世茂广场，各种生活配套完善，另有龙湖天街（在造）紧靠恐龙园（迪诺水镇）。南靠紫荆公园东经120金融圈。,,,,,,,,,,
19,世茂香槟湖三期 精装大三房 采光视野佳 小区环境优美,256.8万,17931,新北区恐龙园,世茂香槟湖三期,4室2厅1厨2卫,高楼层 (共33层),143.22㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯三户,有,暂无数据,2024-01-11,商品房,2017-03-22,普通住宅,暂无数据,共有,有抵押 100万元,已上传房本照片,小区环境优雅，配套成熟，交通便利，居住舒适,业主人非 常友好、热情，很有诚意出售。欢迎看房，随时恭候户型棒，成熟小区管理,首套房契税是1.5%，二套是2%，三套及以上是3%，不满二5.3增值税,,,生活设施齐 银行 农贸菜场 商场 饮食近在咫尺 生活起居很方便,,,,,,,,,,
20,楼层视野开阔 采光充足 设施齐全 房东诚心出售,128万,14405,新北区恐龙园,世茂香槟湖二期,2室2厅1厨1卫,中楼层 (共18层),88.86㎡,平层,暂无数据,板塔结合,南,混合结构,简装,两梯三户,有,暂无数据,2024-02-29,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押,未上传房本照片,楼层视野开阔 采光充足 设施齐全 房东诚心出售,,首套房90平米以下成交价的1％，90平米以上成交价的1.5％，二套房90平以下1%，以上2%，三套房不论大小均为3%； 增值税分析：产证满2年免收增值税，未满2年征收5.3％；个税：产证满五年而且是唯一一套住房，免收个税，未满5年成交价的1%,,,"生活设施齐 ，农贸菜场, 商场, 饮食近在咫尺, 生活起居很方便",小区地理位置好，绿化好，居民素质高 配套：有健身器材，小型篮球场，可供小区居民使用 车位：停车位充足，建有地上停车场和地下车库 保安：小区内24小时保安巡逻,,,,,,,,,
21,世茂广场，单身公寓，精装修，拎包就能住,26万,7572,新北区恐龙园,世茂广场,1室1厅1厨1卫,低楼层 (共6层),34.34㎡,平层,暂无数据,板塔结合,北,框架结构,精装,暂无数据,无,暂无数据,2024-01-06,商品房,2021-03-31,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,地段好，交通方便，公交、地铁齐全。旁边大型生活市场。,,"非住宅：
契税，成交价的3%；
增值税及附加，差额的5.6%，另附加税额12%；
个人所得税，差额的20%；
印花税，全额的5%或清算；
土地增值税，全额的30%或清算。",,,,"位置：小区地理位置佳，绿化多，居民素质高
配套：有健身器材，小型篮球场，可供小区居民使用
车位：停车位充足，建有地上停车场和地下车库
保安：小区内24小时保安巡逻",,精装修才两年时间，省去了装修的繁琐，配套齐全，拎包就可以入住。,,,,,,,
22,急售香树湾花园边户复式毛坯中间楼层有钥匙随时可看,79.8万,7255,新北区恐龙园,香树湾花园,3室2厅1厨1卫,高楼层 (共19层),110㎡,复式,暂无数据,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2024-01-08,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房满五唯一，中间楼层边户，有钥匙，随时可看，房东诚心出售。,,首套房面积90平以上，契税1.5%.二套房面积90平以上，契税2%。满五唯一没有个税,房子没有抵押。满五唯一，产权清晰，有钥匙随时可以看房。房东很诚心,楼上楼下复式，3房2厅1卫，可以根据个人的喜好来装修。中间楼层，采光也很好,,,,,,,,,,,
23,动静分离，采光充足，交通方便，配套设施齐,135万,15169,新北区恐龙园,世茂香槟湖四期,3室2厅1厨1卫,低楼层 (共33层),89㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2024-02-22,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,动静分离，采光充足，交通方便，配套设施齐,"售房详情：
房子诚心出售，没有出租过，品牌家具家电，装修设施各方面都比较新，贷款房东自己可以还","税费解析：
房子装修了基本未住，没有出租过，品牌家具家电，装修设施各方面都比较新，贷款房东自己可以还",,,,"小区介绍：
世茂香槟湖四期位于常州新北区太湖东路世茂香槟湖四期期，是由世贸商城有限公司建成的，物业公司为上海世茂南京物业服务有限公司 ，人车分流",,,,,,,,,
24,业主外地工作 诚意出售 好楼层 采光好 88平155万,149万,16932,新北区恐龙园,九龙仓时代上院,3室2厅1厨1卫,高楼层 (共26层),88㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2024-01-03,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,此房源户型方正，房东诚心出售可谈价，楼层光线好,出租中，诚心出售，可全程陪看，欢迎随时看房，随时恭候，哈哈哈,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",此房产权清晰，房源真实，业主诚心出售，看房方便，房子无抵押，过户全程陪同,,,,,,,,,,,,
25,急售！香树湾福园 小高层 恐龙园 自住精装,152万,13452,新北区恐龙园,香树湾福园,3室2厅1厨1卫,中楼层 (共16层),113㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2024-03-05,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房业主自住，看房方便。房东置换诚心出售，看房随时方便,业主人很友好、热情，诚心出售，成熟小区管理，证件齐全，随时签约，看房方便,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2% 2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,,,1、小区生活设施齐全，菜市场、银行，交通便捷； 2、小区内有健身器材，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车库； 4、小区内24小时保安巡逻,,,,,,
26,精装，湖景房 全天采光，保养好，诚心出售,152万,15648,新北区恐龙园,世茂香槟湖三期,3室2厅1厨1卫,高楼层 (共33层),97.14㎡,暂无数据,76.97㎡,板塔结合,南,钢混结构,精装,两梯三户,有,暂无数据,2022-10-13,商品房,2021-01-15,普通住宅,暂无数据,非共有,有抵押 100万元 中国农业银行 客户偿还,已上传房本照片,此房房型漂亮，户型方正，保养很好，主卧带飘窗和内卫。明厨明卫,,,,小区东在建大型菜场，北有世茂广场，各种生活配套完善，另有龙湖天街（在造）紧靠恐龙园（迪诺水镇）。南靠紫荆公园东经120金融圈。,首套房契税是1.5%，二套是2%，三套及以上是3%，首套房契税是1.5%，二套是2%，三套及以上是3%,,,,,112431243060,精装，湖景房 全天采光，保养好，诚心出售，随时看房 诚心出,,,,
27,房东诚售世茂三期精装小三室，中上楼层，三开间朝南,166万,17204,新北区恐龙园,世茂香槟湖三期,3室2厅1厨1卫,高楼层 (共33层),96.49㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,精装,两梯三户,有,暂无数据,2022-04-28,商品房,2017-05-16,普通住宅,暂无数据,共有,无抵押,已上传房本照片,小区人车分流，一共9栋高层，其他都是别墅区，小区地理位置优越，环境优美，物业严谨，认真负责,,小区紧靠紫荆公园，恐龙园，旁边就是东经120与在建龙湖天街跟大型菜场，还有规划的地铁6号线,,,,此房满五但不唯一需交1个点个税，且面积90平朝上，首套需交1.5个点契税，二套2个点契税，三套及以上3个点,,,,112463235491,此房满2，精装小三室，三开间朝南，户型方正，中上楼层，随时看,,,,
28,毛坯的有钥匙方便看  房东诚心卖,180万,12896,新北区恐龙园,世茂香槟湖二期,3室2厅1厨2卫,中楼层 (共22层),139.58㎡,暂无数据,103.72㎡,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-03-19,商品房,2023-06-28,普通住宅,未满两年,共有,无抵押,已上传房本照片,毛坯修3室户型，采光充足， 楼层好 房东 诚心卖,业主现诚心出售，证件齐，欢迎看房，随时恭候，如看中房子，价 格 可 谈,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是唯 一套住房，免收个税，未满5年成交价的1%",,毛坯 3室2厅一厨2卫，采光一点都不受影响，看房方便。客厅朝南。,,,,,,,,,,,
29,环境好，交通方便，房东诚心出售。,45万,8182,新北区恐龙园,世茂广场,2室1厅1厨1卫,中楼层 (共25层),55㎡,暂无数据,暂无数据,板塔结合,南,框架结构,精装,六梯五十八户,有,暂无数据,2022-11-26,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,小区环境优雅，配套成熟，交通便利，居住舒适。,业主人非 常友好、热情，很有诚意出售。欢迎看房，随时恭候户型棒，成熟小区管理。,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率），若买方此次购 房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税 均按照3%收取。,,,生活设施齐 ，农贸菜场 商场 饮食近在咫尺 生活起居很方便。,,,,,,,,,,
30,恐龙园旁 世茂香槟湖5期 三开间朝南 房东诚心急售,170万,17122,新北区恐龙园,世茂香槟湖五期,3室2厅1厨1卫,高楼层 (共33层),99.29㎡,暂无数据,暂无数据,板塔结合,南 北,框架结构,毛坯,两梯五户,有,暂无数据,2023-01-28,商品房,2019-03-27,普通住宅,暂无数据,非共有,有抵押,已上传房本照片,"随时可以看，价格低,中高楼层，房东诚心出售",,且面积90平以上，首套契税需交1.5个点，二套需交2个点，三套及以上需交3个点，2024年3月27日，满五唯一。,,,小区紧靠紫荆公园与恐龙园，旁边就是东经120，与在建的龙湖天街跟大型菜场，还有规划的地铁6号线,小区是由世茂开发商建造的，物业也是开发商自带的世茂物业，小区地理位置优越，环境优美,,,,,,,,,
31,楼层好，视野开阔，交通便利，配套齐全,170万,15045,新北区恐龙园,世茂香槟湖五期,3室2厅1厨2卫,中楼层 (共33层),113㎡,暂无数据,暂无数据,板塔结合,南,框架结构,毛坯,两梯五户,有,暂无数据,2022-06-04,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,楼层好，视野开阔，交通便利，配套齐全,,,,三室两厅两卫，房子东边户，视野开阔，全天采光，明厨明卫，老少皆宜。,小区紧靠紫荆公园，恐龙园，旁边就只东经120与在建的龙湖天街跟大型菜场，还有规划的地铁6号线,小区刚交付没几年，环境优美，干净整洁，物业认真负责，小区一共4栋楼，不杂乱。,,,,,,,,,
32,龙湖原山 5室2厅 南,515万,21730,新北区恐龙园,龙湖原山,5室2厅1厨3卫,中楼层 (共17层),237㎡,暂无数据,暂无数据,塔楼,南,钢混结构,其他,两梯两户,有,暂无数据,2024-03-18,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,,,,,,,,,,,,,,,,
33,香树湾花园 3室1厅 南,95.8万,8520,新北区恐龙园,香树湾花园,3室1厅1厨1卫,低楼层 (共25层),112.45㎡,暂无数据,暂无数据,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-08-24,商品房,2023-10-10,普通住宅,未满两年,共有,有抵押 业主自还,已上传房本照片,,,,,,,,,,,,,,,,
34,世茂广场 LOFT 楼上楼下动静分离 精装可拎包入住,49.8万,10063,新北区恐龙园,世茂广场,1室1厅1厨1卫,中楼层 (共25层),49.49㎡,复式,暂无数据,板塔结合,西,框架结构,精装,六梯五十八户,有,暂无数据,2023-10-25,商品房,2020-06-05,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,随时可签 ，品质装修，现代轻奢风格，设施齐全,业主人友好热情，很有诚意出售，装修保养的很好，看房也很方便！,税费分析1契税首套房，90平米以下成交价的1，90平米以上成交价的1.5二套房90平以上成交价的2三套32增值税产证满2年免收增值税未满2年征收5.63个税产证满五年而且是一套房免收个税未满5年成交价的1%,,,小区东在建大型菜场北有世茂广场各种配套完善另有龙湖天街在造紧靠恐龙园迪诺水镇南靠紫荆公园东经120金融圈,,,,,,,,,,
35,世茂香槟湖复式带大露台 方便自己装修的毛坯出售,500万,18727,新北区恐龙园,世茂香槟湖一期,6室2厅1厨3卫,中楼层 (共20层),267㎡,复式,暂无数据,板楼,南,钢混结构,毛坯,两梯两户,有,暂无数据,2022-08-26,商品房,2020-05-08,普通住宅,暂无数据,共有,有抵押 200万元 客户偿还,已上传房本照片,电梯房 跃层复式 满五，看房方便,,,,,沿街商铺小区配套每家玛、万达广场、常发广场 丰臣广场 信特 、海玛特 大润发 医院：三井医..,,,,公交：29、33、50、Y2 软件园下； B12、302、19、42路国际学 校下 车,,,,,,
