,标题,总价格,单价,地段,小区名,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,小区介绍,户型介绍,周边配套,房源核验码,查询房管备案记录,适宜人群,税费解析,权属抵押,交通出行,售房详情,装修描述,别墅类型,用水类型,用电类型
10,楼层中间，视野开阔，刷卡进入，北边就是星港路,93万,9677,钟楼区北港,枫逸人家,2室2厅1厨1卫,中楼层 (共14层),96.11㎡,平层,72.76㎡,板塔结合,南,钢混结构,精装,两梯三户,有,暂无数据,2023-05-30,商品房,2015-07-28,普通住宅,暂无数据,共有,无抵押,已上传房本照片,小区共四期交付，四期交付日期是13年左右，小区内鸟语花香，空气清新,小区北门和东门是商*配套，南边有刚新建好的停车场，菜场在北边星港花苑,,小区北边就是星港路，东边就是玉龙路，南边就是香樟路，北边有公交站台,042425342635,周*交通方便便捷，干净清爽，拎包入住，两梯四户,,,,,,,,,
11,青枫公园旁金色领寓精装三房，采光足满五唯一,100万,10079,钟楼区北港,金色领寓,3室1厅1厨1卫,低楼层 (共11层),99.22㎡,平层,83.4㎡,板楼,南,钢混结构,精装,两梯两户,有,暂无数据,2023-04-02,商品房,2014-05-21,普通住宅,暂无数据,共有,有抵押,已上传房本照片,小区环境优美，舒适安静 适宜居住，出门即有公交菜场，银行  美食等 人文素养好，乐于助人，相处和谐,户型朝南舒适，全天采光。房型方正视野好。客厅宽敞舒适，使用率高 卧室温馨,配套公园，地铁，步行！商场，天街，步行！医院，电动车！设施完善。,,042456517963,户型好，朝南舒适，全天采光。房型方正视野好。干湿分离 格..,,,,,,,,,
12,中南红熙台 3室1厅 南,170万,15087,钟楼区北港,中南红熙台,3室1厅1厨2卫,中楼层 (共26层),112.68㎡,平层,暂无数据,板楼,南,钢混结构,毛坯,一梯六户,有,暂无数据,2023-10-10,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 120万元,未上传房本照片,,,,,,,,,,,,,,,
13,雨润城精装3房 高楼层 采光好 配套齐全,142万,12293,钟楼区北港,雨润城,3室2厅1厨1卫,高楼层 (共32层),115.52㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯三户,有,暂无数据,2022-06-11,商品房,2019-04-03,普通住宅,暂无数据,共有,无抵押,已上传房本照片,此房户型方正 三室两厅一厨一卫 高楼层 采光充足 配套完善,小区地理位置好 绿化好 居民素质高 配套：有健身器材 小型篮球场 可供小区居民使用 车位：停车位充足 地面人车分流保安：小区内24保安巡逻..,,,,,小区环境优美，舒适安静，适宜居住，服务有保障。出门即有公交菜场，银行 商场 美食等 人文素养好，乐于助人，相处和谐！配套齐全，公园地铁医院商场,"1.契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%, 2.增值税：产证满2年免收增值税，未满2年征收5.6％； 3.个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,,,
14,青枫公园 地铁口 大三房 央企保利公园九里,156万,13925,钟楼区北港,保利公园九里,3室2厅1厨2卫,高楼层 (共26层),112.03㎡,平层,暂无数据,板塔结合,南,钢混结构,毛坯,两梯三户,有,暂无数据,2023-10-08,商品房,2023-10-10,普通住宅,未满两年,非共有,有抵押,已上传房本照片,小区环境优美，舒适安静 适宜居住，出门即有公交菜场，银行美食等 人文素养好，乐于助人，相处和谐,户型 朝南舒适，全天采光，房型方正视野好，干湿分离 格局分明,成熟社区，配套设施齐，菜场，娱乐场所，公园 银行 医院，适宜居住 让你步行就满足一切生活所需,,042449639374,青枫公园 地铁 龙湖天街旁 客厅宽敞舒适，使用率高,,,,,,,,,
15,青枫公园旁御源林城毛坯大三房，户型正通风好,135万,10615,钟楼区北港,御源林城西区,3室2厅1厨2卫,中楼层 (共18层),127.18㎡,平层,暂无数据,板塔结合,南,钢混结构,毛坯,一梯三户,有,暂无数据,2021-08-12,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,此房满二.通透户型.采光没有遮挡.配套设施齐全.交通便利.,,户型优势：朝南，明厨明卫经典开间，通风好，楼间距宽，无遮挡采光好 ，保养的不错 业主情况：目前空置，有钥匙.可以直接看房购房成本：满两年，正常税费,配套齐全 步行即可入园，居住方便，旁边有宝龙商场 美食都有 设施齐全....。。。,,,,契税： 首套房90M以下1％、90M以上 1.5 二套房90M以下1％、90M以上2％ 三套房不论面积统一3％. 2、 增值税： 满二年不论面积全免、 不满二年收全额的5％、 3、个人所得税： 满二年不满5年1％、 满五免个人所得税 一个点和个税,,,,,,,
16,景瑞曦城，景观房，楼层好，采光佳，诚心出售,120万,11192,钟楼区北港,景瑞曦城,2室2厅1厨1卫,中楼层 (共24层),107.22㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯三户,有,暂无数据,2022-07-11,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房为业主精装自住房，家电齐全，天然氧吧，景观房,环境优美：小区安静优雅，绿化较好，带有休闲设施，周末可在小区花园游玩，十分有情调。,此房适用于居住，户型方正，空间设计合理，小区管理制度完善，高层临江视野好。业主诚心出售，看房方,小区环境优美，社区花园，绿化面积高，健身区，散步区，可以锻炼身体，24小时物业，让你有一个干净安全的居住环境，配套设施齐全一站式，方便生活,,,,,,,,,,,
17,青枫公园和天街宝龙两大商圈景瑞曦城精装四房,148万,10987,钟楼区北港,景瑞曦城,4室1厅1厨2卫,低楼层 (共18层),134.71㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯三户,有,暂无数据,2023-10-23,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 25万元 农业银行 业主自还,未上传房本照片,近青枫公园和天街宝龙两大商圈精装。,小区出门为青枫公园 小区环境优美 绿化好 活动设施配套齐全 物业为景瑞物业,,配套齐全，青枫公园和两大商圈，龙湖天街和宝龙，交通便利，出行方便，地铁二号线，公交有52路、b23等,,,,1、90平以内首套房契税1%，二套房1%，三套或以上3% 2、90平以上首套房契税1.5%，二套房2%，三套或以上3% 3、不满两年增值税5.6%，满两年免增值税 4、满五年唯一免个税1%,,,,,,,
18,棠颂洋房！四开间朝南 三阳台设计，一楼底复带花园,274万,19230,钟楼区北港,雅居乐·路劲棠颂,4室1厅1厨2卫,中楼层 (共8层),142.49㎡,平层,暂无数据,板塔结合,南 北,钢混结构,毛坯,暂无数据,暂无数据,暂无数据,2023-05-28,商品房,2023-06-05,普通住宅,未满两年,非共有,无抵押,已上传房本照片,四开间朝南洋房！三阳台设计！D密品质社区！G端改善住宅！,雅居乐地产控股有限公司1992年成立，做家具出身，2005年香港交易所上市，是以房地产开发、物业管理及室内装修、酒店管理为主线业务。棠颂是雅居乐联合路劲打造的品质住宅社区，主要产品包括洋房+高层，低密度，高绿化，品质物业服务，优质教配资源。,棠颂2021年中旬交付是雅居乐在北港片区打造的低密度品质社区闹中取静该户型是小区主要终端改善产品洋房具有宽四开间设计三阳台高窗墙比阳光进深充足南北通透动静分离的优点,,,,,"1、契税：首套房，成交价的1.5％, 二套房，成交价的2% 2、（个税：产证满五年且是房主在本市唯一一套住房，免收个税）此房产证未满5年，缴税成交价的1%。",,,,,,,
19,雅居乐棠颂 新交付小区 青枫公园旁 户型好 中间层,135万,14501,钟楼区北港,雅居乐·路劲棠颂,3室2厅1厨1卫,中楼层 (共20层),93.1㎡,平层,92.28㎡,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-07-16,商品房,2023-09-20,普通住宅,未满两年,共有,有抵押,已上传房本照片,楼层好，位置好，视线采光好，新小区，户型好,,,"常州市妇幼保健医院500米，D铁2号线（延星港路），BRT,52路,213路，39路公交车，500米 上高架，宝龙商场，惠农生鲜，龙湖商场等",,,,买家首套契税：面积＜ 90平米1%，面积≥90平米1.5%；二套契税：面积＜ 90平米1%，面积≥90平米2%；三套契税：3%。个人所得税卖家满五唯一免征。商铺公寓地产3%契税。房屋契税时间不满2年，缴纳5.3%增值税,,,,,,,
20,北郊觅小高档精装洋房一梯一户得房率高,279万,20679,钟楼区北港,中南红熙台,4室2厅1厨2卫,中楼层 (共10层),134.92㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,一梯两户,有,暂无数据,2023-05-25,商品房,2022-02-17,普通住宅,暂无数据,共有,有抵押 100万元,已上传房本照片,品质小区房东精装未入住品质家具 楼层好视野宽阔采光充足交通..,品质次新小区 龙湖物业贴心管家 品质次新小区 龙湖物业贴心管家 品质次新小区 龙湖物业贴心管家,次新小区一梯一户的设计4开间朝南户型方正得房率高2卫的设计..,妇幼旁交通便利 宝龙广场 中吴广场交通便利青枫公园妇幼旁交通便利 宝龙广场 中吴广场交通便利青枫公园,,,,,,,,,,,
21,H装边户视野开阔空气清新视野好,169万,14439,钟楼区北港,桃李东方,3室2厅1厨2卫,高楼层 (共27层),117.05㎡,平层,暂无数据,板楼,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-03-11,商品房,2023-02-22,普通住宅,未满两年,共有,有抵押 110万元 业主自还,已上传房本照片,小区2022年交付，装修，入住，进门要登记，人车分流，安保措施好,小区东北角是梧桐苑菜市场，小区西边是商*配套，北边有北港卫生院,,小区东边有公交站台，电动车和汽车都可以开，地理位置佳，方便一家人的出行,042416915072,中上楼层南北向的房子户型方正一体两户得房率高,,,,,,,,,
22,万水美兰城 3室1厅 南 北,135万,10808,钟楼区北港,万水美兰城,3室1厅1厨1卫,高楼层 (共32层),124.91㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,两梯三户,有,暂无数据,2023-10-04,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 业主自还,未上传房本照片,,,,,,,,,,,,,,,
23,青枫公园旁 景瑞曦城 精装3房 楼层好 采光佳 房东诚售,156万,12194,钟楼区北港,景瑞曦城,3室2厅1厨1卫,低楼层 (共24层),127.94㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯三户,有,暂无数据,2021-10-06,商品房,2013-02-04,普通住宅,满五年,非共有,有抵押,已上传房本照片,精装3房，边户，视野宽阔，全天采光，楼间距大。。,,,,,,本小区物业环境好，景瑞的自持物业。距离青枫公园和2号线地铁近，就在小区正对着。此房适合任何人群。,"首套房90平以下 1%，90平以上1.5% 二套房90平以下1%，90平以上2% 三套房不论面积统一3% 2增值税： 满两年不论面积 全免 不满二年 收全额的5.6% 3个人所得税： 满两年1% 满五唯一免个人所得税

房主自荐(业主对房源的描述)",房子没有抵押和贷款，产权清晰，诚心出售。因去外地发展，便宜出售此套房屋。,,,,,,
24,枫林雅都 精装两房中间楼层全天采光无遮挡随时可看,71万,10353,钟楼区北港,枫林雅都,2室2厅1厨1卫,中楼层 (共18层),68.58㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯三户,有,暂无数据,2023-08-17,商品房,2023-11-02,普通住宅,未满两年,共有,有抵押 40万元 公积金 客户偿还,已上传房本照片,房子无抵押，产权清晰，随时可以签约，精装，保养好，,小区环境优美，舒适安静 适宜居住，出门即有公交菜场，银行 美食等 人文素养好，乐于助人，相处和谐,两个房间都有朝南的窗户，采光视野好，厨房空间宽敞方便日常做饭，生活阳台宽大便于晾晒、通风和采光,1.公园：青枫公园；2.购物：宝龙广场、龙湖天街；3.交通：地铁2号线青枫公园站、龙江路高架，主干道：星港路，玉龙路； 4.医疗：常州妇幼保健医院;,,,,,,,,,,,
25,次新小区 3房2卫精装修 拎包住 业主置换急售,148万,13359,钟楼区北港,梧桐香郡花园西区,3室2厅1厨2卫,低楼层 (共23层),110.79㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,两梯四户,有,暂无数据,2023-10-14,商品房,2017-10-31,普通住宅,暂无数据,共有,有抵押  江南银行,已上传房本照片,房东诚心出售.方便看房的..价格看中在谈..,小区地理位置 绿化 居民素质高 配套：有健身器材 小型篮球场 可供小区居民使用 车位：停车位：助人，小区环境优美，舒适安静 适宜居住，出门即有公交菜场，银行 .美食等 人文素养好，,,,,,和谐！配套齐全，公园地铁医院商小区环境优美，舒适安静，适宜居住，服务有保障。出门即有公交菜场，银行 商场 美食等 人文素养好，乐于助人，相处,"1.契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%, 2.增值税：产证满2年免收增值税，未满2年征收5.6％； 3.个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1",,,,,,,
26,保利新出小三房，精装修带地暖，出门公园地铁随时看房,138万,16113,钟楼区北港,保利公园九里,3室2厅1厨1卫,高楼层 (共33层),85.65㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2023-08-05,商品房,2017-06-01,普通住宅,暂无数据,共有,有抵押 60万元 江南 客户偿还,已上传房本照片,户型好，朝南舒适，全天采光。房型方正视野好。干湿分离 格局..,"配套公园，地铁，步行！商场，天街，步行！医院，电动车！设施完善。
小区环境优美，舒适安静 适宜居住，出门即有公交菜场，银行 市 美食等 人文素养好，乐于助人，相处和谐","户型好，朝南舒适，全天采光。房型方正视野好。干湿分离 格局分明。
户型朝南舒适，全天采光。房型方正视野好。客厅宽敞舒适，使用率高 卧室温馨","配套公园，地铁，步行！商场，天街，步行！医院，电动车！设施完善。
小区环境优美，舒适安静 适宜居住，出门即有公交菜场，银行 市 美食等 人文素养好，乐于助人，相处和谐",,,,,,,,,,,
27,景瑞曦城适住一居 位置好采光好 业主诚意出售,60万,9147,钟楼区北港,景瑞曦城,1室2厅1厨1卫,高楼层 (共18层),65.6㎡,平层,暂无数据,板塔结合,南 北,钢混结构,简装,两梯四户,有,暂无数据,2020-01-04,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,客厅宽敞舒适，使用率高 卧室温馨 居住理想.,小区生活设施齐全，商场、*市、菜市场、银行等，交通便捷；2、小区内有健身器材，小型篮球场，可供小区居民使用；3、小区内停车位充足，建有地上停车场和地下车库；4、小区内24小时保安巡逻,,青枫公园 宝龙广场 菜市场 银行 永辉*市 妇幼保健院 龙江高架，设施齐全,,,,契税 首套房90平以下 1%，90平以上1.5% 二套房90平以下1%，90平以上2% 三套房不论面积统一3% 2增税： 满两年不论面积 全免 不满二年 收全额的5.6% 3个人所得税： 满两年1% 满五唯一免个人所得税,,,,,,,
28,景瑞曦城 3室2厅 南,108万,12414,钟楼区北港,景瑞曦城,3室2厅1厨1卫,高楼层 (共18层),87㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2023-06-14,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,,,,,,,,,,,,,,,
29,青枫公园地铁口 凯尔位置好楼层东边户景观房滿五唯一,145万,12034,钟楼区北港,凯尔枫尚花园,3室2厅1厨2卫,高楼层 (共26层),120.5㎡,平层,暂无数据,塔楼,南,钢混结构,精装,两梯三户,有,暂无数据,2023-05-25,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,青枫公园地铁口 凯尔楼位置好楼层东边户景观房，滿五唯一,小区地理位置好，青枫公园地铁二号线。 绿化 居民素质高 配套：有健身器材 小型篮球场 可供小区居民使用 车位：停车位：助人，小区环境优美，舒适安静 适宜居住，出门即有公交菜场，银行 市 美食等 人文素养好,,配套齐全，小区出门就是餐饮，购物广场，医院，菜市场都在一公里范围内。大润发 大型广场，国际影城，四大银行，大公园，宝龙广场，龙湖天街,,,,1契税 首套房90平以下 1%，90平以上1.5% 二套房90平以下1%，90平以上2% 三套房不论面积统一3% 2增税： 满两年不论面积 全免 不满二年 收全额的5.3% 3个人所得税： 满两年1% 满五唯一免个人所得税,,,房东诚心出售房子 看中好谈。 明厨明卫，通风好，东边户，3面采光，景观房视野好，诚心卖，看中价格可以商量,,,,
30,凯尔枫尚 精装修2房 低楼层 采光好 配套齐全,101万,11522,钟楼区北港,凯尔枫尚花园,2室2厅1厨1卫,低楼层 (共26层),87.66㎡,平层,暂无数据,塔楼,南,钢混结构,精装,一梯三户,有,暂无数据,2024-02-27,商品房,2013-02-22,普通住宅,暂无数据,共有,无抵押,已上传房本照片,此房户型方正 两室两厅一厨一卫 高楼层 采光充足 配套完善,小区地理位置好 绿化好 居民素质高 配套：有健身器材 小型篮球场 可供小区居民使用 车位：停车位充足 地面人车分流保安：小区内24保安巡逻,,,,,小区环境优美，舒适安静，适宜居住，服务有保障。出门即有公交菜场，银行 商场 美食等 人文素养好，乐于助人，相处和谐！配套齐全，公园地铁医院商,"1.契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%, 2.增值税：产证满2年免收增值税，未满2年征收5.6％； 3.个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,,,
31,青枫公园 地铁口 保利公园九里旁,148万,12973,钟楼区北港,河枫御景花苑,3室2厅1厨2卫,高楼层 (共27层),114.09㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,两梯三户,有,暂无数据,2024-03-02,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,青枫公园 客厅宽敞舒适，使用率高 ，朝南户型,小区环境优美，舒适安静 适宜居住，出门即有公交菜场，银行 美食等 人文素养好，乐于助人，相处和谐,户型 朝南舒适，全天采光。房型方正视野好。干湿分离 格局分明,成熟社区，配套设施齐，菜场，娱乐场所，公园 银行 医院，适宜居住 让你步行就满足一切生活所需,,,,,,,,,,,
32,景瑞英郡花苑2-2-1-1 85.60m²,88万,10281,钟楼区北港,景瑞英郡花苑,2室2厅1厨1卫,低楼层 (共32层),85.6㎡,平层,暂无数据,板塔结合,南,钢混结构,简装,两梯四户,有,暂无数据,2023-12-06,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,此房户型方正，两室两厅一厨一卫 中低楼层 采光充足,小区地理位置好 绿化好 居民素质高 配套：有健身器材 小型篮球场 可供小区居民使用 车位：停车位充足 地面人车分流保安：小区内24保安巡逻,,小区环境优美，舒适安静，适宜居住，服务有保障。出门即有公交菜场，银行 商场 美食等 人文素养好，乐于助人，相处和谐！配套齐全，公园地铁医院商,,,,"1.契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%, 2.增值税：产证满2年免收增值税，未满2年征收5.6％； 3.个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1",,,,,,,
33,清云澜湾A区 2室1厅 南,130万,14607,钟楼区北港,清云澜湾A区,2室1厅1厨1卫,低楼层 (共27层),89㎡,平层,暂无数据,暂无数据,南,未知结构,精装,暂无数据,暂无数据,暂无数据,2024-03-04,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,,,,,,,,,,,,,,,
