,标题,总价格,单价,地段,小区名,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,售房详情,周边配套,税费解析,房源核验码,查询房管备案记录,小区介绍,权属抵押,适宜人群,装修描述,户型介绍,交通出行,别墅类型,用水类型,用电类型,燃气价格
10,经开区 精装通透 3房2卫边户 联动阳台 随时可看,180万,15343,经开区青龙,旭辉.都会上著,3室2厅1厨2卫,中楼层 (共18层),117.32㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-09-04,商品房,2022-08-11,普通住宅,未满两年,非共有,有抵押,已上传房本照片,经开区 精装3房2卫边户 联动阳台 随时可看,业主现诚心出售，证件齐，欢迎看房，随时恭候，如看中房子，价格可谈,,"首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90 平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值 税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5 年成交价的1%",,,,此房 产权清晰，交易简洁方便 全程过户陪同 。。。。。。。。,,,,,,,,
11,新城物业三房，天宁吾悦2号线，精装拎包入住,115万,11619,天宁区青龙,香溢紫郡,3室1厅2厨1卫,低楼层 (共34层),98.98㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2023-04-17,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 85万元 业主自还,未上传房本照片,新城物业三房，天宁吾悦2号线，精装拎包入住,,1.格局分布合理，空间感好，通透性强，居住舒适。 2.楼层佳，朝向南北，视野开阔，采光充沛。 3.小区环境优美，绿化覆盖面积高，干净整洁，内有建设器材和娱乐场所，物业态度比较好,商品房。契税：首套房成交价的1.5%，二套房成交价的2%，三套房成交价的3%。 增值税：满2年免征。 个税：不满5年征收1%。,,,1.小区生活实施齐全，商场，菜市场，银行等。 2.小区内有健身器材，小型篮球场，可供小区居民使用。 3.小区停车位充足，建有地面临时停车位以及底下停车位。 4.小区内24小时保安巡逻,,,,,,,,,
12,景瑞望府精装修三朝南好户型 房东诚心出售,220万,16431,天宁区青龙,望府花苑,3室2厅1厨2卫,高楼层 (共32层),133.9㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯三户,有,暂无数据,2022-01-04,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 110万元 客户部分偿还,未上传房本照片,此房南北，通透，楼层好，视野开阔，全天采光，配套齐全,业主人非 常友好、热情，很有诚意出售。欢迎看房，随时恭候户型棒，成熟小区管理,生活设施齐 银行 菜场 商场 饮食近在咫尺 生活起居很方便。,首套房契税是1.5%，二套是2%，三套及以上是3%，如不满两年增加5.3%的增值税,,,,,,,,,,,,
13,阳光龙庭三房出售，视野采光好装修！ 业主诚心出售,115万,12998,天宁区青龙,阳光龙庭,3室2厅1厨1卫,中楼层 (共33层),88.48㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2023-10-18,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,阳光龙庭三房出售，视野采光好装修！ 业主诚心出售,,,,,,阳光龙庭一共42栋，1-21号为别墅区，22-42为高层住宅。一共分三期，2013-2015年。开发商为常州北辰置业有限公司。物业为中房物业,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同,,,,,,,,
14,豪郡花园，满五唯一省个税，房东诚心出售。,105万,9906,天宁区青龙,豪郡花园,3室2厅1厨1卫,高楼层 (共33层),106㎡,平层,暂无数据,板塔结合,东南 南,钢混结构,精装,两梯四户,有,暂无数据,2021-04-23,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,满五唯一省个税，户型是这个小区经典户型，近天宁吾悦，地铁口,房东目前自住，此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同,,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是唯 一套住房，免收个税，未满5年成交价的1%",,,,业主现诚心出售，证件齐，欢迎看房，随时恭候，如看中房子，价格可谈。,,,,,,,,
15,中高楼层，精装修，可以拎包入住。,120万,14863,天宁区青龙,望府花苑,2室1厅1厨1卫,中楼层 (共32层),80.74㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯三户,有,暂无数据,2021-04-28,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押 70万元,未上传房本照片,楼层好 采光佳  精装修 拎包即住 价格可议,业主现诚心出售，证件齐，欢迎看房，随时恭候，如看中房子，价格可谈。,,,,,,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同,【居民素质】成熟小区，住户稳定，租客少，邻里关系相处比较融洽,,,,,,,
16,环境优雅 人车分流 地暖新风精装洋房,160万,16667,天宁区青龙,万科新都会,3室2厅1厨1卫,低楼层 (共26层),96㎡,平层,暂无数据,暂无数据,南,未知结构,精装,两梯四户,有,暂无数据,2023-07-12,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,环境优雅 人车分流 地暖新风精装洋房,,公园景观环伺，紫荆公园，丁塘河湿地公园，横塘河、丁塘河、北塘河环伺。,1、契税：首套房，90平米以下成交价1%，90平米以上成交价的1.5%。二套房90平以上成交价的2%。 2、增值税：产证满2年免收增值税，未满2年征收5.6%。 3、个税：产证满5年而且是唯一一套住房，免收个税，未满5年，成交价的1%,,,,,,"万科品质，精装修包含了地暖、新风和空调，空间利用合理。
卧室有实木地板，品牌为圣象或不低于此的；厨电为方太或不低于此的，厨盆为摩恩或不低于此的；卫生间瓷砖为欧神诺或不低于此的；洁具、五金为科勒或不低于此的。",,,,,,
17,水晶城精装三房楼层佳采光全天无遮挡,138万,11565,天宁区青龙,水晶城,3室2厅1厨1卫,高楼层 (共18层),119.33㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-05-08,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,视野开阔，阳光充足，门口就是地铁口，天宁吾悦，中楼层,,青洋路高架，天宁吾悦，交通银行，中国工商银行，邮政储蓄，永辉 ，金新御园菜场,契税：首套房90平米以下是成交价的1％，90平米以上是成交价的1.5％； 二套房90平米以下是成交价的1％，90平米以上是成交价的2％；三套房是成交价的3％,,,,此房产权清晰，没有贷款，房东对付款没有太大的要求，按照正常首付就可以,,,,,,,,
18,经典三房，户型方正，楼层好采光好,139万,14038,天宁区青龙,香溢紫郡,3室2厅1厨2卫,高楼层 (共34层),99.02㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2024-02-28,商品房,2023-02-08,普通住宅,未满两年,共有,有抵押,已上传房本照片,经典边户三房，户型方正，楼层好采光好,,综合市场，医院，银行交通银行，中国工商银行，中国工商银行，邮政储蓄.吾悦广场,首套房90平米以下是成交价的1％，90平米以上是成交价的1.5％； 二套房90平米以下是成交价的1％，90平米以上是成交价的2％；三套房是成交价的3％.,,,,,,,户型方正，格局分布合理，空间感好，通透性强，居住舒适。楼层佳，南北朝向，视野开阔，采光充沛,,,,,
19,：三年内的精装修，房东很诚心卖，看中可以谈价格。,118万,13614,天宁区青龙,阳光龙庭,2室2厅1厨1卫,中楼层 (共33层),86.68㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2023-12-09,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 业主自还,未上传房本照片,"：
此房是三年内的精装修，房东很诚心卖，看中可以谈价格。",,阳光龙庭小区门口有幼儿园，龙锦X学 ，二十四中分校，教育资源丰富，上学方便，步行即可。,1、契税：首套房，90平米以下成交价1%，90平米以上成交价的1.5%。二套房90平以上成交价的2%。 2、增值税：产证满2年免收增值税，未满2年征收5.3%。 3、个税：产证满5年而且是唯一一套住房，免收个税，未满5年，成交价的1%,,,,,,,,,,,,
20,新上天宁吾悦旁豪郡花园小三房不靠高架,89万,10370,天宁区青龙,豪郡花园,3室2厅1厨1卫,高楼层 (共33层),85.83㎡,平层,67.8㎡,板塔结合,南,钢混结构,简装,两梯四户,有,暂无数据,2024-02-27,商品房,2019-11-08,普通住宅,暂无数据,共有,无抵押,已上传房本照片,"：
房子即将满五，2019年交付，楼层中，看房预约。",,金新御园综合市场，永辉大卖场，医院，银行交通银行，中国工商银行，邮政储蓄，吾悦广场。,税费解析：此房满五唯一，故个税是0%。契税：首套房90平米以下是成交价的1％，90平米以上是成交价的1.5％； 二套房90平米以下是成交价的1％，90平米以上是成交价的2％；三套房是成交价的3％。,,,,,,,,小区步行1000米到达地铁二号线紫云居站， 步行200米公交站30路 步行800米63路公交车站,,,,
21,天宁吾悦旁 常发豪郡二期 四房 三个阳台 中间楼层,160万,13116,天宁区青龙,豪郡花园,4室2厅1厨2卫,中楼层 (共33层),121.99㎡,平层,暂无数据,板塔结合,南,砖混结构,精装,两梯四户,有,暂无数据,2023-12-09,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 12万元 业主自还,未上传房本照片,满二没有增值税 户型方正楼层好视野开阔不靠高架采光,,,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率）， 若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税均按照3%收取,,,,,,,小区是次新小区 户型方正 两房朝南 三个阳台 四房 中间楼层 采光佳,小区步行到地铁二号线紫云居站1000米  步行200米到30路车站 步行1000到63路车站,,,,
22,天宁吾悦好三房！中间楼层全天采光 价格可谈,200万,16390,天宁区青龙,天宁吾悦广场,3室1厅1厨2卫,中楼层 (共32层),122.03㎡,平层,暂无数据,板塔结合,南 北,框架结构,毛坯,两梯三户,有,暂无数据,2024-03-11,商品房,2021-01-29,普通住宅,暂无数据,共有,无抵押,已上传房本照片,天宁吾悦好三房！中间楼层全天采光 价格可谈,,,税费解析：此房满二，故个税是1%。契税：首套房90平米以下是成交价的1％，90平米以上是成交价的1.5％； 二套房90平米以下是成交价的1％，90平米以上是成交价的2％；三套房是成交价的3％。税费解析：此房满二，故个税是1%。契税：首套房90平米以下是成交价..,,,综合市场，大卖场，医院，银行交通银行，中国工商银行，中国工商银行，邮政储蓄，吾悦广场。,此房产权清晰。房东无贷款，无抵押！房东对付款无要求，按照正常首付就可以。,,,,,,,,
23,龙湖香醍漫步南区 3室2厅 南,160万,18305,天宁区青龙,龙湖香醍漫步南区,3室2厅1厨1卫,高楼层 (共32层),87.41㎡,平层,67.39㎡,板楼,南,钢混结构,精装,两梯三户,有,暂无数据,2024-03-16,商品房,2014-06-19,普通住宅,暂无数据,非共有,有抵押,已上传房本照片,,,,,,,,,,,,,,,,
24,万科新都会，开发商精装交付视野好,168万,17299,天宁区青龙,万科新都会,3室2厅1厨2卫,高楼层 (共26层),97.12㎡,平层,暂无数据,暂无数据,南,未知结构,精装,暂无数据,暂无数据,暂无数据,2024-03-08,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押,未上传房本照片,价格好，楼层好，精装，可以根据自己的喜爱布置,,,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%，三套3% 2、增值税：产证满2年免收增值税，未满2年征收5.6％ 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%。",,,位置：小区地理位置佳，绿化高，居民素质高 配套：有健身器材，小型篮球场，可供小区居民使用 车位：停车位充足，建有地上停车场和地下车库 保安：小区内24小时保安巡逻,,,,万科精装修，方方正正，采光佳，可以根据自己的喜爱重新布置。 房主自荐(业主对房源的描述),,,,,
25,豪郡花园 三室两厅一厨一卫 楼层好 采光充足,105万,12217,天宁区青龙,豪郡花园,3室2厅1厨1卫,中楼层 (共34层),85.95㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2024-03-07,商品房,2022-02-15,普通住宅,满两年,共有,无抵押,已上传房本照片,楼层好，视野开阔，采光好，配套齐全，诚心出售,,,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率）， 若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税均按照3%收取,,,次新小区 小区游玩设施多 物业管理优秀 小区到吾悦广场菜场很久 交通便利 配套齐全,,,,,小区步行1000米到达地铁二号线紫云居站， 步行200米公交站30路 步行800米63路公交车站,,,,
26,央著瑞庭 4室2厅 南,350万,24524,天宁区青龙,央著瑞庭,4室2厅1厨2卫,中楼层 (共17层),142.72㎡,平层,暂无数据,板楼,南,钢混结构,精装,一梯两户,有,暂无数据,2024-02-24,商品房,2021-07-01,普通住宅,暂无数据,共有,有抵押 22万元 业主自还,已上传房本照片,,,,,,,,,,,,,,,,
27,地铁2号线香溢紫郡精装三房采光无遮挡业主诚心出售,105万,11932,天宁区青龙,香溢紫郡,3室2厅1厨1卫,低楼层 (共34层),88㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,两梯四户,有,暂无数据,2023-12-18,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,香溢紫郡 精装 户型方正 看房方便 天宁吾悦旁,,,"： ： 税费解析：税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,： 小区生活设施齐，商场、菜市场、银行等，交通便捷，2.小区内有健身器材，小型篮球场，可供小区居民使用；3.小区内停车位充足，建有地下停车场，人车分流。地上有会客停车位。4.小区内24小时保安巡逻,,"1，，配套齐全，有菜场，公园，不临街，靠医院近 2，适合首付不多,需要多个房间的人群 3，交通便利，四通八达，出行更加方便，节省时间 4.配套医院近，适合家有老人和孩子的家庭",,,,,,,
28,2号线地铁口月馨园精装两房 上佳楼层 业主诚售,118万,12041,天宁区青龙,月馨苑,2室1厅1厨1卫,中楼层 (共32层),98㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2024-03-07,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,该房满五不唯一，个税业主承担 南北通风 采光好,,红梅公园，东坡公园，儿童医院，大润发，火车站，朝阳菜场，生活便利,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%, 2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,,,,2号线地铁口 小区有共享单车停放点，有公交站台，可以乘坐10，25，60，203路等公交车，地处繁华，打车也方便，交通十分便利,,,,
29,急售！中上楼层，采光好，重新装修，价格可谈。,168万,17088,天宁区青龙,万科新都会,3室2厅1厨1卫,中楼层 (共27层),98.32㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2023-12-09,商品房,2023-03-06,普通住宅,未满两年,共有,有抵押 80万元,已上传房本照片,急售！中上楼层，采光好，重新装修，价格可谈。,,,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%，三套3% 2、增值税：产证满2年免收增值税，未满2年征收5.6％ 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,小区地理位置佳，绿化高，居民素质高 配套：有健身器材，小型篮球场，可供小区居民使用 车位：停车位充足，建有地上停车场和地下车库 保安：小区内24小时保安巡逻,,,,万科精装修，地暖、新风、中控空调，阳台全部封好，全屋定制柜子。三朝南户型，方方正正，采光佳，可以根据自己的喜爱重新布置,,,,,
30,全新家电家具齐全，未入住，诚心出售，看房方便,215万,18599,天宁区青龙,万科新都会,3室1厅1厨2卫,高楼层 (共27层),115.6㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2024-03-09,商品房,2023-01-03,普通住宅,未满两年,非共有,无抵押,已上传房本照片,楼层中上，全天采光，开发商精装，万科物业，房东诚心出售,,,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%，三套3% 2、增值税：产证满2年免收增值税，未满2年征收5.6％ 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,小区是全新交付小区，里面有篮球场、塑胶跑道等，饭后散步，早起健身等都可。 万科物业，贴心服务，24小时，随叫随到。,,比较适合年轻人，全新交付小区，刚需类，小区居住环境好，配套齐全，服务贴心,小区本身就是精装修三大件的交付标准，地暖、新风和空调，居住舒适感拉满。,,,,,,
31,琅越龙洲花苑 3室2厅 南,268万,26020,天宁区青龙,琅越龙洲花苑,3室2厅1厨1卫,中楼层 (共26层),103㎡,平层,暂无数据,暂无数据,南,未知结构,精装,暂无数据,暂无数据,暂无数据,2024-02-26,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,,,,,,,,,,,,,,,,
32,阳光龙庭精装修119.94平三房随时看房 中间楼层,179.8万,14991,天宁区青龙,阳光龙庭,3室2厅1厨1卫,中楼层 (共33层),119.94㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2024-01-13,商品房,2014-04-18,普通住宅,暂无数据,共有,无抵押,已上传房本照片,大三房，随心设计，房屋产权清晰，房东诚心出售,,小区生活设施齐全，菜市场、银行、交通便捷； 2、小区内有健身器材，小型篮球场，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车库； 4、小区内24小时保安巡逻。,首套房契税1%，二套房1%，三套或以上3% 2、大于九十平以上首套房契税1.5%，二套房2%，三套或以上3% 3、不满两年增值税5.6%，满两年免增值税 4、满五年唯一免个税,,,,,,,,,,,,
33,楼栋位置好，小区环境好，户型好，业主诚心出售,100万,11240,天宁区青龙,香溢紫郡,3室2厅1厨1卫,低楼层 (共34层),88.97㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2024-03-05,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,楼栋位置好，小区环境好，户型好，业主诚心出售,,"1，，配套齐全，有菜场，公园，不临街，靠医院近 2，适合首付不多,需要多个房间的人群 3，交通便利，四通八达，出行更加方便，节省时间 4.配套医院近，适合家有老人和孩子的家庭","税费解析：税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,小区生活设施齐，商场、菜市场、银行等，交通便捷，2.小区内有健身器材，小型篮球场，可供小区居民使用；3.小区内停车位充足，建有地下停车场，人车分流。地上有会客停车位。4.小区内24小时保安巡逻,,,,,,,,,
34,香溢紫郡 三房 精装修 带字母车位 房东诚心出售,138万,12661,天宁区青龙,香溢紫郡,3室2厅1厨1卫,高楼层 (共34层),109㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯三户,有,暂无数据,2024-03-04,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房满五唯一楼层中上视野好采光充足交通便,,,首套产证面积小于90平方 契税一个点 大于90平方一点五  二套产证面积小于90平方一个点 大于90平方2个点 三套为三个点,,,,,,,房屋房龄较新户型楼层中上采光佳装修不错拎包即住     户型好,小区步行到地铁二号线紫云站1000米 小区出门有公交线路30路  63路  202路,,,,
