,标题,总价格,单价,地段,小区名,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,房源核验码,查询房管备案记录,核心卖点,小区介绍,税费解析,交通出行,户型介绍,周边配套,售房详情,权属抵押,适宜人群,装修描述,别墅类型,用水类型,用电类型,燃气价格
10,鹏欣丽都，二室二厅，诚意出售，没小孩读书,195万,20721,钟楼区南大街,鹏欣丽都,2室2厅1厨1卫,低楼层 (共33层),94.11㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2024-01-26,商品房,2018-09-05,普通住宅,暂无数据,非共有,有抵押,已上传房本照片,,,鹏欣丽都，二室二厅，诚意出售，没小孩读书,,"1. 契税：首套房，90平米及以下成交价的1％，90平米以上成交价的1.5％, 二套房90平及以下成交价的1%，90平以上成交价的2%,三套房或以上成交价的3%。 2. 个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,配套设施齐全，出门左拐200米有华联小卖部，1000米有苏宁家电广场，1100米有建设银行，1400米就到了南大街，娱乐消费场所一应俱全,,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同。,,,,,,
11,此房产权清晰，边户采光佳，户型方正，看房方便~,135万,30682,天宁区南大街,新丰街西楼,1室1厅1厨1卫,高楼层 (共6层),44㎡,平层,暂无数据,板塔结合,南,混合结构,简装,暂无数据,无,暂无数据,2024-02-24,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,,,此房产权清晰，楼层好，采光佳，户型方正，看房方便~,,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,业主现诚心出售，证件齐，欢迎看房，随时恭候，如看中房子，价格可谈,此房产权清晰，房源真实，业主诚心出售，证件齐全，看房方便，，，,,,,,,
12,大润发旁前面无遮挡。阳光充足。看房随时四周配套齐全,192万,13522,钟楼区南大街,香江华廷花园,4室2厅1厨2卫,中楼层 (共18层),142㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯两户,有,暂无数据,2024-03-01,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,,,大润发旁前面无遮挡。阳光充足。户型好看房随时四周配套齐全,"小区介绍：
香江华庭里面有别墅跟洋房跟高层，小区人文圈层高房子地段好，环境优。共30幢房子跟十几幢独幢别墅",,,,大润发旁。爱心公园旁。到清潭体育馆也可以步行10多分.钟。到清潭菜场跟荆川公园也很方便,,,房子适合三代人居住。老小皆宜。阳光充足，大润发就在旁边。购物方便，交通BRT就家门口,,,,,
13,怀德苑电梯房，户型好，装修干净整洁，出入方便。,150万,14031,钟楼区南大街,怀德苑,3室2厅1厨1卫,中楼层 (共9层),106.91㎡,平层,89.6㎡,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2024-03-04,商品房,2001-04-27,普通住宅,满五年,非共有,无抵押,已上传房本照片,,,怀德苑电梯房，户型好，装修干净整洁，出入方便。,,房子为商品房，满2年 ，面积大于90平，首套房契税为1.5% 二套房的契税为2% 三套及以上为3%,,"1，户型方正，格局分布合理，空间感好，通透性强，居住舒适
2，楼层位置不影响采光，
3，2个卧室朝南，客厅带阳台显客厅宽敞
4，全屋主功能间都带有窗户，明厨明卫，更响亮。",距离公园仅800米，距离钟楼吾悦直线距离仅1000米，距离麦德龙大卖场仅1800米。龙城高架近在咫尺，出小区门口行驶两百米直接可以上高架了。距离高铁北站仅5千米，出行方便,,,"1，小区是封闭式管理小区，配有大花园，环境优美，24小时的安保，儿童游乐设施，门口就有幼儿园，接娃方便。,
2，小区成熟，购物交通便利，上学近，步行就可到达
3，适合预算有限，想给家人孩子老人一个舒心环境的家庭",,,,,
14,东区楼梯房，第二排，中间楼层采光好上楼不累 三朝南,145万,12277,钟楼区南大街,金色新城东区,3室2厅1厨1卫,中楼层 (共6层),118.11㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2024-01-18,商品房,2016-07-29,普通住宅,暂无数据,共有,有抵押 30万元 邮政储蓄 业主自还,已上传房本照片,042455288469,东区楼梯房，第二排，中间楼层采光好上楼不累 三朝南，看房方便,房子是三朝南的户型，一个楼梯上来两户人家，公摊面积少，餐客厅一体的户型，通透性好,,,,房屋空置，房东在异地发展了，诚心出售，此房已经满五唯一了，看房方便,,之前的装修不新颖，但是家里很干净，要求不高的客户局部改动就可以入住了，户型方正，换成新装修，更加漂亮,,,,,,,
15,斜桥巷三房 户型方正 房东变现 诚意售,198万,24117,天宁区南大街,斜桥巷,3室1厅1厨1卫,低楼层 (共14层),82.1㎡,平层,暂无数据,板楼,南,砖混结构,简装,两梯七户,有,暂无数据,2024-03-05,商品房,2023-09-16,普通住宅,未满两年,共有,无抵押,已上传房本照片,,,斜桥巷三房 户型方正 房东变现 诚意售 解小实验空置,,"契税：首套房90平米以下是成交价的1％，90平米以上是成交价的1.5％； 二套房90平米以下是成交价的1％，90平米以上是成交价的2％；三套房是成交方正,空间感好,通透性好,居住舒适。价的3％.",距火车站800米！地铁一号。二号线交汇点100米！还有BRT等多路公交线路！出行方便,,四周有大型购物商场！东坡公园！红梅公园！一院。二院。中医院！路桥商场！三鲜美食,,,,,,,,
16,香江华庭10楼141平方南是别墅视野开阔精装修大润发旁,215万,15281,钟楼区南大街,香江华廷花园,3室2厅1厨2卫,中楼层 (共22层),140.7㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,两梯四户,有,暂无数据,2024-02-28,商品房,2017-03-20,普通住宅,暂无数据,共有,无抵押,已上传房本照片,,,大润发旁前面无遮挡。阳光充足。户型好看房随时四周配套齐全,香江华庭里面有别墅跟洋房跟高层，小区人文圈层高房子地段好，环境优。共30幢房子跟十几幢独幢别墅,,,,大润发旁。爱心公园旁。到清潭体育馆也可以步行10多分.钟。到清潭菜场跟荆川公园也很方便,,,房子适合三代人居住。老小皆宜。阳光充足，大润发就在旁边。购物方便，交通BRT就家门口,,,,,
17,局前街 北郊 空置，产证齐全，精装修，诚意出售,187万,27500,天宁区南大街,北直街小区,2室1厅1厨1卫,低楼层 (共6层),68㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,暂无数据,暂无数据,暂无数据,2024-02-25,商品房,2016-04-01,普通住宅,暂无数据,共有,无抵押,已上传房本照片,,,2楼，精装，家电家具全。中层，南北通风采光好，诚意出售。,,,,,到八角井菜市场50米，到口腔医院50米，到火车站300米，到泰富百货500米。,无抵押，无贷款，夫妻共有，产权清晰。诚意出售，看房方便。没小孩读书。,,,,,,,
18,河景花园 怀德桥精装河景两房 诚意出售,119万,13554,钟楼区南大街,河景花园,2室2厅1厨1卫,中楼层 (共25层),87.8㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯四户,有,暂无数据,2023-12-18,商品房,2006-10-26,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,,,河景花园精装两房 怀德桥河景房 朝南,,1、契税：首套房，90平米以下成交价1%，90平米以上成交价的1.5%。二套房90平以上成交价的2%。 2、增值税：产证满2年免收增值税，未满2年征收5.3%。 3、个税：产证满5年而且是唯一一套住房，免收个税，未满5年，成交价的1%,,,,业主现在诚心出售，证件齐全，欢迎看房，随时恭候，看房方便，专业讲解,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同,,,,,,
19,新房 晋陵文锦 毛坯两房 楼层好 方便上下学,193万,22007,钟楼区南大街,晋陵文锦,2室2厅1厨1卫,中楼层 (共34层),87.7㎡,暂无数据,暂无数据,板楼,南,钢混结构,毛坯,暂无数据,暂无数据,暂无数据,2023-05-26,商品房,2021-08-30,普通住宅,满两年,共有,无抵押,已上传房本照片,,,此房满2年 新小区 楼层好 上下学便利   诚心出售,,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%, 三套房无论面积大小都是3%；2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",小区地处市区交通便利：门口有公交站台BRT 24路 31路等 1公里内有火车站 ，汽车站，可以上环城高架,,"公园：小区自带一个青山公园 ,2公里内有红梅公园菜场：怡康菜场 ，锦绣菜场，：2公里内有大润发市 欧尚市。医院：2公里内有青山湾社区医院，武进医院，一院 ，二院",,,,,,,,
20,文化宫地铁一号线，没有小朋友上过学，随时可看,108万,47100,天宁区南大街,县学街87号,1室1厅1厨1卫,低楼层 (共6层),22.93㎡,暂无数据,暂无数据,暂无数据,南,未知结构,简装,暂无数据,暂无数据,暂无数据,2023-11-22,商品房,2021-05-20,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,,,配套设施齐全，地理位置优越，交通出行方便，采光好,,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",出门有共享单车，多路公交车直达，地铁1号线博爱路下可达，交通便利，配套完善,,,,,,房子虽然是老小区，但是业主全部重新装修，精装修未入住，南北朝向，格局好,,,,
21,怀德苑精装四房 采光明亮 楼层佳拎包住看房方便,180万,12454,钟楼区南大街,怀德苑,4室2厅1厨2卫,高楼层 (共10层),144.54㎡,暂无数据,暂无数据,板楼,南,钢混结构,精装,暂无数据,无,暂无数据,2023-05-25,商品房,2019-04-24,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,,,户型方正通风采光佳 楼层好 位置佳 看房方便,,"1：契税：首套房90平米以下1%，90平米以下1.5%；二套房90平米以下1%，90平米以上2%。3套及以上不论面积统一3%
2：增值税：满两年免征。不满两年5.3%
3：个人所得税：除满五唯一免征外，其他均按全额的1%征收。",,1、户型方正，格局分布合理，空间感好，通透性强，居住舒适 2、楼层佳，采光好，南北朝向，采光充足。3、小区环境优美，内有健身器材和娱乐广场，物业服务态度好。,,此房业主诚心出售，产权清晰，证件齐全，看房方便，价格还可以协商,,,,,,,
22,：户型方正 楼层好 采光充足 配套设施齐全 生活便,195万,22544,天宁区南大街,西园村,2室1厅1厨1卫,中楼层 (共4层),86.5㎡,暂无数据,暂无数据,暂无数据,南,未知结构,简装,暂无数据,暂无数据,暂无数据,2023-11-03,商品房,2020-10-28,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,,,户型方正，格局好，楼层好，采光充足，配套设施齐全，生活便.,,契税 首套房90平以下 1%，90平以上1.5% 二套房90平以下1%，90平以上2% 三套房不论面积统一3% 2税： 满两年不论面积 全免 不满二年 收全额的5.3% 3个人所得税： 满两年1% 满五免个人所得税,"地理位置优越,交通便利，出门就有公交站点，绿化优美，小区环境幽静、小区生活设施齐全，各大银行、菜场、商场、饮食近在咫尺，生活方便
售房详情：",,,此房房源真实，提前预约，随时可以看房，房东诚心出售，随时可签,,,,,,,
23,晋陵文锦 全新精装 拎包入住 上学空置 诚意出售,215万,24480,钟楼区南大街,晋陵文锦,2室1厅1厨1卫,低楼层 (共34层),87.83㎡,暂无数据,暂无数据,板楼,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-04-03,商品房,2021-09-26,普通住宅,满两年,共有,无抵押,已上传房本照片,,,视野开阔，采光充足，价格实在，诚意出售,,,,新房商品房高，毛坯装修，户型经典，利用率高 楼层，采光好，适合老人孩子居住,近北郊，位置好，近BRT，公交车站，离市里地铁站近，出行方便,,,人文环境好，适合老人养老，做婚房，适合大家庭居住，安全性高。,,,,,
24,中意宝第三期，中装，户型方正，明厨明卫有车位,120万,12873,钟楼区南大街,中意寳第,2室2厅1厨1卫,低楼层 (共29层),93.22㎡,暂无数据,暂无数据,板塔结合,南 北,钢混结构,简装,两梯四户,有,暂无数据,2023-03-30,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,,,楼层好，视野开阔，采光充足，配套齐全，交通方便,小区环境优美，舒适安静 适宜居住，出门即有公交，菜场，银行 美食等 人文素养好，乐于助人，相处和谐,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年名下唯一的住宅，可以免个税，未满5年的成交价的1%",,,大润发，联华、好又多大卖场、家家爱家具装饰城 中国银行、工商银行、农业银行、交通银行、建设银行、会馆浜菜场,,,,,,,,
25,诚心出售，随时看房，看房方便，价格可谈,88万,11734,钟楼区南大街,怀德苑,2室2厅1厨1卫,中楼层 (共6层),75㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,简装,一梯两户,有,暂无数据,2022-12-06,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,,,户型周正，格局分布合理，空间感好，通透性强。,1.小区生活设施齐，商场、菜市场、银行等，交通便捷，2.小区内有健身器材，小型篮球场，可供小区居民使用；3.小区内停车位充足，建有地下停车场，人车分流。地上有会客停车位。4.小区内24小时保安巡逻。,,,,生活配套齐全，医院，菜场，银行都有，成熟齐全，楼栋清晰分明，坐落有序，现场体验效果更加明显。,此房业主诚心出售，产权清晰，证件齐全，看房方便，价格还可以协商。,,,,,,,
26,解放路 斜桥巷 电梯精装两房 双朝南 采光好,200万,23810,天宁区南大街,电业宿舍,2室2厅1厨1卫,高楼层 (共28层),84㎡,暂无数据,暂无数据,板楼,南,框架结构,精装,一梯十户,有,暂无数据,2023-03-23,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,,,解放路 斜桥巷 电梯精装两房 双朝南 采光好,,1、契税：首套房，90平米以下成交价1%，90平米以上成交价的1.5%。二套房90平以上成交价的2%。 2、增值税：产证满2年免收增值税，未满2年征收5.3%。 3、个税：产证满5年而且是唯一一套住房，免收个税，未满5年，成交价的1%,,,,业主现在诚心出售，证件齐全，欢迎看房，随时恭候，看房方便，专业讲解,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同,,,,,,
27,毛坯房   房型方正     小区景观好,252万,21914,钟楼区南大街,运河天地,3室2厅1厨2卫,中楼层 (共32层),115㎡,暂无数据,暂无数据,板楼,东南,钢混结构,毛坯,暂无数据,暂无数据,暂无数据,2023-10-12,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,,,毛坯房  房型方正   新小区,小区环境优美，舒适安静 适宜居住，出门即有公交，菜场，银行 美食等 人文素养好，乐于助人，相处和谐,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年名下唯一的住宅，可以免个税，未满5年的成交价的1%",,,大润发，联华、好又多大卖场、中国银行、工商银行、农业银行、交通银行、建设银行、广化菜场,,,,,,,,
28,嘉宏盛世，户型方正，高楼层，自主装修，业主诚意出售,178万,20460,钟楼区南大街,嘉宏盛世,2室2厅1厨1卫,高楼层 (共33层),87㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,精装,两梯六户,有,暂无数据,2024-03-14,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,,,嘉宏盛世，户型方正，高楼层，自主装修，业主诚意出售,小区生活设施齐，商场、菜市场、银行等，交通便捷； 2、小区内有健身器材，小型篮球场，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车库； 4、小区内24小时保安巡逻,契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％，二套房90平以上成交价的2%；2.增值税：产证满2年免收增值税，未满2年征收5.6％； 3.个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%。,,,,,,,自住装修 保养好，对于装修风格没有过分要求的客户，可以拎包入住的,,,,
29,广景山庄 三房朝南 楼层高度适中,110万,10224,钟楼区南大街,广景山庄,3室2厅1厨1卫,中楼层 (共4层),107.6㎡,暂无数据,暂无数据,板楼,南,钢混结构,简装,暂无数据,暂无数据,暂无数据,2024-03-09,商品房,2020-06-03,普通住宅,暂无数据,共有,有抵押,已上传房本照片,,,设施齐全 银行 菜场 商场 饮食近在咫尺 生活起居很方便,小区环境优美，舒适安静 适宜居住，出门即有公交，菜场，银行 美食等,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率）， 若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税均按照3%收取,,,,诚意出售， 欢迎看房，随时恭候户型棒，成熟小区管理 欢迎咨询房子详情,,,,,,,
30,北直街顶楼带阁楼诚心出售价格可议,198万,24881,天宁区南大街,北直街小区,3室1厅1厨2卫,高楼层 (共6层),79.58㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,简装,暂无数据,暂无数据,暂无数据,2024-01-22,商品房,2017-01-11,普通住宅,暂无数据,非共有,有抵押 45万元,已上传房本照片,022469124030,房子满五不唯一，业主诚心出售，价格好谈,小区已重新改造，社区充电，停车，交通方便，路面平整，医疗，教育，生活方便。,契税首套1%，个人所得税1%，工本费80元，交易税费按照政策规定各付各税。,房产产权清晰，有抵押业主可提前还款，没有其他贷款抵押等等，交易安全，过程全城陪同。,,,,,,,,,,,
31,迎春花园（局+实）双闲置楼层好交通便利采光无遮挡,286万,36263,天宁区南大街,迎春花园,2室2厅1厨1卫,中楼层 (共5层),78.87㎡,暂无数据,暂无数据,暂无数据,南,未知结构,精装,两梯一户,有,暂无数据,2023-08-27,商品房,2018-02-23,普通住宅,暂无数据,共有,无抵押,已上传房本照片,022452369396,此房局+实双双闲置，无抵押无户口随时可交易,两房朝南，客厅朝北，南向采光无遮挡，得房率高，地理位置好。。,,0此房屋无户口，无抵押，共有产权，产权清晰，交易安全有保障。,,首套或者二套契税1%，此房满五不唯一，个税1%，工本费80元,,,,,,,,,
