,标题,总价格,单价,地段,小区名,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,小区介绍,税费解析,周边配套,售房详情,权属抵押,交通出行,户型介绍,房源核验码,查询房管备案记录,装修描述,适宜人群,别墅类型
10,集中供暖！采光好三房开发商精装修！中间好楼层,176万,17195,天宁区雕庄,泰和之春,3室2厅1厨1卫,中楼层 (共20层),102.36㎡,平层,暂无数据,板塔结合,南,未知结构,精装,两梯三户,有,暂无数据,2023-03-18,商品房,2021-03-01,普通住宅,满两年,非共有,有抵押,已上传房本照片,生活交通配套便利，户型方正，全明格局，楼层好视,采光好，环境优美，楼间开阔，居住舒适性高楼间开阔，居小区环境优美，治安放心，出行方便，自带活动场所，娱乐与健身一体，绿植保养好采光好，环境优住舒适性高,契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％，二套房90平以上成交价的2%；2.增值税：产证满2年免收增值税，未满2年征收5.6％； 3.个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%,天宁板块内中吴大道旁 购物就在家门口 局小分校区，正衡 配套齐全，上学就在家门口，资源充足,,,,,,,,,
11,含车位 璞樾和山 大横厅精装修三房 拎包即住,230万,18161,天宁区雕庄,新城招商·璞樾和山,3室2厅1厨2卫,中楼层 (共18层),126.65㎡,平层,暂无数据,暂无数据,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-05-30,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,此房精装三房。中高楼层。全天采光。 诚心出售，可随时看。,1、24小时安保，人车分流的小区，小高层设计，楼间距大， 2、小区内有健身器材，小型篮球场，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车库；,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,业主现诚心出售，欢迎看房，随时恭候，如看中房子，价格见面谈。,,,,,,,,
12,南北通风格局、 可用面积增多 ，采光好，交通便利,260万,18481,天宁区雕庄,中海铂悦公馆,4室2厅1厨2卫,低楼层 (共17层),140.69㎡,平层,暂无数据,暂无数据,南 北,未知结构,精装,暂无数据,暂无数据,暂无数据,2024-03-03,商品房,2020-08-20,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,南北通风格局、 可用面积增多 ，采光好，交通便利,楼间距大，采光好，绿化好，设有儿童游乐区，喷泉景观。分南大门和西大门，都可进出车辆,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是唯 一套住房，免收个税，未满5年成交价的1%",,此房产权清晰，房源真实，业主诚心出售，看房方便，可全程陪同看房,,,,,,,,
13,格局好，采光好，户型方正 ，配套全，交通便利。,148万,15570,天宁区雕庄,中海凤凰熙岸,3室2厅1厨1卫,中楼层 (共34层),95.06㎡,平层,暂无数据,塔楼,南,钢混结构,精装,两梯四户,有,暂无数据,2024-03-05,商品房,2019-12-24,普通住宅,暂无数据,共有,有抵押 20万元,已上传房本照片,格局好，采光好，户型方正 ，配套全，交通便利。,小区环境优美，物业管理好， 小区内有儿童娱乐场，小区停车位充足，电动车充电方便,首套房，90平米以下成交价的1%，90平米以上成交价的1.5%；二套房90平米以上的成交价的2%。2 增值税:产证满2年免收增值税。3 个税：产证满5年而且是唯一一套住房，免收个税。,丽华大润发，凤凰公园，连锁酒店，湿地公园，各大银行，各类小吃美食一应，还有在建的华润万象城，地铁一号线,,,,,,,,,
14,泰和之春101精装三房楼层好采光好,158万,15541,天宁区雕庄,泰和之春,3室2厅1厨1卫,高楼层 (共33层),101.67㎡,平层,暂无数据,暂无数据,南,未知结构,精装,暂无数据,暂无数据,暂无数据,2023-12-01,商品房,2021-02-19,普通住宅,满两年,非共有,无抵押,已上传房本照片,此房精装修。户型方正 三开间朝南 双阳台！楼层好采光好,,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是唯 一套住房，免收个税，未满5年成交价的1%",朝阳综合市场，大润发大卖场，德安医院，银行交通银行，中国工商银行，中国工商银行，邮政储蓄.,,此房产权清晰，房源真实，业主诚心出售，看房方便， 业主现诚心出售，证件齐，欢迎看房，随时恭候，随时看房的,,,,,,,
15,锦凤合鸣 精装三房，业主诚心出售，采光好。,140万,14516,天宁区雕庄,锦凤合鸣,3室1厅1厨1卫,低楼层 (共27层),96.45㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2024-03-01,商品房,2022-02-01,普通住宅,暂无数据,共有,无抵押,已上传房本照片,锦凤合鸣 精装三房，业主诚心出售，采光好。,小区环境优美，绿化覆盖率高，干净整洁，内有健身器材和娱乐广场，物业服务态度好； 2、小区地理位置优越，交通便捷，四通发达，设施齐全，生活便利,,小区商圈：万达广场，吾悦广场，福克斯流行广场、湖塘乐购等，学府氛围浓郁。边有大面积绿地公园，方便休闲、活动,,,,户型周正，格局分布合理，空间感好，通透性好，适宜居住； 2、楼层好，朝向南北，视野开阔，采光透亮,,,,,
16,新城开发复式跃层。采光充足，观景舒适，楼层好,270万,15341,天宁区雕庄,新城招商·璞樾和山,4室2厅1厨3卫,低楼层 (共18层),176㎡,跃层,暂无数据,板楼,南 北,钢混结构,毛坯,两梯两户,有,暂无数据,2024-01-01,商品房,2021-03-01,普通住宅,暂无数据,共有,有抵押 90万元,已上传房本照片,24小时安保，人车分流的小区，小高层设计，楼间距大， 2、小区内有健身器材，小型篮球场，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车库；,户型周正，格局分布合理，空间感好，通透性强，居住舒适； 2、楼层佳，朝向南北，视野开阔，采光透亮,,,,,,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",022448067121,新城开发复式跃层。采光充足，观景舒适，楼层好,,,
17,此房精装修 户型方正 三开间朝南 双阳台 楼层好采光好,199万,17305,天宁区雕庄,泰和之春,3室2厅1厨2卫,中楼层 (共25层),115㎡,平层,暂无数据,暂无数据,南,未知结构,精装,暂无数据,暂无数据,暂无数据,2024-02-29,商品房,2020-04-26,普通住宅,暂无数据,共有,无抵押,已上传房本照片,此房精装修。户型方正 三开间朝南 双阳台！楼层好采光好,,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是唯 一套住房，免收个税，未满5年成交价的1%",朝阳综合市场，大润发大卖场，德安医院，银行交通银行，中国工商银行，中国工商银行，邮政储蓄.,,此房产权清晰，房源真实，业主诚心出售，看房方便， 业主现诚心出售，证件齐，欢迎看房，随时恭候，随时看房的,,,,,,,
18,格局好，户型方正楼间距大 每个房间都有飘窗 明厨明卫,116万,12891,天宁区雕庄,中海凤凰熙岸,3室1厅1厨1卫,高楼层 (共34层),89.99㎡,暂无数据,暂无数据,塔楼,南 北,钢混结构,毛坯,十二梯四户,有,暂无数据,2023-07-12,商品房,2020-10-09,普通住宅,暂无数据,非共有,有抵押 120万元,已上传房本照片,格局好，户型方正 楼间距大 每个房间都有飘窗 明厨明卫,小区生活实施齐全，商场，菜市场，银行等。 2：小区内有健身器材，小型篮球场，可供小区居民使用。 3：小区停车位充足，建有地面临时停车位以及底下停车位。 4：小区内24小时保安巡逻,"首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",交通银行，中国工商银行，中国农业银行，邮政储蓄，绿地公园，大润发 房主自荐(业主对房源的描述),,,,,,,,,
19,格局好，户型方正 楼间距大 视野采光好,185万,16290,天宁区雕庄,中海凤凰熙岸,3室2厅1厨1卫,中楼层 (共34层),113.57㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯四户,有,暂无数据,2023-11-14,商品房,2019-04-15,普通住宅,暂无数据,共有,有抵押,已上传房本照片,格局好，户型方正 楼间距大 视野采光好,小区生活实施齐全，商场，菜市场，银行等。 2：小区内有健身器材，小型篮球场，可供小区居民使用。 3：小区停车位充足，建有地面临时停车位以及底下停车位。 4：小区内24小时保安巡逻,"首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",交通银行，中国工商银行，中国农业银行，邮政储蓄，绿地公园，大润发 房主自荐(业主对房源的描述)l,,,,,,,,,
20,璞樾和山，中间楼层，有钥匙随时看房，欢迎咨询,249.9万,17280,天宁区雕庄,新城招商·璞樾和山,4室2厅1厨3卫,中楼层 (共18层),144.62㎡,跃层,117.21㎡,暂无数据,南,钢混结构,毛坯,暂无数据,暂无数据,暂无数据,2022-08-20,商品房,2021-02-24,普通住宅,暂无数据,共有,有抵押 145万元 江南银行 客户偿还,已上传房本照片,房子楼层好 上下跃层复式 得房率高 多享面积多 一梯一户,小区是本土房地产新城控股开发 自带公园景观，北向运河景观带 绿化环境很好 安静静谧 适合居住 分布了好几个儿童游乐区，门口生活便利店也很多，居住舒适。新城物业给您品质的享受！,,综合市场，大润发，德安医院，银行交通银行，中国工商银行，中国工商银行，邮政储蓄 凤凰世纪广场 儿童医院 菜市场,业主现诚心出售，证件齐，欢迎看房，随时恭候 看房方便有钥匙 看中好商量,,,,,,,,
21,新城招商·璞樾和山 4室2厅 南,286万,20141,天宁区雕庄,新城招商·璞樾和山,4室2厅1厨3卫,高楼层 (共18层),142㎡,跃层,暂无数据,暂无数据,南,钢混结构,毛坯,暂无数据,暂无数据,暂无数据,2022-05-24,商品房,2020-03-30,普通住宅,暂无数据,非共有,有抵押 170万元,已上传房本照片,,,,,,,,,,,,,
22,新城璞樾和山 跃层空中墅 一梯一户小高层 运河畔,280万,16259,天宁区雕庄,新城招商·璞樾和山,4室2厅1厨2卫,低楼层 (共18层),172.22㎡,复式,暂无数据,暂无数据,南 北,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2022-12-28,商品房,2021-02-26,普通住宅,暂无数据,共有,有抵押 150万元 客户偿还,已上传房本照片,复式楼，跃层。户型方正，采光充足，观景舒适，楼层好,24小时安保，人车分流的小区，小高层设计，楼间距大， 2、小区内有健身器材，小型篮球场，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车库；,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,业主外地置换 现诚心出售，欢迎看房，随时恭候，如看中房子 见面协商，,,,户型周正，格局分布合理，空间感好，通透性强，居住舒适； 2、楼层佳，朝向南北，视野开阔，采光透亮,,,,,
23,新城璞樾和山毛坯5房3卫 奇数错层户型好 有车位,277万,15920,天宁区雕庄,新城招商·璞樾和山,5室2厅1厨3卫,低楼层 (共18层),174㎡,跃层,暂无数据,塔楼,南,钢混结构,毛坯,两梯两户,有,暂无数据,2022-05-21,商品房,2021-03-19,普通住宅,暂无数据,共有,有抵押 90万元,已上传房本照片,新城璞樾和山毛坯5房3卫 奇数错层户型好 有车位,,税费解析：此房满二，故个税是1%。契税：首套房90平米以下是成交价的1％，90平米以上是成交价的1.5％； 二套房90平米以下是成交价的1％，90平米以上是成交价的2％；三套房是成交价的3％.,朝阳综合市场，大润发大卖场，德安医院，银行交通银行，中国工商银行，中国工商银行，邮政储蓄.,,此房有贷款，产权清晰。房东对付款无要求，按照正常首付就可以。,,,,,,,
24,此房包含两个车位 跃层 中高楼层 随时看房,285万,19724,天宁区雕庄,新城招商·璞樾和山,4室2厅1厨3卫,高楼层 (共18层),144.5㎡,跃层,暂无数据,暂无数据,南,钢混结构,毛坯,暂无数据,暂无数据,暂无数据,2022-05-13,商品房,2021-03-04,普通住宅,暂无数据,共有,有抵押 130万元,已上传房本照片,此房毛坯三房。中间楼层。采光没影响。随时看房,1、24小时安保，人车分流的小区，小高层设计，楼间距大， 2、小区内有健身器材，小型篮球场，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车库；,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,此房产权清晰，房源真实，业主诚心出售，看房方便，可全程陪同看房,,,,,,,,
25,新城璞樾和山 跃层空中墅 多享面积多 一梯一户小高层,350万,20213,天宁区雕庄,新城招商·璞樾和山,4室2厅1厨3卫,低楼层 (共18层),173.16㎡,跃层,暂无数据,暂无数据,南,钢混结构,毛坯,暂无数据,暂无数据,暂无数据,2022-04-14,商品房,2020-05-12,普通住宅,满两年,非共有,有抵押 150万元 江苏银行,已上传房本照片,跃层，一梯一户，多享面积多，小高层，新城物业、新城品质,1.小区生活设施齐，商场、菜市场、银行等，交通便捷； 2、小区内有健身器材，小型篮球场，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车库； 4、小区内24小时保安巡逻,契税：1.首套90平以下1% 2.首套90平以上1.5% 3.二套90平以下1% 4.二套90平以上2% 5.三套都是3% 增值税：产权满两年免征 产权不满两年征收比例为5.3% 个人所得税：产证满五唯一免征 其他统一1%,天宁吾悦广场，凤凰公园，朝阳综合市场，大润发商场，德安医院，银行交通银行，中国工商银行，中国工商银行，邮政储蓄.,,,,,,,,,
26,璞樾和山中间楼层，跃层已浇筑，密码锁随时看房。,345.9万,24189,天宁区雕庄,新城招商·璞樾和山,4室2厅1厨3卫,中楼层 (共18层),143㎡,跃层,暂无数据,板楼,南,钢混结构,毛坯,暂无数据,暂无数据,暂无数据,2022-04-30,商品房,2020-07-28,普通住宅,满两年,共有,有抵押 143万元 中国银行股份有限公司常州武进支行 业主自还,已上传房本照片,跃层，一梯一户，多享面积多，小高层，新城物业、新城品质,1.小区生活设施齐，商场、菜市场、银行等，交通便捷； 2、小区内有健身器材，小型篮球场，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车库； 4、小区内24小时保安巡逻,契税：1.首套90平以下1% 2.首套90平以上1.5% 3.二套90平以下1% 4.二套90平以上2% 5.三套都是3% 增值税：产权满两年免征 产权不满两年征收比例为5.3% 个人所得税：产证满五唯一免征 其他统一1%,天宁吾悦广场，凤凰公园，朝阳综合市场，大润发商场，德安医院，银行交通银行，中国工商银行，中国工商银行，邮政储蓄.,,,,,,,,,
27,价格含车位！！！小高层精装大三房！泰和之春诚心卖！,230万,15956,天宁区雕庄,泰和之春,3室2厅1厨2卫,低楼层 (共17层),144.15㎡,平层,暂无数据,平房,南,钢混结构,精装,一梯一户,有,暂无数据,2023-11-05,商品房,2020-11-05,普通住宅,暂无数据,共有,无抵押,已上传房本照片,交通便利，小区设备齐全，房子产权清晰，能正常交易,小区生活实施齐全，商场，菜市场，银行等。2：小区内有健身器材，小型篮球场，可供小区居民使用。3：小区停车位充足，建有地面临时停车位以及底下停车位。4：小区内24小时保安巡逻,"首套房，90平米以下成交价的1%,90平米以上成交价的1.5%，二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6%;3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",交通银行，中国工商银行，中国农业银行，邮政储蓄，绿地公园，大润发房主自荐（业主对房源的描述）,,,,,,,,,
28,一楼精装底复，套房设计，家具家电齐全,550万,10906,天宁区雕庄,泰和之春,5室3厅2厨3卫,低楼层 (共17层),504.33㎡,跃层,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-11-02,商品房,2020-11-19,普通住宅,暂无数据,共有,无抵押,已上传房本照片,此房精装修。户型方正 三开间朝南 双阳台，套房设计，底复。,,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是唯 一套住房，免收个税，未满5年成交价的1%",朝阳综合市场，大润发大卖场，德安医院，银行交通银行，中国工商银行，中国工商银行，邮政储蓄.,此房产权清晰，房源真实，业主诚心出售，看房方便， 业主现诚心出售，证件齐，欢迎看房，随时恭候，随时看房的,,,,,,,,
29,泰和之春 DA平层 南北通透靠花园 教育资源丰富随时看,600万,21784,天宁区雕庄,泰和之春,4室2厅1厨3卫,中楼层 (共17层),275.44㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,两梯两户,有,暂无数据,2022-04-18,商品房,2021-07-19,普通住宅,满两年,共有,无抵押,已上传房本照片,新城泰和之春恒温房 地暖空调 生活方便 环境优美,,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是唯 一套住房，免收个税，未满5年成交价的1%",,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同,业主现诚心出售，证件齐，欢迎看房，随时恭候，随时看房的 预约看房,,,,,,,
30,中海铂悦公馆开发商精装四房满2年业主诚心出售,268万,19033,天宁区雕庄,中海铂悦公馆,4室2厅1厨2卫,低楼层 (共17层),140.81㎡,平层,暂无数据,暂无数据,南,未知结构,精装,暂无数据,暂无数据,暂无数据,2023-11-14,商品房,2021-06-23,普通住宅,暂无数据,共有,无抵押,已上传房本照片,小区位置好，环境优美，舒适安静，物业管理负责，居住便捷省心,1.小区生活设施齐，商场、菜市场、银行等，交通便捷 2.小区内有健身器材，儿童游乐设施，可供小区居民使用 3.小区内停车位充足，建有地下停车场，人车分流，地上有会客停车位 4.小区物业国家一级资质物业，24小时保安巡逻,此房不满二，满二个税是1%。契税：首套房90平米以下是成交价的1％，90平米以上是成交价的1.5％； 二套房90平米以下是成交价的1％，90平米以上是成交价的2％；三套房是成交价的3％,,,,,1.户型周正，格局分布合理，空间感好，通透性强，居住舒适 2.楼层佳，南北朝向，,,,,,
