,标题,总价格,单价,地段,小区名,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,小区介绍,税费解析,权属抵押,适宜人群,户型介绍,周边配套,售房详情,交通出行,房源核验码,查询房管备案记录,装修描述,别墅类型,用水类型,用电类型,燃气价格
10,绿都万和城七区 精装修边户 居家保养好 随时可以看房,145万,11871,新北区三井,绿都万和城七区,3室2厅1厨2卫,低楼层 (共34层),122.15㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2023-08-25,商品房,2016-12-12,普通住宅,暂无数据,共有,有抵押,已上传房本照片,繁华地段，交通便利，视野开阔， 采光充足，配套齐全,配套公园，地铁，步行！商场，天街，步行！医院，电动车！设施完善。 小区环境优美，舒适安静 适宜居住，出门即有公交菜场，银行 市 美食等 人文素养好，乐于助人，相处和谐,A首套 90平以下1% B首套 90平以上1.5% C二套90平以下1% D二套90平以上2% E三套都是3%增值税：满两年免征 不满2年权.额征收5.6%个人所得税：不满5年征1%,,,户型好，朝南舒适，干湿分离 格局分明。 户型朝南舒适，客厅宽敞舒适，使用率高 卧室温馨,配套公园，地铁，步行！商场，天街，步行！医院，电动车！设施完善。 小区环境优美，舒适安静 适宜居住，出门即有公交菜场，银行 市 美食等 人文素养好，乐于助人，相处和谐,,,,,,,,,
11,奥体旁 毛坯2房 中间楼层 新北 SY 120W 边户,89万,10420,新北区三井,绿洲家园,2室2厅1厨1卫,中楼层 (共6层),85.42㎡,平层,暂无数据,板塔结合,南,混合结构,毛坯,暂无数据,暂无数据,暂无数据,2023-02-05,商品房,2020-09-10,普通住宅,满两年,非共有,有抵押 75万元,已上传房本照片,奥体旁 毛坯2房 中间楼层 新北 SY 120万  随时看房 边户，,,"首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90 平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值 税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5 年成交价的1%",此房 产权清晰，交易简洁方便 全程过户陪同 。。。。。。。。,,,,业主现诚心出售，证件齐，欢迎看房，随时恭候，如看中房子，价格可谈,,,,,,,,
12,靠飞龙公园，医院菜场学 校齐全，飞龙吾悦在建,128万,13622,新北区三井,绿都万和城七区,3室2厅1厨1卫,中楼层 (共34层),93.97㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2023-06-14,商品房,2017-11-09,普通住宅,满五年,非共有,无抵押,已上传房本照片,"地理位置优越,交通便利，出门就有公交站点，绿化优美，小区环境幽静、小区生活设施齐全，各大银行、菜场、商场、饮食近在咫尺，生活方便",,,,.契税 A首套 90平米以下 1% B首套 90平米以上 1.5% C二套 90平米以下 1% D二套 90平米以上 2% E三套 不看面积大小都是3% 2. 增值税 满2年免征； 不满2年，全额征收5.3% 2.个人所得税 满五唯一 免征 不满五唯一 征,,,,,112416677541,靠飞龙公园，医院菜场学 校齐全，飞龙吾悦在建,,,,,
13,户型好小高层配套成熟交通便利居住舒适,102万,12581,新北区三井,百草苑,3室1厅1厨1卫,中楼层 (共10层),81.08㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,一梯两户,有,暂无数据,2023-10-07,商品房,2013-03-28,普通住宅,暂无数据,共有,无抵押,已上传房本照片,小区环境优雅，配套成熟，交通便利，居住舒适,,目前在常州首房首贷首付3成，二贷首付6成，税费：契税：首套90平以下1个点，90以上1.5，二套90以下还是1个点，二套90以上2个点，3套不计面积都是3个，个税：房子满五唯一免征，不唯一1个点。增值税：满二：免征，不满二5.3增值税,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同,,,恐龙园，迪诺水镇，世茂广场，百草园菜市场，出门即是市，菜市场，公交站等,,,,,,,,,
14,飞龙吾悦旁 前桥新村 楼层好 户型好 随时可看业主诚售,58万,9506,新北区三井,前桥新村,2室1厅1厨1卫,低楼层 (共6层),61.02㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,暂无数据,无,暂无数据,2023-05-27,商品房,2009-11-03,普通住宅,满五年,非共有,无抵押,已上传房本照片,此房满五唯一 楼层好 户型方正 随时可看 业主诚售,,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率）， 若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税均按照3%收取。,,,,1.环境优美：小区安静优雅，绿化较好，有篮球场，乒乓球场等休闲设施，还有凉亭，夏天可在凉亭乘凉，十分有情调。2.交通便利：公交车方向众多，100米处就是外环高架。 3.生活便利：小区内有新怡华市，东门就是前桥综合市场，满足生活所需。,,,,,此房简单装修 可以拎包入住也可根据自己喜欢的风格重新装修 房子的户型方正 得房率高 没有浪费面积 居住舒适,,,,
15,大诚苑三房朝南采光好位置佳 ..,160万,12512,新北区三井,大诚苑,3室2厅1厨2卫,低楼层 (共9层),127.88㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,无,暂无数据,2021-04-23,商品房,2006-04-04,普通住宅,暂无数据,共有,有抵押 100万元 有100万的银行抵押 客户偿还,已上传房本照片,此房适合全类型买房者，地铁，交通便利，三口之家合适。如果是两房换三房的用户也是值得的。,,,,户型南大客厅，三房朝南，虽然二楼但无任何遮挡，采光很好很好。,"装修为精装，虽然装修了8年，但保养还是很好的，整体风格篇简约。
基础家电齐全的，可以拎包入住。",,,,112403820098,此房格局好，三房朝南，二楼无任何遮，交通便利。,,,,,
16,万达旁 精装三房 可g飞机户型 好楼层,175万,13240,新北区三井,旺角花园,3室2厅1厨2卫,高楼层 (共9层),132.18㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,一梯两户,有,暂无数据,2022-11-16,商品房,2007-05-23,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,此房满五年，万达商圈，交通发达，sy繁华，hx板块,小区在万达商场旁边，新北区板块hx地段，大型购物c市，公交线路多，娱乐，购物，休闲，集中。物业严格，安保严密，绿化密植。读书，上班，购物，休闲,,,,,一路之隔是万达商场，丰城国际，华润c市，距离环球港1公里，地铁站1公里。众多公交线路四通八达，对应的读书教育机构都是区zd,业主自住未出租过，目前自住，房东诚心卖。 满5年，看房方便。,,,,,,,,
17,嘉禾尚郡 精装小三房 看房方便 诚售,125万,14326,新北区三井,嘉禾尚郡花园,3室2厅1厨1卫,中楼层 (共32层),87.26㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,两梯四户,有,暂无数据,2023-06-26,商品房,2019-08-14,普通住宅,暂无数据,共有,有抵押 80万元,已上传房本照片,关于税费主要与买方有关，契税根据买方名下几套房决定；首套房90平以上1.5% 二套房90平上2% 三套房3%,,小区门口自带中型生活集市，烟酒店等，小区南边是耶鲁双语幼儿园和飞龙实验小 学和飞龙实验中 学，往东太湖路上有，农业银行，邮政银行，中国银行，工商银行，三井医院，万达广场，府琛广场等,,,,小区出门向南200米就是龙城大道高架，上下班高峰可避免拥堵，出行便利，门口天山路主干道向北1000米可到万达商圈,,,112466022118,视野宽阔 采光充足 诚心出售 价格美丽小区环境优雅 居住舒适,,,,,
18,新市府区域好房，金地格林郡，交通方便,110万,14044,新北区三井,金地格林郡,2室2厅1厨1卫,中楼层 (共26层),78.33㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2023-03-06,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 25万元,未上传房本照片,新市府，飞龙吾悦万和城旁，金地格林郡，楼距大采光好，明厨..,1、 小区生活设施齐全，各大银行、市场、菜场、商场、饮食近在咫尺、生活方便；2、 小区绿化面积大 楼间距开 房间格局分明 采光足 使得房间每个角落都能享受阳光； 3、 地理位置优越，交通便利，出门就有公交站点。,1、 首套房90M以下1％、90M以上1.5％； 2、 二套房90M以下1％、90M以上2％； 3、 三套房不论面积统一3％. 4、个税：满二年不满5年1％,,1，本房源是装修好的，拎包住。 2，房子是三房，适合首付不多，但需要二个房间的客户 3，小区门口就是幼儿园小区内有儿童游乐场，适合有孩子和老人的家庭,,,,,,,,,,,
19,万达旁新城府翰苑精装修三房 户型方正 楼层好,253.8万,18137,新北区三井,新城府翰苑西区,3室2厅1厨2卫,高楼层 (共16层),139.94㎡,平层,暂无数据,板塔结合,东南 南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-04-12,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房户型方正 三房 好楼层  采光好,小区环境优美，与万达广场，常发广场近，为社区居民提供了优美的生活环境。新城府翰苑社区有着完善的硬件设施，内设服务大厅、警务室、活动场所、便民服务点等.,契税 首套房90平以下 1%，90平以上1.5% 二套房90平以下1%，90平以上2% 三套房不论面积统一3% 2增值税： 满两年不论面积 全免 不满二年 收全额的5.3% 3个人所得税： 满两年1% 满五唯一免个人所得税,,,户型方正，格局分布合理，格局好，通透性强，居住舒适；南北朝向，视野开阔，采光透亮,,,,,,,,,,
20,：满五唯一，飞龙吾悦旁，银一城位置好精装明厨明卫,85万,10315,新北区三井,银河湾第一城一期,2室1厅1厨1卫,中楼层 (共18层),82.41㎡,平层,68.78㎡,板塔结合,南,钢混结构,简装,两梯四户,有,暂无数据,2023-10-25,商品房,2023-11-08,普通住宅,未满两年,共有,有抵押 20万元 20万.可自还,已上传房本照片,"：
满五唯一，飞龙吾悦旁，银一城，位置好，精装，明厨明卫。..",满五唯一，飞龙吾悦旁，银一城，位置好，精装，明厨明卫，房东诚心出售,,,"1，小区是封闭式管理小区，配有大花园，环境优美，24小时的安保，儿童游乐设施，门口就有幼儿园，接娃方便。, 2，小区成熟，购物交通便利，上学近，步行就可到达 3，适合预算有限，需要多个房间，想给孩子一个较好小区环境的年轻家庭。",,,,长江路飞龙路配有43、45、50、54、55、98、H1等公交路线到银河湾第 一城下 龙城大道有32、40、201、204路等公交线路到前桥小区站下、98路到飞龙公园下车 1111路到绿都万和城五区站下车。小区出门200米就是龙城大道高架，上下班高峰可避免拥堵，出行便利,,,,,,,
21,绿都万和城三区 2室2厅 南,125万,14061,新北区三井,绿都万和城三区,2室2厅1厨1卫,低楼层 (共26层),88.9㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2023-09-05,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,,,,,,,,,,,,,,,,
22,新北飞龙，毛坯顶复，两层，看中可谈,180万,9052,新北区三井,银河湾第一城一期,5室2厅1厨2卫,高楼层 (共18层),198.86㎡,复式,暂无数据,板塔结合,南,钢混结构,毛坯,两梯三户,有,暂无数据,2022-08-29,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 江南农村商业银行,未上传房本照片,此房满二年，毛坯状态，顶楼复式，采光好。配套齐全,交房方便，东边紧靠长江路，北边100米飞龙公园，1公里左右龙城大道高架，西边1公里龙江路外环高架。龙湖天街，飞龙吾悦，新北万达均在5公里范围内。小区绿化过50%，纯人车分流。,,,,,常鲸等生活配套， 飞龙公园，飞龙吾悦广场，公交车，高架，菜场， 出行方便,此房业主我熟悉，人在本地，目前毛坯，产权清晰可查，无纠纷，业主诚心出售，期待有缘人,,,,,,,,
23,新上百草苑81平 中高层 南北通透 明厨明卫,106万,13048,新北区三井,百草苑,2室2厅1厨1卫,高楼层 (共9层),81.24㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,一梯两户,有,暂无数据,2023-09-24,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 农行,未上传房本照片,经典两房格局，通透性良好，拎包就能住,小区是安置小区，但是绿化还不错，停车还算方便。小区门口就是各种小店，小吃，餐厅什么的都有，居住方便。,"首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90 平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值 税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5 年成交价的1%",,,,门口就是世府邻 里，水果店，餐饮，足疗店等各种生活设施都有。 菜市场，中国银行等都在门口。 生活起居方便快捷。,,,,,,,,,
24,金地格林郡四房两卫，不靠铁路精装修,212万,13582,新北区三井,金地格林郡,4室2厅1厨2卫,中楼层 (共26层),156.09㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯三户,有,暂无数据,2021-06-21,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 40万元 中国,未上传房本照片,户型方正，装修很好，房东诚心出售,,首套房90平米以下成交价的1％，90平米以上成交价的1.5％，二套房90平以下1%，以上2%，三套房不论大小均为3%； 增值税分析：产证满2年免收增值税，未满2年征收5.3％；个税：产证满五年而且是唯一一套住房，免收个税，未满5年成交价的1%,,,,小区环境优美，绿化较好，带有休闲设施。交通便利，道路宽阔，出行方便。生活便利，能较好地满足日常的生活需求,此房为业主自住房，精装修，品牌家电家具、拎包即可入住...可随时看房，业主可随时签约，诚心出售。,,,,,,,,
25,毛坯大复式，小区环境优雅，绿化好，居住舒适,270万,19242,新北区三井,龙湖·春江天玺,3室2厅1厨2卫,中楼层 (共20层),140.32㎡,复式,暂无数据,板塔结合,南 北,钢混结构,毛坯,两梯四户,有,暂无数据,2023-03-22,商品房,2020-04-10,普通住宅,暂无数据,共有,有抵押 150万元,已上传房本照片,小区地理位置好，居民素质高 配套：有健身器材，小型篮球场，可供小区居民使用 车位：停车位充足，建有地上停车场和地下车库 保安：小区内24小时保安,该户型通风效果好，房屋采光佳； 户型方正，上下复式，居住舒适度高。,,,"首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房，90平以下成交价的1%，90平以上成交价的2%,三套及以上，成交价的3%；2、个税：产证满五唯一，免收个税，不唯一交成交价的1%",适宜改善家庭，对小区品质要求比较高的客户； 适宜对小区绿化、物业要求比较高的客户。,,,,112410691536,毛坯大复式，小区环境优雅，绿化好，居住舒适,,,,,
26,大诚苑电梯三房，房东诚心出售。,168万,13911,新北区三井,大诚苑,3室2厅1厨1卫,中楼层 (共11层),120.77㎡,平层,暂无数据,板塔结合,南,钢混结构,简装,暂无数据,暂无数据,暂无数据,2023-05-08,商品房,2024-03-20,普通住宅,未满两年,非共有,无抵押,已上传房本照片,小区位置好 房子是电梯三房，位置安静,,"90平米以下成交价的1%，90平米以上成交价的1.5%，二套房90平米以下成交价的1%，90平米以上成交价的2%，3套房成交价的3%, 2.产证满5唯一免征",,,,,,地铁口、公交就在小区门口，交通便捷。 市民广场、奥体馆就在小区旁边，生活方便,,,,,,,
27,靠着市政府  交通方便 房东诚心  精装修,175万,11924,新北区三井,水木年华,3室2厅1厨2卫,中楼层 (共18层),146.77㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯两户,有,暂无数据,2023-05-27,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,小区环境好改善居住 旁边就是绿洲家园菜场，买菜方便,,该房是纯商品房，已经满两年，没有高额的增值税，税费主要有：个税是1%、首套房契税是1.5%，二套是2%，三套及以上是3%。,,,,小区生活设施齐全、菜市场、银行、，交通便捷； 2、小区内有健身器材，小孩游乐场，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车库； 4、小区内24小时保安巡逻,,小区门口有50路、53路、b10路、14路、29路、31路、60路等多条公 交线路经过，出行方便，近1号线地铁奥体站小区,,,,,,,
28,：靠飞龙公园，医院菜场学 校齐全，飞龙吾悦旁边,109万,12436,新北区三井,绿都万和城三区,2室2厅1厨1卫,低楼层 (共30层),87.65㎡,平层,71.45㎡,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2023-09-26,商品房,2019-05-08,普通住宅,满两年,共有,无抵押,已上传房本照片,"地理位置优越,交通便利，出门就有公交站点，绿化优美",,1契税 首套房90平以下 1%，90平以上1.5% 二套房90平以下1%，90平以上2%， 三套房不论面积统一3% 2 增值税： 满两年不论面积 全免 不满二年 收全额的5.6% 3个人所得税： 满两年1% 满五免个人所得税,,"地理位置优越,交通便利，出门就有公交站点，绿化优美，小区环境幽静、小区生活设施齐全，各大银行、菜场、商场、饮食近在咫尺，生活方便",,,,长江路飞龙路配有43、45、50、54、55、98、H1等公交路线到银河湾第 一城下 龙城大道有32、40、201、204路等公交线路到前桥小区站下、98路到飞龙公园下车 1111路到绿都万和城五区站下车,,,,,,,
29,急售~吾悦旁，楼层采光好，拎包入住，看房方便,105万,11972,新北区三井,绿都万和城二区,2室1厅1厨1卫,高楼层 (共33层),87.71㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,一梯四户,有,暂无数据,2023-03-23,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押 65万元,未上传房本照片,飞龙吾悦旁，精装保养好，楼层好，阳光充足，视野宽阔，,绿都万和城，由常州绿都房地产有限公司开发建设。绿都万和城，东临长江路，西至龙江路，北依龙城大道，南至飞龙路，是常州第 一 大盘。项目占地1200亩，总建筑面积约200万平方米，规模占整个飞龙居住区的四分之一，将是常州第 一个大规模、一站式和谐生,,,,,"地理位置优越,交通便利，出门就有公交站点，绿化优美，小区环境幽静、小区生活设施齐全，各大银行、商场、菜场、商场、饮食近在咫尺，生活方便",,距离小区300米左右有飞龙公园站，98路.123路.111路.1111路等多辆公交车经过，交通便利 小区出门200米就是龙城大道高架，上下班高峰可避免拥堵，出行便利，门口天山路主干道向北1000米可到万达商圈。,,,,,,,
30,飞龙品质小区 人车分流 管家服务 精装修未入住 诚售,154万,16581,新北区三井,金地格林郡,3室2厅1厨1卫,中楼层 (共26层),92.88㎡,平层,71.6㎡,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2023-06-26,商品房,2017-10-11,普通住宅,满五年,非共有,无抵押,已上传房本照片,"1.税费信息
A.首套 90平以下1%
B.首套90平以上1.5%
C.二套90平以下1%
D.二套90平以上2%
E.三套或以上3%

2.增值税：满2年免征，不满2年全额征收5.3%

3.个人所得税：不满5年征1%，满5且家庭 住房，省个税",,天山花园 （98路; 1111路; 1811路） 953米【公交】 绿地世纪城 （98路） 596米【公交】 飞龙首末站 （526路; 1111路; 1811路） 492米【公交】 龙江路龙城大道 （526路） 406米【公交】 飞龙公交枢纽北 （98路; 111路; 213路）,,,,,,,112445616967,户型方正.采光充足 交通便利.配套齐全，合适居住,,,,,
