,标题,总价格,单价,地段,小区名,房屋户型,所在楼层,建筑面积,套内面积,房屋朝向,建筑结构,装修情况,别墅类型,楼层高度,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,户型介绍,售房详情,税费解析,权属抵押,户型结构,建筑类型,梯户比例,配备电梯,小区介绍,周边配套,房源核验码,查询房管备案记录,装修描述,交通出行,适宜人群
14,此房子地理位置好，生活，出行都是很方便的,31.8万,4417,金坛区西城街道,西门大街,2室2厅1厨1卫,中楼层 (共5层),72㎡,暂无数据,东南,未知结构,精装,,暂无数据,2022-11-21,商品房,2013-04-22,普通住宅,满五年,非共有,无抵押,已上传房本照片,此房子地理位置好，生活，出行都是很方便的,,"业主现诚心出售,证件齐,欢迎看房,随时恭候,如看中房子,价格可以商量","首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5年成交价的1%",,平层,暂无数据,暂无数据,暂无数据,,房子的小区大门旁边有公共电助力车，小区大门旁边有公共车站。打滴滴也比较方便滴。,,,,,
15,花谷奇缘旁 徽派建筑 带300平左右大院子,1050万,24289,金坛区西城街道,东湖根园,6室2厅1厨4卫,低楼层 (共3层),432.3㎡,暂无数据,南 北,未知结构,毛坯,暂无数据,暂无数据,2021-01-18,商品房,暂无数据,别墅,暂无数据,非共有,有抵押,未上传房本照片,此房是二层别墅，院子有鱼池、亭子、走廊，还带大露台,,,,,,,,,,地处茅山景区，旅游景点丰富，花谷奇缘、东方盐湖城、金沙湾高尔夫球场,,,此房毛坯空置，利用空间大，有院子大露台，可以根据自己的喜好设计装修,高速、快速路，去往常州、南京都很方便，三大机场，沿江高铁站在修,
16,春草塘顶楼复式，有一大露台，大家庭好选择,124.8万,4857,金坛区西城街道,春草塘,5室3厅1厨2卫,高楼层 (共5层),257㎡,暂无数据,南,未知结构,精装,,暂无数据,2022-03-17,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,库上4楼顶楼复式，得大露台，得17平方车库，得5个大房间,,业主是为了换房才出售此房，前提预约可以随时看房，另外还有17平方车库，可以随时签售卖合同！,"首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5年成交价的1%",,复式,暂无数据,暂无数据,暂无数据,,,,,,,
17,景阳花园 顶楼复式 带汽车库+小自行车库,82万,5906,金坛区西城街道,景阳花园,3室2厅1厨2卫,高楼层 (共6层),138.86㎡,暂无数据,南,框架结构,简装,,暂无数据,2020-11-05,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,"此房格局好,南北通风户型,全天采光,户型方正视野好","房格局好,南北通风户型,全天采光,户型方正视野好,干湿分离,明厨明卫","业主现诚心出售,证件齐,欢迎看房,随时恭候,如看中房子,价格可谈。",,"此房产权清晰,房源真实,业主诚心出售,看房方便,过户全程陪同",复式,平房,暂无数据,无,,,,,,,
18,"此房格局好,南北通风户型,全天采光,户型方正视野好",260万,16250,金坛区西城街道,雅居乐山湖城,4室3厅1厨3卫,低楼层 (共2层),160㎡,暂无数据,南 北,未知结构,毛坯,暂无数据,暂无数据,2021-04-26,商品房,暂无数据,别墅,暂无数据,共有,无抵押,未上传房本照片,"此房格局好,南北通风户型,全天采光,户型方正视野好","房格局好,南北通风户型,全天采光,户型方正视野好,干湿分离,明厨明卫","业主现诚心出售,证件齐,欢迎看房,随时恭候,如看中房子,价格可谈","首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90 平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值 税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5 年成交价的1%。","此房产权清晰,房源真实,业主诚心出售,看房方便,过户全程陪同",,,,,,,,,,,
19,"此房格局好,南北通风户型,全天采光,户型方正视野好",140万,7145,金坛区西城街道,虹亚亲亲家园,5室3厅1厨4卫,高楼层 (共20层),195.96㎡,暂无数据,南,钢混结构,精装,,暂无数据,2020-08-15,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,"此房格局好,南北通风户型,全天采光,户型方正视野好","房格局好,南北通风户型,全天采光,户型方正视野好,干湿分离,明厨明卫","业主现诚心出售,证件齐,欢迎看房,随时恭候,如看中房子,价格可谈","首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90 平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值 税,未满2年征收5.6%;个税:产证满五年而且是唯套住房,免收个税,未满5 年成交价的1%。","此房产权清晰,房源真实,业主诚心出售,看房方便,过户全程陪同",复式,暂无数据,暂无数据,暂无数据,,,,,,,
20,此房为理财好房的不二选择。。。,23.6万,3528,金坛区西城街道,春风西路,1室1厅1厨1卫,低楼层 (共3层),66.91㎡,暂无数据,南,未知结构,毛坯,,暂无数据,2022-05-21,商品房,2015-12-18,普通住宅,暂无数据,共有,无抵押,已上传房本照片,此房子地理位置好，生活，出行都很方便的。,,,,"此房产权清晰,房源真实,业主诚心出售,看房方便,过户全程陪同。",平层,暂无数据,暂无数据,暂无数据,,xue'xiao，幼儿园，菜场，商店都有，而且特近，是个独立配套完善的房子，楼下就是公园，菜场和幼儿园,,,,,楼层不高，菜场，xue'xiao都近，楼下就是公园，老人孩子都方便合适。
21,我的房源没别的，就是实在。。。,23.8万,3522,金坛区西城街道,春风西路,1室1厅1厨1卫,低楼层 (共3层),67.58㎡,暂无数据,南,未知结构,毛坯,,暂无数据,2022-05-21,商品房,2015-12-18,普通住宅,暂无数据,共有,无抵押,已上传房本照片,此房子地理位置好，生活，出行都很方便的。,,,"首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90 平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值 税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5 年成交价的1%","此房产权清晰,房源真实,业主诚心出售,看房方便,过户全程陪同。",平层,暂无数据,暂无数据,暂无数据,,,,,,,楼层不高，菜场，xue'xiao都近，楼下就是公园，老人孩子都方便合适。
22,颐和世家，2居室，9层，前排采光好，视野好，,71万,8353,金坛区西城街道,颐和世家,2室2厅1厨1卫,中楼层 (共16层),85㎡,暂无数据,南,框架结构,精装,,暂无数据,2023-06-13,商品房,2017-07-13,普通住宅,满五年,非共有,有抵押 30万元,已上传房本照片,此房满五唯一，小区环境优美，人车分流，小桥流水，亭台楼阁...,2居室，落地窗，2格卧室都朝南，主卧带阳台，客厅朝南，采光好，,房东换房，此房，产权清晰，没有纠纷，随时可以过户，此房有一个17平米的自行车库，,,,平层,板塔结合,两梯三户,有,,小区楼下有多家小卖部，生活很方便，300米到愚池公园，400米到华罗庚实验，800米到800伴商场1000米到新天地购物，,,,,,
23,金坛八佰伴旁  亲亲家园边，户型好 家具齐全,118万,7330,金坛区西城街道,金溪新村,3室2厅1厨2卫,中楼层 (共5层),161㎡,暂无数据,南,未知结构,精装,,暂无数据,2022-04-19,商品房,2022-12-01,普通住宅,未满两年,非共有,无抵押,已上传房本照片,"此房格局好,南北通风户型,全天采光,户型方正视野好","此房格局好,南北通风户型,全天采光,户型方正视野好,干湿分离,明厨明卫",,,"此房产权清晰,房源真实,业主诚心出售,看房方便,过户全程陪同",平层,暂无数据,暂无数据,暂无数据,,"小区配套成熟，包括KFC,星巴克，大娘水饺，百特喜，大统华等优质品牌",,,房屋精装修，原房主保养的很好，整体很干净整洁，购买之后可以按照自身的意愿和需求进行修改,,
24,丹阳门中路3-2-1-1 114.00m² 72.8 万,59.8万,5246,金坛区西城街道,丹阳门中路,3室2厅1厨1卫,中楼层 (共5层),114㎡,暂无数据,南,混合结构,简装,,暂无数据,2021-10-28,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,"房格局好,南北通风户型,全天采光,户型方正视野好","房格房格局好,南北通风户型,全天采光,户型方正视野好,干湿分离,明厨明卫局好,南北通风户型,全天采光,户型方正视野好",,"首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90 平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值 税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5 年成交价的1%。",此房产权清晰！房源真实！业主诚心出售！看房方便！过户全程陪同！,平层,板塔结合,暂无数据,无,,,,,,,
25,"此房格局好,南北通风户型,全天采光,户型方正视野好",66万,5000,金坛区西城街道,上庄农民公寓,3室2厅1厨1卫,中楼层 (共5层),132㎡,暂无数据,南,未知结构,精装,,暂无数据,2021-03-13,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,"此房格局好,南北通风户型,全天采光,户型方正视野好","格局好,南北通风户型,全天采光,户型方正视野好,干湿分离,明厨明卫","业主现诚心出售,证件齐,欢迎看房,随时恭候,如看中房子,价格可谈","首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90 平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值 税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5 年成交价的1%","此房产权清晰,房源真实,业主诚心出售,看房方便,过户全程陪同",平层,暂无数据,暂无数据,无,,,,,,,
26,西城街道 八佰伴 顶楼带阁楼 复式 美地蓝庭,100万,4511,金坛区西城街道,美地蓝庭,5室2厅1厨2卫,高楼层 (共6层),221.72㎡,暂无数据,南,框架结构,毛坯,,暂无数据,2020-12-01,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押 业主自还,未上传房本照片,"此房格局好,南北通风户型,全天采光,户型方正视野好",,"业主现诚心出售,证件齐,欢迎看房,随时恭候,如看中房子,价格可谈。","首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5年成交价的1%。","此房产权清晰,房源真实,业主诚心出售,看房方便,过户全程陪同",复式,平房,暂无数据,暂无数据,,,,,,,
27,金坛唯一新房现房  位置好  含车位  可直接更名,102.8万,8496,金坛区西城街道,虹亚亲亲家园,3室2厅1厨1卫,高楼层 (共18层),121㎡,暂无数据,南,钢混结构,毛坯,,暂无数据,2021-11-28,商品房,2022-12-01,普通住宅,未满两年,非共有,无抵押,已上传房本照片,位置好，含车位，房子可以直接更名，无需再过户,毛坯交付，让你拥有自己理想的家。3房2厅1卫1厨1阳台，三开间朝南。,,,,平层,板塔结合,两梯四户,有,小区是封闭式，比开放式安全，小区绿植高于其他小区，小区内设有水系景观，有儿童游乐区域,小区旁边有大型综合性商场，满足我们吃喝玩乐购的一站式需求购物体验,,,,,
28,金坛区园田新村3-1-1-1 74.90m²,44.8万,5982,金坛区西城街道,园田新村,3室1厅1厨1卫,中楼层 (共5层),74.9㎡,暂无数据,南 北,未知结构,简装,,暂无数据,2022-04-18,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,"此房格局好,南北通风户型,全天采光,户型方正视野好","房格局好,南北通风户型,全天采光,户型方正视野好,干湿分离,明厨明卫","业主现诚心出售,证件齐,欢迎看房,随时恭候,，，，，，，，，，，","首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90 平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值 税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5 年成交价的1%","此房产权清晰,房源真实,业主诚心出售,看房方便,过户全程陪同",平层,板塔结合,暂无数据,无,,,,,,,
29,园区新村6-3-1-3 294.80m² 368 万,340万,11534,金坛区西城街道,园区新村,6室3厅1厨3卫,低楼层 (共2层),294.8㎡,暂无数据,南,未知结构,精装,,暂无数据,2021-07-11,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,"此房格局好,南北通风户型,全天采光,户型方正视野好","房格局好,南北通风户型,全天采光,户型方正视野好,干湿分离,明厨明卫","业主现诚心出售,证件齐,欢迎看房,随时恭候,如看中房子,价格可谈。","首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90
平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值
税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5
年成交价的1%。","此房产权清晰,房源真实,业主诚心出售,看房方便,过户全程陪同",复式,暂无数据,暂无数据,暂无数据,,,,,,,
30,桃源山庄4-3-1-4 328.78m²精装独幢别墅1~2层带地下室,588万,17885,金坛区西城街道,桃源山庄,4室3厅1厨4卫,低楼层 (共3层),328.78㎡,暂无数据,南,未知结构,精装,暂无数据,暂无数据,2022-01-13,商品房,暂无数据,别墅,暂无数据,共有,无抵押,未上传房本照片,茅山旅游景区全别墅小区，精装独栋别墅1~2层，带60平地下室。,,业主诚心售房，证件齐全，欢迎看房，如有看中，价格可谈。。。。。。。,首套房90平方以下成交价的1%，90平方以上1.5%； 二套房90平方以下1%，90平方以上2%； 三套房及以上不论大小3%； 增值税：产证满二年免收增值税，未满二年征收5.3%； 个税：产证满五年且是唯一住房免个税，未满五年成交价的1%,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同。,,,,,,,,,,,
31,茅山旁恒大御湖庄园280平联排毛坯,448万,16000,金坛区西城街道,恒大御湖庄园,4室1厅1厨5卫,低楼层 (共3层),280㎡,暂无数据,南,框架结构,毛坯,暂无数据,暂无数据,2023-02-17,商品房,暂无数据,别墅,暂无数据,共有,有抵押,未上传房本照片,"此房格局好,南北通风户型,全天采光,户型方正视野好","房格局好,南北通风户型,全天采光,户型方正视野好,干湿分离,明厨明卫","业主现诚心出售,证件齐,欢迎看房,随时恭候,如看中房子,价格可谈","首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90 平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值 税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5 年成交价的1%。",,,,,,,,,,,,
32,雅居乐山湖城4-3-1-4 156.00m²,390万,25000,金坛区西城街道,雅居乐山湖城,4室3厅1厨4卫,低楼层 (共3层),156㎡,暂无数据,南,未知结构,精装,,暂无数据,2021-12-10,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,茅山旅游度假胜地，雅居乐山湖城联排别墅1~2层，内有院子,"房格局好,南北通风户型,全天采光,户型方正视野好,干湿分离,明厨明卫","业主现诚心出售,证件齐,欢迎看房,随时恭候,如看中房子,价格可谈。","首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90 平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值 税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5 年成交价的1%",,复式,暂无数据,暂无数据,暂无数据,,,,,,,
33,此房为理财好房的不二选择。。。,23.8万,3556,金坛区西城街道,春风西路,1室1厅1厨1卫,低楼层 (共3层),66.93㎡,暂无数据,东南,未知结构,毛坯,,暂无数据,2022-05-21,商品房,2015-12-18,普通住宅,满五年,共有,无抵押,已上传房本照片,此房子地理位置好，生活，出行都很方便的。,,,,"此房产权清晰,房源真实,业主诚心出售,看房方便,过户全程陪同。",平层,暂无数据,暂无数据,暂无数据,,xue'xiao，幼儿园，菜场，商店都有，而且特近，是个独立配套完善的房子，楼下就是公园，菜场和幼儿园,,,,,楼层不高，菜场，xue'xiao都近，楼下就是公园，老人孩子都方便合适。
