,标题,总价格,单价,地段,小区名,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,适宜人群,周边配套,交通出行,户型介绍,装修描述,权属抵押,售房详情,税费解析,小区介绍,房源核验码,查询房管备案记录,用水类型,用电类型,燃气价格,别墅类型
10,看房方便，同面积段比较价钱，恒温恒湿，诚心出售,200万,17193,新北区河海,朗诗绿郡花园,3室2厅1厨2卫,低楼层 (共23层),116.33㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯三户,有,暂无数据,2023-08-03,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押 50万元,未上传房本照片,新北万达 科技住宅 朗诗绿郡 恒湿恒温恒氧 随时看房~,,综合商场万达广场丰臣国际广场医院三井医院华山医院银行中国工商银行中国建设银行中国银行中国农业银行交通银行博物馆常州大剧院恐龙谷温泉马哥孛罗酒店富都盛贸大饭店喜来登大酒店凯纳豪生大酒,通江路河海路(b): B13路、B10路、B1路、B19路、B16路 常州政务服务中 心人力资源市场: B13路 河海路惠山路: 33路、19路 交通方式： 从新北万达广场出发，进入通江中路行驶300米，右转进入太湖中路行驶180米，右转进入竹山路行驶740米，左转进入河海中路行驶..,,,,,,朗诗新北绿郡，地处常州新北区高新CBD及新北商圈汇合处。位于珠江路南侧、衡山路西侧、河海中路北侧，邻常州国税局，与新北区政府隔街相对。至新北万达广场较近，车行至常州市政府约3公里。路网通达，生活便捷。,,,,,,
11,急卖！锦绣天地前排 两房 采光好 有钥匙 随时看房,106万,13557,新北区河海,锦绣天地,2室2厅1厨1卫,低楼层 (共30层),78.19㎡,平层,暂无数据,板塔结合,南,钢混结构,简装,两梯三户,有,暂无数据,2022-04-26,商品房,2016-04-26,普通住宅,暂无数据,共有,无抵押,已上传房本照片,房子在小区前排，采光好 随时看房 户型方正产权清晰,,市府版块、万达商圈、属三井街道交通配套：龙城大道、通江大道、长江路等主干道，离常州北站近，离奔牛机场近，离环球港近,,,,,,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",小区地理位置好，居民素质高 配套：有健身器材，小型篮球场，可供小区居民使用 车位：停车位充足，建有地上停车场和地下车库 保安：小区内24小时保安,,,,,,
12,新区公园旁蓝色港湾  小区环境优美  配套成熟,135万,12919,新北区河海,蓝色港湾花园,3室2厅1厨1卫,低楼层 (共6层),104.5㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-04-02,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,小区环境优雅，配套成熟，交通便利，居住舒适。,,生活设施齐 ，农贸菜场 商场 饮食近在咫尺 生活起居很方便。,,,,,业主人非 常友好、热情，很有诚意出售。欢迎看房，随时恭候户型棒，成熟小区管理。,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率），若买方此次购 房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税 均按照3%收取。,,,,,,,
13,地铁沿线 兰翔新村配套设施齐全，交通便利,53.8万,8472,新北区河海,兰翔新村,2室1厅1厨1卫,高楼层 (共6层),63.51㎡,平层,暂无数据,板塔结合,南,钢混结构,简装,暂无数据,无,暂无数据,2023-11-18,商品房,2022-11-29,普通住宅,未满两年,非共有,无抵押,已上传房本照片,兰翔新村配套设施齐全，交通便利， 房子近小区南门出门就是菜场,,,小区门口就是1号地铁，有多条公交线路经过，菜场在隔壁，到万达和环球港都很 近，学 校在小区，新区公园对 面，位置好 看房方便,户型介绍： 户型方正，布局合理，无浪费面积， 小区安静舒适，环境优美，适宜居住,,,,契税：首套90平以下1个点，90以上1.5，二套90以下还是1个点，二套90以上2个点，3套不计面积都是3个，个税：房子满五唯一免征，不唯一1个点。增值税：满二：免征，不满二5.3增值税,,,,,,,
14,锦绣天地两室一厅，南有新北万达，北有环球港,106万,14414,新北区河海,锦绣天地,2室2厅1厨1卫,高楼层 (共34层),73.54㎡,平层,暂无数据,板塔结合,南,钢混结构,简装,两梯三户,有,暂无数据,2022-05-29,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房地处环球港与新北万达中间，小区边上就是大公园，交通便利,,,,,此房精装修，品牌家电，家电家具齐全，拎包可入住，期望您有缘成为她的主人,,,房子为商品房，满两年免交土地增值税 买方如名下没房，契税只需缴纳一个点,小区环境优雅，园林风格设计，小桥流水，曲径通幽，绿化面积大，物业管理好,,,,,,
15,新市府万达旁纯改善小区，房东诚心出售，精装未..,308万,21598,新北区河海,华宇新城·天境,4室2厅1厨2卫,低楼层 (共26层),142.61㎡,平层,暂无数据,板楼,南,未知结构,精装,暂无数据,暂无数据,暂无数据,2023-12-31,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,新市府万达旁纯改善小区，房东诚心出售，精装未..,,小区北门出门有三井二实小，西面泰 山路规划有地铁6号线，南面有沿街商铺，满足日常生活需求，东面衡山路有多路公交出行，离新北万达仅1公里，出行购物方便。,,,,,,首套房契税是1.5%，二套是2%，三套及以上是3%，首套房契税是1.5%，二套是2%，三套及以上是3%,新城华宇天境是纯改善小区，小区环境优美，居民素质高，小区人车分流，保障平时路面安全,,,,,,
16,兰翔新村地铁河海站三楼简装采光充足58万,58万,10196,新北区河海,兰翔新村,2室1厅1厨1卫,中楼层 (共6层),56.89㎡,平层,暂无数据,板楼,南,混合结构,简装,暂无数据,无,暂无数据,2024-03-01,商品房,2007-05-25,普通住宅,暂无数据,共有,无抵押,已上传房本照片,小区环境优雅，配套成熟，交通便利，居住舒适。,,"生活设施齐 ，农贸菜场, 商场, 饮食近在咫尺, 生活起居很方便。",,,,,业主人非 常友好、热情，很有诚意出售。欢迎看房，随时恭候户型棒，成熟小区管理。,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率），若买方此次购 房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税 均按照3%收取。,,,,,,,
17,吟枫苑3房2厅2卫  诚意出售,185万,14800,新北区河海,吟枫苑东区,3室2厅1厨2卫,高楼层 (共27层),125㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯两户,有,暂无数据,2023-12-01,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,河海 新区公园旁  吟枫苑舒适精装房,,环球港商圈，万达板块，交通便利，出门菜市场，环境优美 ，新区公园旁。,,两梯两户户型方正，布局合理无浪费面积小区安静舒适环境优美适宜居住,,,,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,,,
18,（院子）燕兴新村  舒适一楼 诚意出售,68万,11022,新北区河海,燕兴新村西区,2室1厅1厨1卫,低楼层 (共6层),61.7㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2024-03-12,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,此房房东诚心出售，地段便利，楼层很好，2房，带大院子。,房子地段好，配套齐全，出行生活都很便利。房子楼层好，户型好，房东诚心卖,,,,,房子没有贷款，产权清晰，可以随时过户。房东人很好，看中了可以坐房主自荐(业主对房源的描述),房东已经在其他小区置业，本房闲置出售。没有户口没有贷款，随时可以过户。产权清晰。,,,,,,,,
19,精装修  兰翔二村舒适好房诚意出售,59万,9254,新北区河海,兰翔二村北区,2室1厅1厨1卫,高楼层 (共6层),63.76㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2024-01-03,商品房,2019-03-20,普通住宅,暂无数据,共有,无抵押,已上传房本照片,小区环境优雅，配套成熟，交通便利，居住舒适。,,生活设施齐 ，农贸菜场 商场 饮食近在咫尺 生活起居很方便。,,,,,业主人非 常友好、热情，很有诚意出售。欢迎看房，随时恭候户型棒，成熟小区管理。,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率），若买方此次购 房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税 均按照3%收取..,,,,,,,
20,新北区新市府板块锦绣天地二梯二户全天采光精装修,179万,15947,新北区河海,锦绣天地,3室2厅1厨2卫,高楼层 (共30层),112.25㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,两梯两户,有,暂无数据,2024-02-23,商品房,2016-06-28,普通住宅,满五年,共有,无抵押,已上传房本照片,曼哈顿广场旁 精装小户 客厅朝南带阳台 房东诚心出售,,,,阳台在客厅很亮堂，主卧朝南带小飘窗，次卧窗户也是朝南的，整体采光都好，户型动静分离，中上好楼层 视野开阔，采光好,,此房产权清晰，房源真实，房东诚心出售，看房方便，整个交易过程全程陪同至过后和物业交割。,,契税，首套房90平及以下成交价的1% 二套90平及以下成交价的1% 2：个税，成交价的1个点,,,,,,,
21,新市府万达旁纯改善小区，房东诚心出售，精装未住,488万,25362,新北区河海,华宇新城·天境,4室2厅1厨3卫,中楼层 (共25层),192.42㎡,平层,暂无数据,板楼,南,未知结构,精装,暂无数据,暂无数据,暂无数据,2024-03-02,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,中上好楼层 精装大平层 未入住 随时看房,,小区北门出门有三井二实小，西面泰 山路规划有地铁6号线，南面有沿街商铺，满足日常生活需求，东面衡山路有多路公交出行，离新北万达仅1公里，出行购物方便。,,,,,,首套房契税是1.5%，二套是2%，三套及以上是3%，首套房契税是1.5%，二套是2%，三套及以上是3% .,新城华宇天境是纯改善小区，小区环境优美，居民素质高，小区人车分流，保障平时路面安全。,,,,,,
22,法式洋房 总高7层 240平精装4房3卫 拎包住,538万,22495,新北区河海,九龙仓国宾1号,4室2厅1厨3卫,中楼层 (共7层),239.17㎡,平层,暂无数据,板楼,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-12-08,商品房,2018-05-04,普通住宅,满五年,非共有,无抵押,已上传房本照片,法式洋房 总高7层 240平精装4房3卫 拎包住,,龙城小xue（局前街教育集团）龙城中xue近在咫尺，河海国宾幼儿园、天润幼儿园、伊顿双语幼儿园都在小区旁，世茂香槟湖小xue，新北实验中xue，几百米路程。小区北门即是亿麦隆生活chao市，1公里左右到东海菜场，恐龙园，龙湖天街，新北万达,,,,,,此房满五唯一，仅交契税就可以了。契税首套房：1.5%；第二套：2%；第三套及以上3%,香港九龙仓开发公司打造，低密度纯洋房社区、整个小区都是这种总高只有7层的纯洋房、1梯1户、私密性佳。南边靠着河海路主干道、往西1公里有地铁1号线河海大学站地铁口、往东可上青洋路高架、沪蓉高速、东边沿河藻港河自然河流。再往东就是恐龙园,,,,,,
23,新区公园旁吟枫苑东区精装4房中间楼层出售,268万,18488,新北区河海,吟枫苑东区,4室2厅1厨2卫,中楼层 (共28层),144.96㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯两户,有,暂无数据,2024-03-09,商品房,2019-05-16,普通住宅,满两年,共有,无抵押,已上传房本照片,小区环境优雅，配套成熟，交通便利，居住舒适。,,"生活设施齐 ，农贸菜场, 商场, 饮食近在咫尺, 生活起居很方便",,,,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同。,,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率），若买方此次购 房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税 均按照3%收取。,,,,,,,
24,繁华里 小三房 前排位置 阳光无遮挡,160万,16402,新北区河海,繁華里,3室1厅1厨1卫,高楼层 (共33层),97.55㎡,平层,暂无数据,板塔结合,南,钢混结构,简装,两梯四户,有,暂无数据,2024-03-04,商品房,2015-05-08,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,此房位置佳，小三房 户型方正，随时可看,,"生活设施齐 ，农贸菜场, 商场, 饮食近在咫尺, 生活起居很方便。",,,,,该房业主诚意出售此房，欢迎看房，随时恭候。户型方正，位置佳，视野开阔。,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率），若买方此次购 房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税 均按照3%收取,,,,,,,
25,天安花园 3室2厅 南,150万,12141,新北区河海,天安花园,3室2厅1厨2卫,中楼层 (共6层),123.55㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,无,暂无数据,2024-03-16,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,,,,,,,,,,,,,,,,
26,新城樾隽中央 3室2厅 南 北,268万,22334,新北区河海,新城樾隽中央,3室2厅1厨2卫,高楼层 (共26层),120㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,两梯四户,有,暂无数据,2024-01-19,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 180万元,未上传房本照片,,,,,,,,,,,,,,,,
27,环球港旁 朝南精装一室 好楼层采光好交通便利,60万,9678,新北区河海,燕阳特区,1室1厅1厨1卫,中楼层 (共13层),62㎡,平层,暂无数据,平房,南,钢混结构,精装,两梯十三户,有,暂无数据,2024-01-17,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,满五唯一，配套成熟，交通便利，居住舒适。,,生活设施齐 ，农贸菜场 商场 饮食近在咫尺 生活起居很方便。,,,,,业主人非 常友好、热情，很有诚意出售。欢迎看房，随时恭候户型棒，成熟小区管理,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率），若买方此次购 房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税 均按照3%收取,,,,,,,
28,三开间朝南户型 中间楼层 诚心出售,145万,15590,新北区河海,天润园,3室2厅1厨1卫,中楼层 (共32层),93.01㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2024-03-09,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房户型方正 装修保养的好 楼层好 业主诚心出售,,,,小区环境优美，与恐龙园 环球港近，为社区居民提供了优美的生活环境。天润园社区有着完善的硬件设施，内设服务大厅、警务室、活动场所、便民服务点等,,,,契税 首套房90平以下 1%，90平以上1.5% 二套房90平以下1%，90平以上2% 三套房不论面积统一3% 2增值税： 满两年不论面积 全免 不满二年 收全额的5.3% 3个人所得税： 满两年1% 满五唯一免个人所得税,户型方正，格局分布合理，格局好，通透性强，居住舒适；南北朝向，视野开阔，采光透亮,,,,,,
29,九龙仓繁华里精装修满五唯一看房随时联系,168万,17237,新北区河海,繁華里,3室2厅1厨1卫,中楼层 (共33层),97.47㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2024-03-03,商品房,2017-02-21,普通住宅,满五年,共有,有抵押,已上传房本照片,此房视野开阔，前面无遮挡。居住感受好。四居室 精装房。,,,,,此房房型漂亮，二开间朝南，阳台长。北面有一个空中花园只算一半面积。主卧带飘窗和内卫。明厨明卫。,,,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%，三套3% 2、增值税：产证满2年免收增值税，未满2年征收5.6％ 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",小区东在建大型菜场，世茂广场，各种生活配套完善，另有龙湖天街（在造）紧靠恐龙园（迪诺水镇）。南靠紫荆公园东经120金融圈。,,,,,,
30,荣盛馨河郦舍三房 房东诚意出售,135万,11902,新北区河海,荣盛馨河郦舍,3室2厅1厨2卫,低楼层 (共25层),113.43㎡,暂无数据,87.12㎡,板塔结合,南,钢混结构,简装,两梯两户,有,暂无数据,2023-10-10,商品房,2013-11-12,普通住宅,暂无数据,共有,有抵押,已上传房本照片,此房满五唯一税费低 房东不住常州了 简单装修,,边上配备了龙小龙中旅游景区恐龙园出行方便紧靠网红风情街欢迎看房,生活设施齐全 银行 菜场 商场 饮食 公交 地铁 近在咫尺 生活起居很方便,,,,,,小区居住环境好 荣盛物业 管理比较好，人车分流，小区健身娱乐设施一应俱全,,,,,,
31,中间楼层 采光刺眼 价值满满 诚心出售 价格可谈,215万,19375,新北区河海,龙湖景粼天著,3室2厅0厨2卫,中楼层 (共27层),110.97㎡,暂无数据,暂无数据,板楼,南,钢混结构,毛坯,两梯四户,有,暂无数据,2023-04-13,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,急售！景粼天著110平三房两卫 双阳台中间楼层,,配套完善，生活设施齐银行购物方便菜场商场饮食近在咫尺生活起居很方便。,小区门口就是河海路公交站向东五百米可上高架向西300米是河海地铁站,,,,,该房是纯商品房，已经满两年，税少，税费主要有:个税是1%、首套房契税是1.5%。二套是2%，三套及以上是3%,,,,,,,
32,环球港旁 次新房牡丹和府 带大露台 房东急售  急售,205万,18139,新北区河海,牡丹和府,3室2厅1厨2卫,低楼层 (共25层),113.02㎡,暂无数据,暂无数据,暂无数据,南 北,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-09-24,商品房,2021-06-08,普通住宅,暂无数据,非共有,有抵押 50万元,已上传房本照片,此房满二次新小区 交通便利 低楼层采光好带大楼台  配套成熟,本小区人车分流  这套房子位于小区前排  低楼层采光好 带大楼台 适合家里有老人孩子 喜欢种植花花草草的人士,综合商场: 五星电器新北卖场、国美金太阳电器新北区店 医院: 常州三三六医院、华山医院 银行/ATM: 建设银行、中国工商银行、农业信用社 邮局/快递: 长江路邮政支局、中国邮政(黄河路) 其他: 锦江大酒店、中发酒家、顺天源面食富都店、燕阳便利店,公交：11路、13路、36路、18路 地铁一号线 小区周 边有很多共享单车，出行方便,,,,,,,,,,,,
33,新北万达旁次新小区，小高层一梯一户，房东诚心卖房。,228万,21112,新北区河海,佳源悦府,3室2厅1厨2卫,中楼层 (共17层),108㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,毛坯,暂无数据,暂无数据,暂无数据,2022-11-01,商品房,2021-01-01,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,新北万达旁，，房子是通透格局，三开间朝南，双阳台，一梯一户。,,小区西面有艺术公园，南面一公里有新北万达，平常吃喝玩乐都有能满足日常需求。,,,,,,"首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",小区内部环境新，物业好，小区全部为总高18层的小高层，大小户型都是一梯一户，入住率高。,,,,,,
