,标题,总价格,单价,地段,小区名,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,适宜人群,售房详情,税费解析,房源核验码,查询房管备案记录,户型介绍,交通出行,小区介绍,周边配套,权属抵押,用水类型,用电类型,装修描述,别墅类型,燃气价格
10,牡丹三江公馆 纯毛坯 经典四房 楼层好 位置佳,240万,17027,新北区龙虎塘,牡丹三江公馆,4室2厅1厨2卫,高楼层 (共18层),140.96㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,毛坯,两梯两户,有,暂无数据,2023-07-12,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房楼层好 户型方正 使用面积多 纯毛坯 采光刺眼 随时可看,,,A.首套 90平以下1% B.首套90平以上1.5% C.二套90平以下1% D.二套90平以上2% E.三套都是3% 2.个人所得税：不满5年征1% 不满两年征5.3%增值税,,,,,"1、小区生活设施齐全,shopping mall、菜市场、银行，交通便捷； 2、小区内有健身器材，小型篮球场，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车库； 4、小区内24小时保安巡逻",：环球港、万达、丰臣综合商场、长江贸易、奔驰宝马4S店 银行：中国银行、农业银行、工商银行 游乐设施：恐龙园,,,,,,
11,玲珑花园精装两房，小高层。中间楼层。,77.8万,8727,新北区龙虎塘,玲珑花园,2室2厅1厨1卫,低楼层 (共11层),89.15㎡,暂无数据,75.61㎡,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2024-01-09,商品房,2011-10-27,普通住宅,暂无数据,共有,无抵押,已上传房本照片,这房子是小高层。中间楼层。前面开阔，靠 学 校，靠菜场,,业主人很友好、热情，诚心出售，成熟小区管理，证件齐全，随时签约,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率）， 若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税均按照3%收取。,,,,,,出小区就是商场、酒店、健身馆、游乐场、大型综合商场等生活配套齐全，五洲国际广场，环球港，小湖市场，恐龙园,,,,,,
12,牡丹水岸国际 地铁口 外国语  采光没有影响,145万,13691,新北区龙虎塘,牡丹·水岸国际,3室2厅1厨1卫,低楼层 (共18层),105.91㎡,暂无数据,暂无数据,暂无数据,南,框架结构,简装,两梯四户,有,暂无数据,2024-03-01,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押 100万元,未上传房本照片,精装修 小三房 户型方正，交通便利。,,,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率）， 若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税均按照3%收取。,,,"户型周正，格局分布合理，空间感好，通透性强，居住舒适,一梯两户，总层高18层的小高层，得房率高",门口地铁，公交车，交通便利，距离环球港一个红绿灯，距离三江公园一个红绿灯,,,,,,,,
13,靠着环球港，装修好，有两个车位，看房提前联系,170万,11543,新北区龙虎塘,九洲花园北区,4室2厅1厨2卫,中楼层 (共18层),147.28㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2024-03-18,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,户型周正，格局分布合理，空间感好，通透性强，居住舒适,,,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2% 2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,小区环境好，物业管理好，安全配套齐全 小区绿化好，绿树成荫，鸟语花香,生活设施齐全 银行 菜场 商场 饮食 公交 地铁 近在咫尺 生活起居很方便,,,,,,
14,锦珑湾花园 中间楼层 三开间朝南 户型方正,110万,12500,新北区龙虎塘,锦珑湾花园,3室2厅1厨2卫,中楼层 (共18层),88㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2024-03-09,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,锦珑湾花园 中间楼层 三开间朝南 户型方正,,,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,小区绿化面积大 环境优美 让你仿佛置身于公园中 楼间距大 采光好 小区物业态度好 干净整洁 安保24小时巡逻,,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同 此房满5年 格局好 视野开阔 采光充足 配套设施齐全 交通便利,,,,,
15,环球港旁 百兴芝荟时光 精装复式 采光视野佳,70万,7771,新北区龙虎塘,百兴芝荟时光,3室1厅1厨2卫,中楼层 (共19层),90.08㎡,暂无数据,暂无数据,暂无数据,南,钢混结构,精装,两梯三十七户,有,暂无数据,2023-12-12,商品房,2023-03-30,商住两用,未满两年,非共有,有抵押,已上传房本照片,中间楼层是复式挑高5.1米采光很好,,,,,,,,小区体量小人员不会太乱太杂，很适合上班三五公里内，而且家门口就是地铁口出入很方便,环球港近在咫尺沪蓉高速就在你家楼下菜场等一应俱全三公里内辐射必须品所以你值得拥有一套属于自己的房子,,未知,未知,此房为开发商交付后的一手纯毛坯，现已精装好，格局比较直观，适合天马行空的你和你的未来,,
16,牡丹·三江公园 户型方正 次新小区 中间楼层,152万,12562,新北区龙虎塘,牡丹·三江公园,3室2厅1厨2卫,中楼层 (共18层),121㎡,暂无数据,暂无数据,板楼,南 北,钢混结构,毛坯,两梯两户,有,暂无数据,2024-01-01,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,牡丹·三江公园 户型方正 次新小区 中间楼层,,,关于税费主要与买方有关，契税根据买方名下几套房决定；首套房1.5% 二套房2% 三套房3%,,,,,"1、小区生活设施齐全,shopping mall、菜市场、银行，交通便捷； 2、小区内有健身器材，小型篮球场，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车库； 4、小区内24小时保安巡逻",临环球港，繁华地段，户型方正，南北双向对流~采光十足环境优长江贸易、奔驰宝马4S店 银行：中国银行、农业银行、工商银行 游乐设施：恐龙园,,,,,,
17,外国语环球港  美的江山樾 精装大四房 随时看房,260万,20839,新北区龙虎塘,江山樾花园,4室2厅1厨2卫,低楼层 (共20层),124.77㎡,暂无数据,暂无数据,暂无数据,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2021-09-30,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 100多万的贷款,未上传房本照片,小区地理位置优越，交通便捷，辐射广，设施齐全，生活便利,,,业主诚意出售，手续齐全，价格公道，看房方便，随时恭候。 1、90平以内首套房契税1%，二套房1%，三套或以上3% 2、90平以上首套房契税1.5%，二套房2%，三套或以上3% 3、不满两年增值税5.6%，满两年免增值税 4、满五年唯一免个税1%,,,户型周正，格局分布合理，空间感好，通透性强，居住舒适；2、楼层佳，，视野开阔，采光透亮；,小区生活设施齐全 外国语，菜市场、银行、，交通便捷；地铁一号线 2、小区内有健身器材，小型篮球场，可供小区居民使用；3、小区内停车位充足，建有地上停车场和地下车库；4、小区内24小时保安巡逻,,,,,,,,
18,恐龙园商圈联排，满五唯一，带观光电梯，房东诚心出售,980万,34105,新北区龙虎塘,锦珑湾花园,4室5厅1厨4卫,低楼层 (共3层),287.35㎡,,暂无数据,,南,钢混结构,精装,,,暂无数据,2023-10-29,商品房,2017-07-21,别墅,满五年,共有,无抵押,已上传房本照片,位置安静 联排别墅、小区中间位置 南北双花园,,业主诚心出售，随时可以看房，产权清晰，如有看中，全程配套签约过户,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%，三套3% 2、增值税：产证满2年免收增值税，未满2年征收5.3％ 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,央企中海开发，中海物业、小区环境、物业管理都还挺不错的 南侧一河之隔的就是常州的级景区中华恐龙园,,,,,,联排,
19,环球港旁 三江公园 精装修 户型好 一梯一户 业主诚售,180万,15947,新北区龙虎塘,牡丹·三江公园,3室2厅1厨2卫,低楼层 (共15层),112.88㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯两户,有,暂无数据,2023-11-22,商品房,2021-01-19,普通住宅,满两年,共有,有抵押 43万元 组合贷 业主自还,已上传房本照片,此房精装修  户型好 一梯一户  随时可看 业主诚售 随时可看,,亲和力爆棚的业主，诚心置换故此出售，夹杂五味杂陈的个人情感。忍痛挂牌，业主家庭和睦，等待有缘人接盘，房屋买卖交易问题可以随时致电垂询。竭诚为您服务。,存量房需要缴纳个人所得税1%。契税若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税均按照3%收取。不满两年需缴纳5.3%增值税,,,全明户型，南北通空间，三开间朝南 惬意悠享假日生活；方正通透 没有浪费面积 功能实用,,,,,,,,,
20,四房二卫 露台 阳光房 两层 复式 实用面积：180平方,125万,8997,新北区龙虎塘,盘龙苑东区,4室2厅1厨2卫,高楼层 (共6层),138.95㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-09-09,商品房,2018-11-19,普通住宅,暂无数据,共有,有抵押 55万元 公积金 业主自还,已上传房本照片,发现生活温度，适合刚需、改善、婚房等需求，即买入住即享受。此房源值得推荐。,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2% 2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,生活设施齐全 银行 菜场 商场 饮食 公交 地铁 近在咫尺 生活起居很方便,112310732197,盘龙苑复式两层，精装修，四室两厅两卫，有大露台，得房率高..,,,,,,,,,,
21,恐龙园中海锦龙湾   全天采光 价格可谈 诚心出售,149万,13014,新北区龙虎塘,锦珑湾花园,3室2厅1厨2卫,高楼层 (共18层),114.5㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,一梯四户,有,暂无数据,2023-11-21,商品房,2016-08-24,普通住宅,暂无数据,共有,有抵押 中国银行 业主自还,已上传房本照片,此房满五唯一，东边户，通风性好，中高楼层，全天采光，价格...,小区人车分流，小区里可散步，环境优美，适合年轻小两口做婚房，首付也比较低,"业主是因为要置换新房，诚心出售，遇到有缘者价格很好协商
房子是满五年唯一的 没有、、个税",,,,此房是客厅和主卧朝南，让你一大早沐浴阳光，户型很方正，南北通风性很好,,,,,,,,,
22,环球港旁 紫阳美地叠墅 户型方正 居住舒适 拎包可住,315万,11886,新北区龙虎塘,紫阳美地山庄,6室2厅1厨2卫,低楼层 (共6层),265.03㎡,复式,218.64㎡,塔楼,南 北,钢混结构,精装,暂无数据,暂无数据,暂无数据,2022-02-24,商品房,2018-06-21,普通住宅,满五年,共有,无抵押,已上传房本照片,此房满五唯一  精装修居住舒适 户型方正 随时可看 业主诚售,,,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率）， 若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税3%,,,,,小区生活设施齐全 ，菜市场、银行、，交通便捷；BRT 地铁一号线 2、小区内有健身器材，小型篮球场，可供小区居民使用；3、小区内停车位充足，建有地上停车场和地下车库；4、小区内24小时保安巡,,,,,此房精装修 保养好 格局分布合理，空间感好，通透性强 可直接拎包入住 省去装修烦恼  业主诚心出售,,
23,九洲花园 湖景房 147平4房2卫 188万,188万,12765,新北区龙虎塘,九洲花园北区,4室2厅1厨2卫,低楼层 (共18层),147.28㎡,平层,120.06㎡,板塔结合,南,钢混结构,简装,暂无数据,暂无数据,暂无数据,2022-01-02,商品房,2010-12-10,普通住宅,满五年,共有,无抵押,已上传房本照片,小区环境优雅，配套成熟，交通便利，居住舒适。,,业主人非 常友好、热情，很有诚意出售。欢迎看房，随时恭候户型棒，成熟小区管理。,首套房契税是1.5%，二套是2%，三套及以上是3%，如不满两年增加5.3%的增值税。,,,,,,生活设施齐 银行 菜场 商场 饮食近在咫尺 生活起居很方便。,,,,,,
24,环球港 九洲花园一期 楼层好 装修好 随时可看 诚售,180万,13602,新北区龙虎塘,九洲花园北区,4室2厅1厨2卫,低楼层 (共26层),132.34㎡,平层,106.78㎡,板塔结合,南,钢混结构,简装,两梯四户,有,暂无数据,2021-11-01,商品房,2010-07-02,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,房方便，业主和蔼拎包入住随时可看,,亲和力爆棚的业主，因去家里人口多需置换，诚心置换故此出售，夹杂五味杂陈的个人情感。忍痛挂牌，业主家庭和睦，等待有缘人接盘，我是贝壳找房德佑地产腾龙苑店经纪人，房屋买卖交易问题可以随时致电垂询。竭诚为您服务,,,,优雅观景卧室，让阳光与清风轻松入户，给诗意生活更添无限情趣；夕阳与晨曦在枕间悄然停落；让阳光筑慵懒小巢卫浴。,,,,,,,此房精装修，发现生活温度，适合刚需、婚房等需求，便拎包入住。论一位经纪人的自我修养，此房源值得推荐,,
25,精装修 户型好 南北通风 拎包可住 随时可看,92万,10487,新北区龙虎塘,玲珑花园,2室2厅1厨1卫,中楼层 (共9层),87.73㎡,平层,暂无数据,板塔结合,北,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-11-18,商品房,2018-05-07,普通住宅,暂无数据,共有,无抵押,已上传房本照片,精装修 户型好 南北通风 拎包可住 随时可看,,业主诚心出售，看房方便、成熟小区管理，证件齐全，随时签约 随时签约,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率）， 若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税均按照3%收取,,,,,,出小区就是商场、酒店、健身馆、游乐场、大型综合商场等生活配套齐全，五洲国际广场，环球港，小湖市场，恐龙园,,,,,,
26,出售九洲花园北区户型佳配套齐全有钥匙随时看房,268万,12257,新北区龙虎塘,九洲花园北区,6室2厅1厨2卫,高楼层 (共26层),218.66㎡,复式,暂无数据,板塔结合,南,钢混结构,毛坯,两梯四户,有,暂无数据,2022-10-27,商品房,2013-01-06,普通住宅,暂无数据,共有,有抵押 30万元 工行 业主自还,已上传房本照片,楼层好，视野宽阔，采光充足，配套设施齐全，交通便利。,,,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2% 2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1",,,,,小区自带荷花池，中 心湖广场，景色宜人，运动器材设施组成的景观休闲花园，环境优美，居住安逸；,楼下商铺餐饮全都有，北门出去右拐500，到达玲珑菜场，南门出发2公里即江南环球港；,,,,,,
27,位置好，全天采光无遮挡，楼间距宽，可随时看房,120万,13143,新北区龙虎塘,美林湖花园,2室2厅1厨1卫,高楼层 (共22层),91.31㎡,复式,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2022-02-13,商品房,2018-03-18,普通住宅,暂无数据,非共有,有抵押 110万元 平安银行 客户偿还,已上传房本照片,生活方便 交通便利 看房提前预约维护人,,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是唯 一套住房，免收个税，未满5年成交价的1%",,,,,,,业主现诚心出售，证件齐，欢迎看房，随时恭候，如看中房子，价格可谈。,,,,,
28,锦珑湾花园 三室两厅  视野开阔 出行便利,130.8万,11979,新北区龙虎塘,锦珑湾花园,3室2厅1厨1卫,低楼层 (共18层),109.2㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,暂无数据,无,暂无数据,2021-06-08,商品房,2017-06-08,普通住宅,暂无数据,非共有,有抵押 30万元 建设银行 业主自还,已上传房本照片,此房满五唯一  装修新  视野开阔 配套设施齐全，出行便利,,业主置换 诚心售房 证件齐全 欢迎看房，随时恭候，如看中房子，价格可谈,,,,,,,生活设施齐，银行，市场，商城，菜场，饮食近在咫尺 生活起居很方便,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同,,,,,
29,环球港旁 三江公园 楼层好，采光好，纯毛坯 随时可看,205万,13487,新北区龙虎塘,牡丹·三江公园,3室2厅1厨2卫,低楼层 (共17层),152㎡,暂无数据,118.49㎡,暂无数据,南,钢混结构,毛坯,两梯两户,有,暂无数据,2022-05-19,商品房,2020-08-21,普通住宅,暂无数据,共有,有抵押 120万元 江南 客户偿还,已上传房本照片,临环球港，繁华地段，户型方正，南北双向对流~采光十足环境优,,,关于税费主要与买方有关，契税根据买方名下几套房决定；首套房1.5% 二套房2% 三套房3%,,,,,环球港、万达、丰臣综合商场、长江贸易、奔驰宝马4S店 银行：中国银行、农业银行、工商银行 游乐设施：恐龙园,"1、小区生活设施齐全,shopping mall、菜市场、银行，交通便捷； 2、小区内有健身器材，小型篮球场，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车库； 4、小区内24小时保安巡逻",,,,,,
30,环球港、恐龙园，九洲花园缇香郡，精装3房2厅1卫,140万,12174,新北区龙虎塘,九洲花园南区,3室2厅1厨1卫,低楼层 (共18层),115㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2021-12-13,商品房,2016-03-17,普通住宅,满五年,共有,无抵押,已上传房本照片,此房位置好，户型好，楼层好，视野开阔，配套齐全,,,,,,三房二厅一卫，客厅带阳台朝南，双阳台，主卧朝南，楼层好，视野开阔，采光好。,,小区环境好，物业管理好，小区绿化好，鸟语花香，儿童游乐场等适宜居住。,小区配套齐全，近地铁，出门菜市场、银行、幼儿园、公交站等基础配套齐全。,,,,,,
