,标题,总价格,单价,地段,小区名,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,售房详情,户型介绍,税费解析,适宜人群,周边配套,小区介绍,交通出行,装修描述,权属抵押,别墅类型,房源核验码,查询房管备案记录,用水类型,用电类型
10,高铁新城 纯毛坯大4室 复式上下层一样 小高层 电梯房,184万,11949,新北区小新桥,滨江明珠城,4室2厅1厨2卫,高楼层 (共22层),154㎡,复式,暂无数据,板塔结合,南,钢混结构,毛坯,两梯四户,有,暂无数据,2022-04-08,商品房,2017-09-18,普通住宅,暂无数据,共有,有抵押,已上传房本照片,高铁新城 纯毛坯大4房 复式 上下层一样 小高层 电梯房,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同,,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,,业主现诚心出售，证件齐，欢迎看房，随时恭候，配套好 采光不错,,,,,
11,高铁新城 锦海尚城 楼层好 户型好 精装修 带车位诚售,108万,12176,新北区小新桥,锦海尚城,2室2厅1厨1卫,中楼层 (共22层),88.7㎡,平层,70.68㎡,板楼,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-10-15,商品房,2015-09-15,普通住宅,暂无数据,共有,无抵押,已上传房本照片,此房楼层好 户型好 楼层好  精装修 带车位诚售,亲和力爆棚的业主，诚心置换故此出售，夹杂五味杂陈的个人情感。忍痛挂牌，业主 家庭和睦，等待有缘人接盘，房屋买卖交易问 题可以随时致电垂询。竭诚为您服务。,,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率），若买方此次购 房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税 均按照3%收取。,,,,,发现生活温度，适合刚需、改善、婚房等需求，纯毛坯可自己装修。论一位经纪人的自我修养，此房源值得推荐。,,,,,,
12,清水湾花园精装南北两房，满五年唯一，免个税急售！,140万,15187,新北区小新桥,清水湾花园三期,2室2厅1厨1卫,高楼层 (共34层),92.19㎡,平层,69.77㎡,塔楼,南 北,钢混结构,精装,一梯三户,有,暂无数据,2022-09-15,商品房,2013-06-06,普通住宅,暂无数据,共有,无抵押,已上传房本照片,精致两房，全明设计，居住舒适，空间设计利用合理，拎包可住。,亲和力爆棚的业主，房东两口子卖房是为了变现，诚心出售此房，看房需要提前联系，家人过来给开门，房价还可以商量。,,,纯商品房社区，比较适合在附 近上班而且对生活质量要求比较高的一类人群，因为这个小区是纯商品房住宅，居住舒适环境优雅！,,,,优雅观景卧室，让阳光与清风轻松入户，给诗意生活更添无限情趣；夕阳与晨曦在枕间悄然停落；让阳光筑慵懒小巢卫浴。,,,,,,
13,高铁新城 滨江明珠城 一室一厅 房东诚心出售,70万,12132,新北区小新桥,滨江明珠城,1室1厅1厨1卫,中楼层 (共22层),57.7㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2022-09-20,商品房,2018-07-23,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,小区地理位置优越，交通便捷，辐射广，设施齐全，生活便利,房东诚意出售 价格可谈！欢迎致电咨询，看房方便！ 此房业主诚心卖，,,90平以内首套房契税1%，二套房1%，三套或以上3% 2、90平以上首套房契税1.5%，二套房2%，三套或以上3% 3、不满两年增值税5.6%，满两年免增值税 4、满五年唯一免个税1%,,小区自带幼儿园，西临常州市北郊，常州技师学院、旅游贸易学院， 商场：小区门口就是综合市场，西临新桥广场，华润万家，苏杭时代购物广场， 医院：新桥医院 ， 第四人民医院 银行：邮政银行，江苏银行，建设银行,小区环境优美，绿化面积覆盖高，干净整洁，内有健身器材和娱乐广场，物业服务态度好；,,,,,,,,
14,高铁新城 清水湾三期 精装南北两房 房东急售,110万,12001,新北区小新桥,清水湾花园三期,2室2厅1厨1卫,高楼层 (共34层),91.66㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,两梯三户,有,暂无数据,2022-04-11,商品房,2017-01-01,普通住宅,暂无数据,共有,有抵押 30万元 建行 业主自还,已上传房本照片,精致两房，全明设计，居住舒适，空间设计利用合理，拎包可住,亲和力爆棚的业主，房东两口子为了回老家发展，故诚心出售此房，为了方便看房售房，房东把钥匙交给我们了，等待有缘人。,,,纯商品房社区，比较适合在附 近上班而且对生活质量要求比较高的一类人群，因为这个小区是纯住宅，居住舒适环境优雅！,,,,优雅观景卧室，让阳光与清风轻松入户，给诗意生活更添无限情趣；夕阳与晨曦在枕间悄然停落；让阳光筑慵懒小巢卫浴。,,,,,,
15,中间层三面采光，户型方正，价格可谈,118万,12644,新北区小新桥,清水湾花园三期,2室2厅1厨1卫,中楼层 (共34层),93.33㎡,平层,暂无数据,板塔结合,南 北,钢混结构,简装,一梯三户,有,暂无数据,2023-08-03,商品房,2012-09-29,普通住宅,暂无数据,非共有,有抵押 客户偿还,已上传房本照片,南北通、三面采光、全方位景观，明初明卫，房价好谈！,,优雅观景卧室，让阳光与清风轻松入户，给诗意生活更添无限情趣；夕阳与晨曦在枕间悄然停落；让阳光筑慵懒小巢卫浴。,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率）， 若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税均按照3%收取。,发现生活温度，适合刚需、改善、婚房等需求，便拎包入住。即买即享受。 论一位经纪人的自我修养，此房源值得推荐。,,,,,,,,,,
16,高铁新城  精装四房  楼层好  房东自住装修  来电即看,155万,12149,新北区小新桥,西瑶苑,4室2厅1厨1卫,高楼层 (共18层),127.59㎡,平层,暂无数据,板楼,南 北,框架结构,精装,暂无数据,暂无数据,暂无数据,2022-05-05,商品房,2017-09-21,普通住宅,暂无数据,共有,有抵押 35万元 建设银行 客户偿还,已上传房本照片,此房满五唯一 精装修婚房 基本未入住 省去装修烦恼 拎包可住,亲和力爆棚的业主，因工作调动，故此出售，夹杂五味杂陈的个人情感。忍痛挂牌，业主家庭和睦，等待有缘人接盘，房屋买卖交易问题可以随时致电垂询。竭诚为您服务,,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率）， 若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税均按照3%收取。,,,,,优雅观景卧室，让阳光与清风轻松入户，给诗意生活更添无限情趣；夕阳与晨曦在枕间悄然停落；让阳光筑慵懒小巢卫浴。,,,,,,
17,锦海星城，楼层好，采光佳，居住环境舒适，交通便利。,135万,10667,新北区小新桥,锦海星城,3室2厅1厨1卫,中楼层 (共22层),126.56㎡,平层,100.28㎡,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-07-20,商品房,2020-11-09,普通住宅,暂无数据,共有,有抵押 6万元 商业 业主自还,已上传房本照片,此房源户型方正，房东诚心出售可谈价，楼层光线好,业主现诚心出售，证件齐全，欢迎随时看房，随时恭候，如看中房子,,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同,,,,,
18,高铁新城 新龙花苑 复式 精装修  房东 诚售,151.5万,7382,新北区小新桥,新龙花苑东区,6室2厅1厨2卫,高楼层 (共11层),205.24㎡,复式,暂无数据,板塔结合,南 北,钢混结构,精装,暂无数据,暂无数据,暂无数据,2022-06-25,商品房,2018-02-09,普通住宅,暂无数据,共有,有抵押 45万元 中国银行 业主自还,已上传房本照片,全明户型，南北通空间，惬意悠享假日生活；方正通透、复式,,"1、户型周正，格局分布合理，空间感好，通透性强，居住舒适；户型方正视野好,干湿分离,明厨明卫",1、90平以内首套房契税1%，二套房1%，三套或以上3% 2、90平以上首套房契税1.5%，二套房2%，三套或以上3% 3、不满两年增值税5.6%，满两年免增值税 4、满五年唯一免个税1%,,,小区环境优雅，绿化较好，带有休闲设施，可在小区花园游玩，十分有情调,,,,,,,,
19,精装三房，满五年唯一，房价可谈，诚心出售！,150万,13263,新北区小新桥,天禄西阆苑,3室2厅1厨1卫,中楼层 (共22层),113.1㎡,平层,88.88㎡,板塔结合,南 北,钢混结构,精装,两梯四户,有,暂无数据,2022-08-14,商品房,2016-08-29,普通住宅,暂无数据,共有,无抵押,已上传房本照片,满五年唯一住房，楼层中高层，前后无遮挡，精装修诚售！,,,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率），若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税均按照3%收取,纯商品房社区，比较适合在附 近上班而且对生活质量要求比较高的一类人群，因为这个小区是纯商品房住宅，物业管理比较好，小区的安保完善，本房即买入住即享受。,,,,,本房产权清晰，无抵押无户口，满五年唯一，无其他权债务等纠纷，干干净净，可以随时正常签约交易。,,,,,
20,滨江明珠城 3室2厅 南 北,150万,10720,新北区小新桥,滨江明珠城,3室2厅1厨2卫,中楼层 (共22层),139.93㎡,平层,113.56㎡,板塔结合,南 北,钢混结构,简装,两梯四户,有,暂无数据,2023-11-02,商品房,2012-11-02,普通住宅,暂无数据,共有,有抵押 客户偿还,已上传房本照片,,,,,,,,,,,,,,,
21,小新桥 新景二期  精装两房  好楼层  随时看房,111万,13374,新北区小新桥,新景花苑二期,2室1厅1厨1卫,高楼层 (共15层),83㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,一梯两户,有,暂无数据,2023-03-07,商品房,2018-12-13,普通住宅,暂无数据,非共有,有抵押 40万元 客户偿还,已上传房本照片,南北通风、全方位景观，愉悦心情与每一位家人即时分 业主诚心,,,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率），若买方此次购 房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税 均按照3%收取。,发现生活温度，适合刚需、改善、婚房等需求， 论一位经纪人的自我修养，此房源值得推荐,,,小区生活设施齐全 ，菜市场、银行、，交通便捷；BRT 地铁一号线 2、小区内有健身器材，小型篮球场，可供小区居民使用；3、小区内停车位充足，建有地上停车场和地下车库；4、小区内24小时保安巡逻,,,,,,,
22,滨江明珠城二期 3室2厅 南 北,165万,13112,新北区小新桥,滨江明珠城二期,3室2厅1厨2卫,高楼层 (共23层),125.84㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,两梯四户,有,暂无数据,2023-08-26,商品房,2019-07-10,普通住宅,暂无数据,非共有,有抵押,已上传房本照片,,,,,,,,,,,,,,,
23,滨江明珠城 3室2厅 南,150万,11097,新北区小新桥,滨江明珠城,3室2厅1厨2卫,高楼层 (共20层),135.18㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯两户,有,暂无数据,2023-10-26,商品房,2017-06-08,普通住宅,暂无数据,共有,无抵押,已上传房本照片,,,,,,,,,,,,,,,
24,西瑶苑 小三房 交通方便 居住环境好,125万,13842,新北区小新桥,西瑶苑,3室2厅1厨1卫,低楼层 (共18层),90.31㎡,平层,74.74㎡,板楼,南,框架结构,精装,暂无数据,暂无数据,暂无数据,2022-05-07,商品房,2019-03-07,普通住宅,暂无数据,共有,有抵押 72.5万元,已上传房本照片,精装修婚房 保养很好 省去装修烦恼 拎包可住,亲和力爆棚的业主，因工作调动，故此出售，夹杂五味杂陈的个人情感。忍痛挂牌，业主家庭和睦，等待有缘人接盘，房屋买卖交易问题可以随时致电垂询。竭诚为您服务,,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率）， 若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税均按照3%收取,常州位于苏南，可以算在传统的“鱼米之乡，富庶之地”基本生活消费不高，生活节奏不快，很适合居住的城市。小区物业全龄式关怀，改善、刚需、婚房、的孕婴老幼欢迎随时拎包入住！,,,,,,,,,,
25,长宏公寓精装婚房，定制家电，房东置换，忍痛出售,110万,9543,新北区小新桥,长宏公寓,3室2厅1厨1卫,中楼层 (共17层),115.27㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,暂无数据,暂无数据,暂无数据,2021-10-04,商品房,2018-02-02,普通住宅,暂无数据,非共有,有抵押 30万元 工商 客户偿还,已上传房本照片,此房精装三房 楼层好 视野开阔 采光充足 小区环境好,,,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率），若买方此次购 房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税 均按照3%收取。,,配套齐全，交通十分方便，小区旁公交站台近在迟尺，菜场，商场，医院，公园一应俱全,,,满足刚需人群的需求，也满足一家三代共住的需求，精装修，领包入住，后期无需自己装修。,,,,,,
26,业主卖房诚意十足 欢迎来电咨询,140万,11247,新北区小新桥,锦海星城,3室2厅1厨2卫,低楼层 (共9层),124.48㎡,平层,109.17㎡,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2021-11-02,商品房,2012-06-19,普通住宅,满五年,共有,无抵押,已上传房本照片,全明户型，南北通空间，惬意悠享假日生活；方正通透,亲和力爆棚的业主，诚心置换故此出售，夹杂五味杂陈的个人情感。忍痛挂牌，业主家庭和睦，等待有缘人接盘，我是贝壳找房德佑地产凤凰名城店经纪人，房屋买卖交易问题可以随时致电垂询。竭诚为您服务。,,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率）， 若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税均按照3%收取。,发现生活温度，适合刚需、改善、婚房等需求，即买入住即享受。 论一位经纪人的自我修养，此房源值得推荐,,,,,,,,,,
27,精装大三房，业主诚心出售，价格可谈,130万,9276,新北区小新桥,友谊家苑,3室2厅1厨2卫,中楼层 (共9层),140.16㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,暂无数据,暂无数据,暂无数据,2022-06-10,商品房,2020-09-14,普通住宅,暂无数据,共有,无抵押,已上传房本照片,此房满五唯一，精装修，大三房，交通便利！,,,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%； 2、增值税：产证满2年免收增值税，未满2年征收5.6％",小区人文环境好，有娱乐设施和健身场所，适合人群居住多，绿化好,,,交通便利，小区门口有公交车，共享单车，自带农贸市场，商铺~！,,,,,,,
28,满五唯一  婚房  高楼层，西边户,158万,13949,新北区小新桥,天禄西阆苑,3室2厅1厨1卫,中楼层 (共22层),113.27㎡,平层,88.88㎡,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2022-12-09,商品房,2016-05-20,普通住宅,暂无数据,非共有,有抵押,已上传房本照片,满五年唯一住房，楼层中高层，前后无遮挡，精装修诚售！,,,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率），若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税均按照3%收取,纯商品房社区，比较适合在附 近上班而且对生活质量要求比较高的一类人群，因为这个小区是纯商品房住宅，物业管理比较好，小区的安保完善，本房即买入住即享受,,,,该房装修细致入微，业主家中亲戚就是学室内装修设计的，同事也在合伙经营一家装修公司，又是自己的房子很重视，品牌家装建材、家具家电、卫浴、地板无不亲力亲为建选材，监工。即买即享受省心、省力、省时。,,,,,,
29,新桥 清水湾三期 中间楼层 有钥匙 随时看房,170万,13403,新北区小新桥,清水湾花园三期,3室2厅1厨2卫,中楼层 (共34层),126.84㎡,平层,100.5㎡,板塔结合,南,钢混结构,简装,两梯四户,有,暂无数据,2023-09-01,商品房,2012-08-23,普通住宅,暂无数据,共有,无抵押,已上传房本照片,此房 楼层好 毛坯 满五不唯一,亲和力爆棚的业主，诚心出售，夹杂五味杂陈的个人情感。忍痛挂牌，业主 家庭和睦，等待有缘人接盘,,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率），若买方此次购 房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税 均按照3%收取。,发现生活温度，适合刚需、改善、婚房等需求，便拎包入住。即买即享受。 论一位经纪人的自我修养，此房源值得推荐,,,,,,,,,,
30,新桥 锦海一期 精装修 三房 满五唯一 房东 急售,115万,10675,新北区小新桥,锦海星城,3室2厅1厨1卫,中楼层 (共18层),107.73㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯三户,有,暂无数据,2023-09-07,商品房,2017-11-16,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,此房源户型方正，公摊少，房东诚心出售可谈价，楼层采光棒！,业主现诚心出售，卖房是为了换房，证件齐全，欢迎随时看房，随时恭候，如看中房子，价格好谈。,,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是家庭（夫妻双方及未成年子女加起来）唯一套住房，免收个税，未满5年成交价的1%",,,,出门有共享单车，楼下就是公交车站，距离地铁一号线两个红绿灯，距离高铁站，BRT还是比较近的，交通比较方便。,,,,,,,
31,高铁新城   滨江明珠城   精装三房   诚心出售,150万,10817,新北区小新桥,滨江明珠城,3室2厅1厨2卫,低楼层 (共18层),138.68㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯三户,有,暂无数据,2023-05-24,商品房,2008-09-09,普通住宅,暂无数据,共有,无抵押,已上传房本照片,全明户型，南北通空间，惬意悠享假日生活；方正通透，,,优雅观景卧室，让阳光与清风轻松入户，给诗意生活更添无限情趣；夕阳与晨曦在枕间悄然停落；让阳光筑慵懒小巢卫浴。,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率）， 若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税均按照3%收取。,"发现生活温度，适合刚需、改善、婚房等需求，便拎包入住。即买即享受。
论一位经纪人的自我修养，此房源值得推荐。",,,,,,,,,,
