,标题,总价格,单价,地段,小区名,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,售房详情,税费解析,交通出行,户型介绍,房源核验码,查询房管备案记录,适宜人群,装修描述,周边配套,小区介绍,权属抵押,用水类型,用电类型,燃气价格,别墅类型
10,碧桂园壹号天禧  一号线  高铁新城  小高层  必买好房,270万,18817,新北区新桥,碧桂园壹号天禧,4室2厅1厨2卫,中楼层 (共18层),143.49㎡,平层,暂无数据,暂无数据,南,未知结构,精装,暂无数据,暂无数据,暂无数据,2023-12-06,商品房,2021-10-18,普通住宅,满两年,非共有,有抵押,已上传房本照片,此房一米精装修 楼层好 拎包可住 随时可看,,90平以内首套房契税1%，二套房1%，三套或以上3% 2、90平以上首套房契税1.5%，二套房2%，三套或以上3% 3、满五年唯一免个税1%,地铁一号线北郊站出门即达，公交BRT一应俱全 辽河路、华山路、长江路沪宁高速通达全城，高铁北站分秒即乘。,,,,,此房业主用心精装  业主诚心售卖 从未入住过 交易结束即可拎包入住,,,,,,,
11,小区新，公共设施齐全。此房户型不错,235万,16438,新北区新桥,碧桂园壹号天禧,4室2厅1厨2卫,低楼层 (共18层),142.97㎡,平层,114.22㎡,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2024-01-11,商品房,2024-01-24,普通住宅,未满两年,非共有,有抵押 130万元,已上传房本照片,房子的话产权清晰，户型方正，南北阳台,,,,,,,,开发商精装交付，格局完全没改动，小高层的布局，一梯一户的户型。,东门出门有公交，北门出门有地铁1号线，隔壁小区有银行，药店和菜场都是齐全的。环球港离得也近。1公里这样的距离,,,,,,
12,碧桂园壹号天禧 3室2厅 南 北,133万,14008,新北区新桥,碧桂园壹号天禧,3室2厅1厨1卫,低楼层 (共20层),94.95㎡,平层,暂无数据,暂无数据,南 北,未知结构,精装,暂无数据,暂无数据,暂无数据,2023-12-23,商品房,2022-01-12,普通住宅,满两年,共有,有抵押 90万元 客户偿还,已上传房本照片,,,,,,,,,,,,,,,,
13,碧桂园壹号天禧    精装小三房   自住装修  诚心出售,138万,14534,新北区新桥,碧桂园壹号天禧,3室2厅1厨1卫,高楼层 (共20层),94.95㎡,平层,暂无数据,暂无数据,南,未知结构,精装,暂无数据,暂无数据,暂无数据,2024-02-26,商品房,2022-04-18,普通住宅,未满两年,非共有,有抵押 60万元,已上传房本照片,全明户型，南北通空间，惬意悠享假日生活；方正通透,,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率）， 若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税均按照3%收取。,,优雅观景卧室，让阳光与清风轻松入户，给诗意生活更添无限情趣；夕阳与晨曦在枕间悄然停落；让阳光筑慵懒小巢卫浴。,,,"发现生活温度，适合刚需、改善、婚房等需求，便拎包入住。即买即享受。
论一位经纪人的自我修养，此房源值得推荐。",,,,,,,,
14,业主包税！捡大漏！中上好楼层！错过拍大腿！随时看房,188.8万,14867,新北区新桥,牡丹蓝光晶曜,4室2厅1厨2卫,高楼层 (共26层),127㎡,平层,暂无数据,暂无数据,南,未知结构,精装,暂无数据,暂无数据,暂无数据,2024-03-06,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,小区环境优雅，配套成熟，门口就是菜场及饭店，生活设施一应俱全,业主人非 常友好、也很热情，很有诚意出售。业主卖掉考虑置换，看中价格好聊，欢迎品鉴。,首套房契税是1.5%，二套是2%，三套及以上是3%，如不满两年增加5.3%的增值税。,,,,,,,,小区环境好，物业管理好，安全配套齐全 小区绿化好，绿树成荫，鸟语花香,,,,,
15,捡大漏（此房靠抢）房东包税（错过白干三年）好楼层,163.9万,16856,新北区新桥,牡丹蓝光晶曜,3室2厅1厨2卫,高楼层 (共21层),97.24㎡,平层,暂无数据,暂无数据,南,未知结构,精装,暂无数据,暂无数据,暂无数据,2024-02-18,商品房,2023-05-08,普通住宅,未满两年,共有,有抵押 客户偿还,已上传房本照片,此房采光 户型好 精装修 中高楼层 有钥匙随时可看,,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率）， 若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税均按照3%收取,,全明户型，南北通空间，三开间朝南 惬意悠享假日生活；方正通透,,,,此房开发商精装修 为居住节约成本和装修时间，北房间可自己装修喜欢风格,,,,,,,
16,高铁新城 金科礼韵世家 楼层好 户型好 精装交付 诚售,215万,15478,新北区新桥,礼韵世家花园,3室2厅1厨2卫,低楼层 (共18层),138.91㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,暂无数据,暂无数据,暂无数据,2022-09-02,商品房,2021-07-21,普通住宅,满两年,非共有,有抵押 120万元 中国银行 客户偿还,已上传房本照片,楼层好，视野开阔，采光充足，交通便利,亲和力爆棚的业主，诚心置换故此出售，夹杂五味杂陈的个人情感。忍痛挂牌,：存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率）， 若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税均按照3%收..,,全明户型，南北通空间，三开间朝南 惬意悠享假日生活；方正通透,,,,,,,,,,,
17,凤凰名城装修三房，换房诚售，房价可谈！,120万,9412,新北区新桥,凤凰名城,3室1厅1厨2卫,中楼层 (共22层),127.5㎡,暂无数据,104.92㎡,塔楼,南 北,钢混结构,精装,两梯四户,有,暂无数据,2023-03-03,商品房,2010-10-18,普通住宅,满五年,共有,有抵押 业主自还,已上传房本照片,南北双阳台，拥揽春华秋实四季人生景致；阳光、清风自对流。,,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率）， 若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税均按照3%收取。,,主卧宽阳台，让阳光筑慵懒小巢卫浴；主卧飘窗设计，让生活起居真正接近阳光；非凡境界对话无边阔景。,,,发现生活温度，适合刚需、改善、婚房等需求，便拎包入住。即买即享受。 论一位经纪人的自我修养，此房源值得推荐。,,,,,,,,
18,高铁新城  精装修  户型好 楼层好 随时可看 业主诚售,175万,15059,新北区新桥,金科·保利北郡花园,3室2厅1厨2卫,中楼层 (共27层),116.21㎡,暂无数据,暂无数据,板塔结合,南 北,未知结构,精装,两梯四户,有,暂无数据,2022-11-08,商品房,2021-01-27,普通住宅,满两年,共有,有抵押 100万元 商业银行 业主自还,已上传房本照片,户型方正，视野开阔，采光充足，交通便利，出入方便,亲和力爆棚的业主，诚心置换故此出售，夹杂五味杂陈的个人情感。忍痛挂牌,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率）， 若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税均按照3%收取。,,全明户型，南北通空间，三开间朝南 惬意悠享假日生活；方正通透,,,,,,,,,,,
19,地铁口 壹号天禧 大三房 精装修 房东 急售 有钥匙,168万,14141,新北区新桥,碧桂园壹号天禧,3室2厅1厨2卫,中楼层 (共20层),118.81㎡,暂无数据,暂无数据,板塔结合,南 北,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-05-08,商品房,2022-06-13,普通住宅,未满两年,共有,有抵押 100万元 中兴 业主自还,已上传房本照片,精装修从未入住过中间好楼层看房有钥匙,,90平以内首套房契税1%，二套房1%，三套或以上3% 2、90平以上首套房契税1.5%，二套房2%，三套或以上3% 3、不满两年增值税5.6%，满两年免增值税 4、满五年唯一免个税1%,地铁一号线北郊站出门即达，公交一应俱全 辽河路、华山路、长江路沪宁高速通达全城，高铁北站等交通工具,,,,,,配套齐全，交通方便。小区旁公交站台近在迟尺，菜场，商 场，人才市场，医院，公园一应俱全,,,,,,
20,高铁新城 金科礼韵世家 楼层好 户型好 精装交付 诚售,205万,14382,新北区新桥,礼韵世家花园,3室2厅1厨2卫,低楼层 (共18层),142.54㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,精装,两梯两户,有,暂无数据,2022-06-20,商品房,2022-06-20,普通住宅,未满两年,共有,无抵押,已上传房本照片,亲和力爆棚的业主，诚心置换故此出售，夹杂五味杂陈的个人情感。忍痛挂牌,全明户型，南北通空间，三开间朝南 惬意悠享假日生活；方正通透,,,：存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率）， 若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税均按照3%收..,112463817678,楼层好，视野开阔，采光充足，交通便利,,,,,,,,,
21,高铁新城，全明户型，视野宽阔 采光充足 交通便利,158万,14630,新北区新桥,礼韵世家花园,3室2厅1厨2卫,高楼层 (共25层),108㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2024-02-26,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 中国,未上传房本照片,高铁新城，全明户型，视野宽阔 采光充足 交通便利,亲和力爆棚的业主，诚心置换故此出售，夹杂五味杂陈的个人情感。忍痛挂牌，业主家庭和睦，等待有缘人接盘，房屋买卖交易问题可以随时致电垂询。竭诚为您服务。,"存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率），若买方此次购
房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。
二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税
均按照3%收取。",,,,,发现生活温度，适合刚需、改善、婚房等需求，便拎包入住。论一位经纪人的自我修养，此房源值得推荐。,,,,,,,,
22,业主诚售！捡大漏！经典三房！拼手速！看房有钥匙,108万,10486,新北区新桥,凤凰名城,3室2厅1厨1卫,中楼层 (共8层),103㎡,暂无数据,暂无数据,塔楼,南,钢混结构,简装,暂无数据,暂无数据,暂无数据,2024-03-14,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,小区环境优雅，配套成熟，门口就是菜场及饭店，生活设施一应,业主人非 常友好、也很热情，很有诚意出售。业主卖掉考虑置换，看中价格好聊，欢迎品鉴。,首套房契税是1.5%，二套是2%，三套及以上是3%，如不满两年增加5.3%的增值税。,,,,,,,,小区环境好，物业管理好，安全配套齐全 小区绿化好，绿树成荫，鸟语花香,,,,,
23,让生活起居真正接近阳光；非凡境界对话无边阔景,218万,18272,新北区新桥,碧桂园壹号天禧,3室2厅1厨2卫,低楼层 (共20层),119.31㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2022-05-18,商品房,2021-04-27,普通住宅,满两年,非共有,无抵押,已上传房本照片,全能三房，通透中间户，同享边户通风采光，,,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率）， 若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税均按照3%收取。,,主卧宽阳台，让阳光筑慵懒小巢卫浴；主卧飘窗设计，让生活起居真正接近阳光；非凡境界对话无边阔景。,,,发现生活温度，适合刚需、改善、婚房等需求，便拎包入住。即买即享受。 论一位经纪人的自我修养，此房源值得推荐。,,,,,,,,
24,高铁新城  精装修  户型好 楼层好 随时可看 业主诚售,194万,19912,新北区新桥,金科·保利北郡花园,3室1厅1厨1卫,低楼层 (共27层),97.43㎡,暂无数据,暂无数据,板塔结合,南,砖混结构,精装,两梯四户,有,暂无数据,2022-05-20,商品房,2020-10-19,普通住宅,暂无数据,共有,无抵押,已上传房本照片,户型方正，视野开阔，采光充足，交通便利，出入方便 随时可看,亲和力爆棚的业主，诚心置换故此出售，夹杂五味杂陈的个人情感。忍痛挂牌,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率）， 若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税均按照3%收取。,,全明户型，南北通空间，三开间朝南 惬意悠享假日生活；方正通透,,,,,,,,,,,
25,区政府旁 精装4房 集中供暖 交通便利,230万,17969,新北区新桥,弘阳上坤云峯,4室2厅1厨2卫,低楼层 (共31层),128㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2023-06-14,商品房,2021-06-02,普通住宅,暂无数据,共有,无抵押,已上传房本照片,小区环境优雅，配套成熟，交通便利，居住舒适,业主人非 常友好、热情，很有诚意出售。欢迎看房，随时恭候户型棒，成熟小区管理,首套房契税是1.5%，二套是2%，三套及以上是3%，不满二5.3增值税,,,,,,,生活设施齐 银行 农贸菜场 商场 饮食近在咫尺 生活起居很方便,,,,,,
26,北交 D铁旁  腾龙苑西区  小三房  楼层好  看房方便,112万,10370,新北区新桥,腾龙苑西区,3室2厅1厨1卫,中楼层 (共11层),108.01㎡,平层,暂无数据,板楼,南,钢混结构,简装,两梯三户,有,暂无数据,2022-07-19,商品房,2008-10-20,普通住宅,暂无数据,共有,无抵押,已上传房本照片,北郊旁，地铁口小区，交通便利，楼层好,业主诚心置换故此出售，夹杂五味杂陈的个人情感。忍痛挂牌，业主家庭和睦，等待有缘人接盘,存量房需要缴纳个人所得税1%。 契税（看买方名下房屋套数决定费率），若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。 90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%， 若90㎡以上将收取2%。 三套房不论面积大小契税均按照3%收.,,,,,,,亲和力爆棚的教育：小区自带幼儿园，西临常州市北郊，常州技师学院、旅游贸易学院， 商场：小区门口就是综合市场，西临新桥广场，华润万家，苏杭时代购物广场， 医院：新桥医院 ， 第四人民医院 银行：邮政银行，江苏银行，建设银行,,,,,,
27,高铁新城 北郡花园三房边户 业主急售,190万,16380,新北区新桥,金科·保利北郡花园,3室2厅1厨2卫,低楼层 (共27层),116㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2023-10-23,商品房,2020-09-29,普通住宅,暂无数据,共有,有抵押,已上传房本照片,户型方正，视野开阔，采光充足，交通便利，出入方便,亲和力爆棚的业主，诚心置换故此出售，夹杂五味杂陈的个人情感。忍痛挂牌,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率）， 若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税均按照3%收取。,,全明户型，南北通空间，三开间朝南 惬意悠享假日生活；方正通透,,,,,,,,,,,
28,高铁新城小区环境优美小情侣刚需家庭居住,170万,17526,新北区新桥,金科·保利北郡花园,3室2厅1厨1卫,中楼层 (共27层),97㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2023-05-13,商品房,2021-03-04,普通住宅,暂无数据,共有,有抵押 100万元 // 业主自还,已上传房本照片,高铁新城小区环境优美小情侣刚需家庭居住,小区环境优雅交通便利，品牌物业，小区植被众多，公园式住宅，小区设施完善。此房屋方形方正，南北阳台，朝南大阳台，每个卧室和客厅都很大，没有浪费空间，房子设计的堪称 ，中间楼层。,"1. 税：此房已经满两年，因此省掉5.3%的税，很是划算。
2.契税：买房所缴纳的契税，首套房面积小于等于90平方，1%契税，大于90平米，1.5%契税。
二套房面积小于等于90平方，1%契税，大于90平米，2%契税。三套及以上契税3%。
3.个税：买房需要承担的个税1%。",,,,,房东工作调动，诚心出售，欢迎看房，价格合理公道，房东承诺绝不跟风涨价，诚信之人。努力寻找有缘人！,,,,,,,,
29,腾龙苑东区 楼层好 户型方正 有钥匙随时可看 业主诚售,128万,9952,新北区新桥,腾龙苑东区,3室2厅1厨2卫,中楼层 (共5层),128.62㎡,平层,暂无数据,板塔结合,南 北,钢混结构,简装,暂无数据,暂无数据,暂无数据,2022-08-24,商品房,2018-08-14,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,此房楼层好有钥匙，户型方正 随时可看业主诚售,亲和力爆棚的业主，诚心置换故此出售，夹杂五味杂陈的个人情感。忍痛挂牌，业主家庭和睦，等待有缘人接盘，房屋买卖交易问题可以随时致电垂询。竭诚为您服务,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率）， 若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税均按照3%收取。,,,,,发现生活温度，适合刚需、改善、婚房等需求，便拎包入住。即买即享受。 论一位经纪人的自我修养，此房源值得推荐。,,,,,,,,
30,礼韵世家花园，近地铁口，集中供暖,185万,17197,新北区新桥,礼韵世家花园,3室2厅1厨2卫,中楼层 (共25层),107.58㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2023-04-19,商品房,2021-08-20,普通住宅,暂无数据,共有,有抵押 110万元 江南农村商业银行 业主自还,已上传房本照片,小区内有草坪水系景观，儿童游乐设施，篮球场羽毛球场健身设施，小区人车分流24小时保安巡逻。,,,,"亲和力爆棚的业主，诚心置换故此出售，夹杂五味杂陈的个人情感。忍痛挂牌，业主
家庭和睦，等待有缘人接盘。",112460261157,此房满二不唯一，中间楼层，户型方正采光好，全能三房,,,,"优雅观景卧室，让阳光与清风轻松入户，给诗意生活更添无限情趣；夕阳与晨曦在枕
间悄然停落；让阳光筑慵懒小巢卫浴。",,,,,
