,标题,总价格,单价,地段,小区名,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,户型介绍,售房详情,装修描述,小区介绍,税费解析,周边配套,适宜人群,权属抵押,房源核验码,查询房管备案记录
10,此房格局通透，户型方正，楼层佳，视野开阔，阳光好,116万,13489,经开区横山桥镇,万象府,3室2厅1厨1卫,中楼层 (共20层),86㎡,平层,暂无数据,暂无数据,南,未知结构,精装,暂无数据,暂无数据,暂无数据,2023-10-09,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押,未上传房本照片,此房格局通透，户型方正，楼层佳，视野开阔，阳光好,.户型周正，格局分布合理，空间感好，通透性强，居住舒适 2.楼层佳，南北朝向，视野开阔，采光通透 3.小区环境优美，绿化覆盖面积多，干净整洁，内有健身器材和小型娱乐设施。物业服务态度好,,,、小区生活设施齐，商场、菜市场、银行等，交通便捷；2、小区内有健身器材，小型篮球场，可供小区居民使用；3、小区内停车位充足，建有地上停车场和地下车库；4、小区内24小时保安巡逻。5.户型周正，格局分布合理，空间感好，通透性佳,契税：A首套 90平以下1% B首套 90平以上1.5% C二套90平以下1% D二套90平以上2% E三套都是3%增值税：满两年免征 不满2年权.额征收5.6%个人所得税：不满5年征1%,,,,,
11,万象府 三房精装修 中yang空调 本来自住 现诚心出售,130万,14607,经开区横山桥镇,万象府,3室2厅1厨1卫,低楼层 (共20层),89㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2023-05-27,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 45万元 江南银行,未上传房本照片,此房户型好，户型位置好，房东诚心急卖,户型周正，格局分布合理，空间感好，通透性强，居住舒适； 2、楼层佳，朝向南北，视野开阔，采光透亮,,,,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是唯 一套住房，免收个税，未满5年成交价的1%",好几家大型购物商场（永辉，好又多），综合菜场，药店，银行配套齐全，还有天宁吾悦购物广场，丁塘河湿地公园，爱琴海购物广场,,,,
12,房子精装修 保养干净清爽 采光好 楼层好 看房方便,118万,13213,经开区横山桥镇,万象府,2室2厅1厨1卫,中楼层 (共20层),89.31㎡,平层,暂无数据,板塔结合,南 北,混合结构,精装,暂无数据,暂无数据,暂无数据,2023-12-22,商品房,2021-04-28,普通住宅,满两年,共有,无抵押,已上传房本照片,房子精装修 保养的干净清爽 采光好 楼层好 看房方便,户型方正 中间户 三开间朝南 两梯四户 楼栋间距大,,,小区位于经开区 东方东路 地铁站配套设齐全,,,,房子目前有公积金贷款 产权清晰 过户全程陪同,,
13,新上房源  好房出售 价格美丽 房东外地发展诚意出,85万,9664,经开区横山桥镇,领秀江南,2室1厅1厨1卫,低楼层 (共18层),87.96㎡,平层,暂无数据,暂无数据,南,未知结构,精装,暂无数据,暂无数据,暂无数据,2024-03-05,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,新上 此房房东外地发展急出  精装2室  小区环境好,,,,环境优美小区安静优雅绿化较好带有休闲设施，可在小区花园游玩，十分有情调。2.交通便利:公交车方向众多，外部道路宽阔，交通十分便利。3生活便利:小区内有，合理分布便利，生活用品及买菜+分便利，生活轻松,房屋产权:房子为商品房。税费信息满两年省增值税。首套房90M以下1%、90M以上15二套房90M以下1%90M以上2%三套房不论面积统-3%,小区生活设施齐全、菜市场、银行、交通便捷2、小区内有健身器材，可供小区居民使用:3、小区内停车位充足，建有地上停车场和地下车库;4、小区内24小时保安巡逻。,,,,
14,二号线地铁口精装修小三房，刚需首付二十即可拎包入住,107万,12001,经开区横山桥镇,万象府,3室2厅1厨1卫,低楼层 (共20层),89.16㎡,平层,暂无数据,暂无数据,南,未知结构,精装,暂无数据,暂无数据,暂无数据,2024-02-26,商品房,2013-04-01,普通住宅,满五年,非共有,有抵押 85万元,已上传房本照片,此房是三开间朝南的三房户型，南北朝向，房屋的户型较为规整，没有太多的浪费面积。,业主早年开盘的时候购入的新房，现在已经去其他城市发展，决定将此房源处理多余财产，卖房诚心。,此房是精装修，业主原先自住的保养很好，装修也才两年时间，各方面都干净整洁,,,,,,,052496734857,此房采光好，视野很好，看房方便，业主诚心出售。
15,此房格局通透，户型方正，楼层佳，视野开阔，阳光好,81万,9085,经开区横山桥镇,万象府,3室2厅1厨1卫,低楼层 (共20层),89.16㎡,平层,暂无数据,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2024-01-03,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押 75万元,未上传房本照片,此房格局通透，户型方正，楼层佳，视野开阔，阳光好,1.户型周正，格局分布合理，空间感好，通透性强，居住舒适 2.楼层佳，南北朝向，视野开阔，采光通透 3.小区环境优美，绿化覆盖面积多，干净整洁，内有健身器材和小型娱乐设施。物业服务态度好,,,小区环境优美，绿化面积大，人车分流，车位充足人文素养高，乐于助人 相处和谐物业方便快捷，安保24小时巡逻，本小区设有门禁 闲杂人等不得入内,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是唯 一套住房，免收个税，未满5年成交价的1%",,,,,
16,此房采光好，视野很好，看房方便，业主诚心出售,132万,14847,经开区横山桥镇,万象府,3室1厅1厨1卫,高楼层 (共20层),88.91㎡,平层,暂无数据,暂无数据,南,未知结构,精装,暂无数据,暂无数据,暂无数据,2024-03-04,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房采光好，视野很好，看房方便，业主诚心出售,此房是两开间朝南的三房户型，南北朝向，房屋的户型较为规整，没有太多的浪费面积。,业主早年开盘的时候购入的新房，现在已经去其他城市发展，决定将此房源处理多余财产，卖房诚心,,小区环境优美，绿化面积大，人车分流，车位充足人文素养高，乐于助人 相处和谐物业方便快捷，安保24小时巡逻，本小区设有门禁 闲杂人等不得入内,,,,,,
17,万象府4房高区楼层房东诚售，采光视野佳，随时看房。,168万,13911,经开区横山桥镇,万象府,4室2厅1厨2卫,高楼层 (共18层),120.77㎡,平层,暂无数据,暂无数据,南 北,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-05-20,商品房,2021-06-25,普通住宅,暂无数据,共有,有抵押 50万元 公积金 客户偿还,已上传房本照片,四房户型满足使用需求；楼层好，无遮挡，采光视野佳。,,"售房原因：房东本人在外地工作，房屋空置。出售变现。
房屋状态：随时可以看房，随时可以签约。",,"万象府是华润地产在常州经开区布局的力作，位于东方东路与常青路交汇处西侧。项目地段优越，交通便捷，配套齐全，生活方便。
小区环境优美，设施齐全，入住率高。","1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%。
2、增值税：产证满2年免收增值税，未满2年征收5.3％。
3、个税：产证满五年而且是唯一套住房，免收个税，未满5年成交价的1%。",,,,,
18,房东诚心出售万象府三房 看房方便,110万,12281,经开区横山桥镇,万象府,2室2厅1厨1卫,低楼层 (共17层),89.57㎡,暂无数据,暂无数据,暂无数据,南 北,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-03-04,商品房,2021-04-21,普通住宅,暂无数据,非共有,有抵押,已上传房本照片,此房格局通透，户型方正，楼层佳，视野开阔，阳光好,户型周正，格局分布合理，空间感好，通透性强，居住舒适 2.楼层佳，南北朝向，视野开阔，采光通透 3.小区环境优美，绿化覆盖面积多，干净整洁，内有健身器材和小型娱乐设施。物业服务态度好。,,,小区环境优美，绿化面积大，人车分流，车位充足人文素养高，乐于助人 相处和谐物业方便快捷，安保24小时巡逻，本小区设有门禁 闲杂人等不得入内,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是唯 一套住房，免收个税，未满5年成交价的1%",,,,,
19,此房格局通透，户型方正，楼层佳，阳光足，视野开阔,160万,13139,经开区横山桥镇,万象府,4室2厅1厨2卫,高楼层 (共18层),121.78㎡,暂无数据,暂无数据,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2022-09-28,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押 100万元,未上传房本照片,此房格局通透，户型方正，楼层佳，阳光足，视野开阔，居住舒适,1.户型周正，格局分布合理，空间感好，通透性强，居住舒适 2.楼层佳，南北朝向，视野开阔，采光通透 3.小区环境优美，绿化覆盖面积多，干净整洁，内有健身器材和小型娱乐设施。物业服务态度好,,,小区环境优美，绿化面积大，人车分流，车位充足人文素养高，乐于助人 相处和谐物业方便快捷，安保24小时巡逻，本小区设有门禁 闲杂人等不得入内,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是唯 一套住房，免收个税，未满5年成交价的1%",,,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同,,
20,急售万象府三房户型好 诚心出售看房方便价格可谈,125万,13967,经开区横山桥镇,万象府,3室2厅1厨1卫,低楼层 (共20层),89.5㎡,暂无数据,暂无数据,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-05-05,商品房,2021-03-17,普通住宅,暂无数据,共有,有抵押 70万元 工商,已上传房本照片,小区生活设施齐，商场、菜市场、银行等，交通便捷,户型周正，格局分布合理，空间感好，通透性强，居住舒适 2.楼层佳，南北朝向，视野开阔，采光通透,,,小区生活设施齐，商场、菜市场、银行等，交通便捷；2、小区内有健身器材，小型篮球场，可供小区居民使用；3、小区内停车位充足，建有地上停车场和地下车库；4、小区内24小时保安巡逻。5.户型周正，格局分布合理，空间感好，通透性佳,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,
21,华润开发，二号线地铁口小三房打骨折出售，急卖急卖！,102万,11473,经开区横山桥镇,万象府,3室1厅1厨1卫,高楼层 (共20层),88.91㎡,暂无数据,暂无数据,板楼,南 北,混合结构,毛坯,四梯四户,有,暂无数据,2023-03-04,商品房,2021-04-28,普通住宅,暂无数据,共有,有抵押 70万元,已上传房本照片,此房格局通透，户型方正，楼层佳，视野开阔，阳光好,1.户型周正，格局分布合理，空间感好，通透性强，居住舒适 2.楼层佳，南北朝向，视野开阔，采光通透 3.小区环境优美，绿化覆盖面积多，干净整洁，内有健身器材和小型娱乐设施。物业服务态度好,,,小区环境优美，绿化面积大，人车分流，车位充足人文素养高，乐于助人 相处和谐物业方便快捷，安保24小时巡逻，本小区设有门禁 闲杂人等不得入内,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是唯 一套住房，免收个税，未满5年成交价的1%",,,,,
22,急售万象府三房诚心出售有钥匙看房 价格可谈,170万,19003,经开区横山桥镇,万象府,3室2厅1厨1卫,低楼层 (共20层),89.46㎡,暂无数据,暂无数据,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-05-08,商品房,2021-03-17,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,房产权清晰，房源真实，业主诚心出售，看房方便，过户全程..,户型周正，格局分布合理，空间感好，通透性强，居住舒适； 2、楼层佳，朝向南北，视野开阔，采光透亮,,,,"首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是唯 一套住房，免收个税，未满5年成交价的1%",好几家大型购物商场（永辉，好又多），综合菜场，药店，银行配套齐全，还有天宁吾悦购物广场，丁塘河湿地公园，爱琴海购物广场,,,,
23,爱琴海奥特莱斯旁 精装 三房 边户 通透格局 2卫,150万,13527,经开区横山桥镇,7区上东,3室2厅1厨2卫,中楼层 (共34层),110.89㎡,暂无数据,暂无数据,暂无数据,南,未知结构,精装,暂无数据,暂无数据,暂无数据,2022-06-23,商品房,2019-11-28,普通住宅,暂无数据,非共有,有抵押 100万元,已上传房本照片,爱琴海奥特莱斯旁 精装 三房 边户 通透 格局 有 2个卫生间,,业主现诚心出售，证件齐，欢迎看房，随时恭候，如看中房子，可以出价  有钥匙 随时看房,,,"首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90 平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值 税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5 年成交价的1%",,,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同,,
24,万象府毛坯四房，楼层佳，采光好,163万,13487,经开区横山桥镇,万象府,4室2厅1厨2卫,中楼层 (共20层),120.86㎡,暂无数据,暂无数据,板塔结合,南 北,钢混结构,毛坯,两梯四户,有,暂无数据,2023-09-09,商品房,2021-03-17,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,小区环境优美，绿化面积大，人车分流，车位充足人文素养高，乐于助人 相处和谐物业方便快捷，安保24小时巡逻，本小区设有门禁 闲杂人等不得入内,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是唯 一套住房，免收个税，未满5年成交价的1%",,,1.户型周正，格局分布合理，空间感好，通透性强，居住舒适 2.楼层佳，南北朝向，视野开阔，采光通透 3.小区环境优美，绿化覆盖面积多，干净整洁，内有健身器材和小型娱乐设施。物业服务态度好,,,,,052488467484,此房格局通透，户型方正，楼层佳，视野开阔，阳光好
25,7区上东 中间楼层 精装修领包入住 随时看房,140万,13726,经开区横山桥镇,7区上东,3室2厅1厨2卫,中楼层 (共34层),102㎡,暂无数据,暂无数据,暂无数据,南,未知结构,精装,暂无数据,暂无数据,暂无数据,2023-11-02,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,此房格局通透，户型方正，楼层佳， 视野开阔，阳光足,户型周正，格局分布合理，空间感好，通透性强，居住舒适 2.楼层佳，南北朝向，视野开阔，采光通透 3.小区环境优美，绿化覆盖面积多，干净整洁，内有健身器材和小型娱乐设施。物业服务态度好。,,,小区环境优美，绿化面积大，人车分流，车位充足人文素养高，乐于助人 相处和谐物业方便快捷，安保24小时巡逻，本小区设有门禁 闲杂人等不得入内,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是唯 一套住房，免收个税，未满5年成交价的1%",,,,,
26,此房格局通透，户型方正，楼层佳，视野开阔，阳光好,125万,13956,经开区横山桥镇,万象府,3室2厅1厨1卫,高楼层 (共17层),89.57㎡,暂无数据,暂无数据,暂无数据,南,未知结构,简装,暂无数据,暂无数据,暂无数据,2023-08-03,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,此房格局通透，户型方正，楼层佳，视野开阔，阳光好,1.户型周正，格局分布合理，空间感好，通透性强，居住舒适 2.楼层佳，南北朝向，视野开阔，采光通透 3.小区环境优美，绿化覆盖面积多，干净整洁，内有健身器材和小型娱乐设施。物业服务态度好,,,小区环境优美，绿化面积大，人车分流，车位充足人文素养高，乐于助人 相处和谐物业方便快捷，安保24小时巡逻，本小区设有门禁 闲杂人等不得入内,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是唯 一套住房，免收个税，未满5年成交价的1%",,,,,
27,万象府 3室2厅 南,120万,13484,经开区横山桥镇,万象府,3室2厅1厨1卫,低楼层 (共20层),89㎡,暂无数据,暂无数据,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-05-13,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押,未上传房本照片,,,,,,,,,,,
28,万象府 好房优质楼层采光佳看房随时,85万,9551,经开区横山桥镇,万象府,3室2厅1厨1卫,高楼层 (共20层),89㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,毛坯,两梯四户,有,暂无数据,2023-01-11,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房格局通透，户型方正，楼层佳，视野开阔，阳光充足,1.户型周正，格局分布合理，空间感好，通透性强，居住舒适 2.楼层佳，南北朝向，视野开阔，采光通透 3.小区环境优美，绿化覆盖面积多，干净整洁，内有健身器材和小型娱乐设施。物业服务态度好。,,,小区环境优美，绿化面积大，人车分流，车位充足人文素养高，乐于助人 相处和谐物业方便快捷，安保24小时巡逻，本小区设有门禁 闲杂人等不得入内,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是唯 一套住房，免收个税，未满5年成交价的1%",,,,,
29,急售万象府户型好 价格可谈看房方便,155万,14590,经开区横山桥镇,万象府,3室2厅1厨2卫,低楼层 (共20层),106.24㎡,暂无数据,暂无数据,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-03-21,商品房,2021-04-06,普通住宅,暂无数据,共有,有抵押,已上传房本照片,此房户型好，户型位置好，房东诚心急卖,户型周正，格局分布合理，空间感好，通透性强，居住舒适； 2、楼层佳，朝向南北，视野开阔，采光透亮,,,,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是唯 一套住房，免收个税，未满5年成交价的1%",好几家大型购物商场（永辉，好又多），综合菜场，药店，银行配套齐全，还有天宁吾悦购物广场，丁塘河湿地公园，爱琴海购物广场,,,,
30,华润万象府 房东诚售 户型方正 看房方便,175万,15569,经开区横山桥镇,万象府,3室2厅1厨2卫,中楼层 (共20层),112.41㎡,暂无数据,暂无数据,暂无数据,南 北,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2022-10-18,商品房,2021-03-31,普通住宅,暂无数据,非共有,有抵押,已上传房本照片,此房是华润万象府的一间毛坯房，楼层居中，户型方正。,此房是三开间朝南的三房户型，南北朝向，房屋的户型较为规整，没有太多的浪费面积。,业主早年开盘的时候购入的新房，现在已经去其他城市发展，决定将此房源处理多余财产，卖房诚心。,此房为开发商的毛坯交付的新房，新购入的客户可以完全按照自己的喜好装修，避免了对旧装修的拆除的情况,,,,,,,
