,标题,总价格,单价,地段,小区名,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,税费解析,周边配套,交通出行,小区介绍,户型介绍,别墅类型,售房详情,适宜人群,装修描述,权属抵押,房源核验码,查询房管备案记录,用水类型,用电类型,燃气价格
10,常州奥林匹克花园 4室1厅 南 北,175万,7618,新北区薛家,常州奥林匹克花园,4室1厅1厨2卫,高楼层 (共6层),229.74㎡,复式,暂无数据,板塔结合,南 北,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-11-16,商品房,2018-08-01,普通住宅,暂无数据,共有,无抵押,已上传房本照片,,,,,,,,,,,,,,,,
11,君望甲第 精装修拎包即住中高楼层采光视野好  急售,246万,17523,新北区薛家,万科·弘阳君望甲第,4室2厅1厨2卫,高楼层 (共18层),140.39㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-07-04,商品房,2020-08-26,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,户型周正，格局分布合理，空间感好，通透性强，居住舒适；,首套房90平以内契税1%，二套房1%，三套或以上3% 2、90平以上首套房契税1.5%，二套房2%，三套或以上3% 3、不满两年增值税5.6%，满两年免增值税 4、满五年唯一免个税1%,,,小区边生活设施齐全，、菜市场、银行、交通便捷； 2、小区内有健身器材，小型篮球场，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车库； 4、小区内24小时保安巡逻  安保很好,中高楼层，采光与视野都挺好。通透户型，通透性比较高。三个卧室朝南，视野舒服的同时，很安静。客厅视野外看无遮挡,,,想要换购或居住大四室人群，未占用。业主考虑置换其他城市。小区人文素质高，付款方式不限,户型周正，格局分布合理，空间感好，通透性强，居住舒适； 2、楼层佳，朝向南北，视野开阔，采光透亮； 3、小区环境优美，绿化面积覆盖高，干净整洁，内有健身器材和娱乐广场，物业服务态度好；,,,,,,
12,聚怡花园南区   顶楼   毛坯,138万,12330,新北区薛家,聚怡花园南区,4室2厅1厨2卫,高楼层 (共16层),111.93㎡,复式,90.38㎡,塔楼,南,钢混结构,毛坯,暂无数据,暂无数据,暂无数据,2020-12-12,商品房,2013-08-23,普通住宅,暂无数据,共有,无抵押,已上传房本照片,房子是全明格局，顶楼，房子小区位置好,1、90平以内首套房契税1%，二套房1%，三套或以上3% 2、90平以上首套房契税1.5%，二套房2%，三套或以上3% 3、不满两年增值税5.6%，满两年免增值税 4、满五年唯一免个税1%,,,1、小区边生活设施齐全，、菜市场、银行、交通便捷； 2、小区内有健身器材，小型篮球场，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车库； 4、小区内24小时保安巡逻。,1、户型周正，格局分布合理，空间感好，通透性强，居住舒适； 2、楼层佳，朝向南北，视野开阔，采光透亮； 3、小区环境优美，绿化面积覆盖高，干净整洁，内有健身器材和娱乐广场，物业服务态度好； 4、小区地理位置优越，交通便捷,,,,,,,,,,
13,不靠高架，户型方正，有 入户花园，看房方便,145万,12093,新北区薛家,白马公馆,3室1厅1厨2卫,高楼层 (共34层),119.91㎡,平层,暂无数据,板楼,南,钢混结构,毛坯,两梯三户,有,暂无数据,2021-11-05,商品房,2019-05-08,普通住宅,满两年,共有,有抵押 60万元,已上传房本照片,此房中高楼层采光好，户型方正，有  入户花园，看房方便,此房为房东开发商购买的一手房，关于税费主要与买方有关，契税根据买方名下几套房决定；首套房1.5% 二套房2% 三套房3%,,楼下有共享单车车，小区南边是龙城高架，往东南方向可到南大街，火车站，向西到奔牛机场，向北到常州高铁北站，和薛家沪蓉高速出入口，龙虎塘沪蓉高速出入口,白马公馆为绿洲置业又一品牌升级力作，位于飞龙版块地处新北区龙城大道以北，太湖西路与昆仑路交汇处。总建筑面积约34万方，由16栋高层、 会所及沿街组成。88-140㎡创梦空间，满足不同人群的共同梦想居所。高架贯通轻松链接五大区，小区的会所,,,,,,,,,,,
14,怡景名园 3室2厅 南,120万,9613,新北区薛家,怡景名园,3室2厅1厨1卫,低楼层 (共9层),124.84㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-09-20,商品房,2018-09-24,普通住宅,暂无数据,共有,有抵押,已上传房本照片,,,,,,,,,,,,,,,,
15,万科·弘阳君望甲第 精装大四房 房东诚心看房方便,200万,14247,新北区薛家,万科·弘阳君望甲第,4室2厅1厨2卫,低楼层 (共18层),140.39㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-11-11,商品房,2021-03-15,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,小区地理位置优越，交通便捷，配套辐射广，设施齐全，生活便利,"1、90平以内首套房契税1%，二套房1%，三套或以上3%            
2、90平以上首套房契税1.5%，二套房2%，三套或以上3%
3、不满两年增值税5.3%，满两年免增值税
4、满五年唯一免个税1%","1、小区生活设施齐全，购物广场，菜市场、银行 交通便捷；地铁一号线 常州高铁北站 龙江高架 
2、小区内有健身器材，小型篮球场，可供小区居民使用；
3、小区内停车位充足，建有地上停车场和地下车库；
4、小区内24小时保安巡逻。",,,,,业主人非 常友好、热情，很有诚意出售。欢迎看房，随时恭候户型棒，成熟小区管理。,,,,,,,,
16,顶楼复式，很漂亮，业主诚心出售,150万,7723,新北区薛家,常州奥林匹克花园,6室2厅1厨4卫,高楼层 (共5层),194.25㎡,复式,暂无数据,板塔结合,南,钢混结构,精装,两梯两户,有,暂无数据,2023-05-28,商品房,2018-07-16,普通住宅,暂无数据,共有,有抵押 80万元 建行 业主自还,已上传房本照片,南北通风户型好，业主诚心出售，业主人很好。,90平以内首套房契税1%，二套房1%，三套或以上3% 2、90平以上首套房契税1.5%，二套房2%，三套或以上3% 3、不满两年增值税5.3%，满两年免增值税、满五年唯一免个税1%,,,小区边生活设施齐全，、菜市场、银行、交通便捷； 2、小区内有健身器材，小型篮球场，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车库； 4、小区内24小时保安巡逻,户型周正，格局分布合理，空间感好，通透性强，居住舒适； 2、楼层佳，朝向南北，视野开阔，采光透亮,,,,,,,,,,
17,此房源房子好没抵押，成交快，欢迎大家来看看，,136万,12779,新北区薛家,怡枫苑,3室2厅1厨1卫,低楼层 (共30层),106.43㎡,平层,78.61㎡,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-03-06,商品房,2015-05-05,普通住宅,暂无数据,共有,无抵押,已上传房本照片,批房满五唯一，南北通远格局，楼层好，视野亮阔，买光元足，,1、90平以内首套房契税1%，二套房1%，三套或以上3% 2、90平以上首套房契税1.5%，二套房2%，三套或以上3% 3、不满两年增值税5.6%，满两年免增值税 4、满五年唯一免个税1%,,,1、小区边生活设施齐全，菜市场、银行、交通便捷； 2、小区内有健身器材，小型篮球场，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车库； 4、小区内24小时保安巡逻。,1、户型周正，格局分布合理，空间感好，通透性强，居住舒适； 2、楼层佳，朝向南北，视野开阔，采光透亮； 3、小区环境优美，绿化面积覆盖高，干净整洁，内有健身器材和娱乐广场，物业服务态度好； 4、小区地理位置优越，交通便捷,,,,,,,,,,
18,佳兆业凤凰湖壹号 四房东边户带大露台 有钥匙看房方便,260万,18934,新北区薛家,佳兆业凤凰湖壹号,4室3厅1厨2卫,中楼层 (共6层),137.32㎡,错层,暂无数据,板塔结合,南,钢混结构,精装,两梯两户,有,暂无数据,2023-08-03,商品房,2020-08-06,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,小区地理位置优越，交通便捷，配套辐射广，设施齐全，生活便利,"1、90平以内首套房契税1%，二套房1%，三套或以上3%            
2、90平以上首套房契税1.5%，二套房2%，三套或以上3%
3、不满两年增值税5.3%，满两年免增值税
4、满五年唯一免个税1%","1、小区生活设施齐全，购物广场，菜市场、银行 交通便捷；地铁一号线 常州高铁北站 龙江高架 
2、小区内有健身器材，小型篮球场，可供小区居民使用；
3、小区内停车位充足，建有地上停车场和地下车库；
4、小区内24小时保安巡逻。",,,,,业主人非 常友好、热情，很有诚意出售。欢迎看房，随时恭候户型棒，成熟小区管理,,,,,,,,
19,2房朝南，户型周正，格局分布合理，空间感好,150万,14942,新北区薛家,九龙仓年华里 ,3室2厅1厨1卫,高楼层 (共18层),100.39㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯七户,有,暂无数据,2023-08-16,商品房,2015-06-12,普通住宅,暂无数据,共有,有抵押,已上传房本照片,2房朝南，户型周正，格局分布合理，空间感好，通透性强，..,1、90平以内首套房契税1%，二套房1%，三套或以上3% 2、90平以上首套房契税1.5%，二套房2%，三套或以上3% 3、不满两年增值税5.6%，满两年免增值税 4、满五年唯一免个税1%（此房满五唯一免交个税）,,,1、小区边生活设施齐全，菜市场、银行、交通便捷； 2、小区内有健身器材，棋牌室，活动室，小型篮球场，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车库； 4、小区内24小时保安巡逻。封闭管理，智能人脸识别系统,,,1.房屋权属清晰，随时签约及过户办理 2.房子有少量欠贷，随时可自行还款 3.置换改善换大房子 4.看房随时电话预约即可,,,,,,,,
20,双阳台设计 户型方正，看房有钥匙，价格可谈,139万,10685,新北区薛家,九龙仓荣华里,4室2厅1厨2卫,低楼层 (共31层),130.1㎡,平层,暂无数据,板塔结合,东南 南,钢混结构,毛坯,两梯三户,有,暂无数据,2021-09-04,商品房,2018-12-18,普通住宅,暂无数据,非共有,有抵押 70万元,已上传房本照片,"方正通透，户型正气，视野宽阔,采光无遮挡，配套设施齐全...",,小区配套完善，交通便利。有大型商场、医疗机构、饭店、娱乐场所。,,小区环境优美，配套成熟，交通便利，居住舒适。人文素养好，乐于助人，相处和谐,,,,,,此房产权清晰，无纠纷放心购买，业主诚心出售，看房方便，过户全程陪同,,,,,
21,采光无遮挡，楼层好，配套设施齐全，交通便利,190万,8254,新北区薛家,常州奥林匹克花园,5室2厅1厨3卫,高楼层 (共5层),230.2㎡,复式,暂无数据,板塔结合,南,钢混结构,精装,两梯两户,有,暂无数据,2023-06-28,商品房,2020-10-21,普通住宅,暂无数据,共有,有抵押,已上传房本照片,复式房子采光无遮挡，配套设施齐全，交通便利,契税： 首套房1.5% 二套房2% 三套房3% 增值税： 满两年免征， 不满二年 收全额的5.3% 个人所得税： 未满五年1% 满五唯一免个人所得,小区西门家乐商城菜场，薛家医院。东边天宇购物广场，北边健身俱乐部,,,1、户型周正，格局分布合理，空间感好，通透性强，居住舒适； 2、复式房子，朝向南北，视野开阔，采光透亮；,,,,,,,,,,
22,顶楼复式，带南北露台，有钥匙随时看房,160万,8717,新北区薛家,顺园二村,3室2厅1厨2卫,高楼层 (共6层),183.56㎡,复式,暂无数据,板楼,南,钢混结构,精装,暂无数据,无,暂无数据,2023-08-26,商品房,2017-05-25,普通住宅,暂无数据,共有,无抵押,已上传房本照片,顶楼复式，带南北露台，使用率较高，有钥匙随时看房,1、90平以内首套房契税1%，二套房1%，三套或以上3% 2、90平以上首套房契税1.5%，二套房2%，三套或以上3% 3、满五年唯一免个税1%,,门 口 有47路公交车可到新北万达火车站，43路45路可以到市里,小区生活设施齐全，银行，交通便捷； 2、小区内有健身器材，小型篮球场，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车库； 4、小区内24小时保安巡逻。,,,,,,,,,,,
23,小区位置佳，房东诚心卖房，看房方便。,105万,8808,新北区薛家,常州奥林匹克花园,3室2厅1厨2卫,高楼层 (共6层),119.22㎡,平层,暂无数据,暂无数据,南,未知结构,精装,暂无数据,暂无数据,暂无数据,2022-08-13,商品房,2016-12-20,普通住宅,满五年,共有,有抵押 23万元,已上传房本照片,契税： 首套房1.5% 二套房2% 三套房3% 增值税： 满两年免征， 不满二年 收全额的5.6% 个人所得税： 未满五年1% 满五唯一免个人所得税,小区边上有薛家卫生院，薛家广场，菜场，有商铺，能满足日常生活需求。,出小区上外环高架通达全程方便，上沪蓉高速到边上城市也方便，小区边上有公交站台，出行方便。,,,,,,,,,112464672534,此房诚心卖房，看房方便，配套齐全。,,,
24,万科君望甲第，精装修未入住，看房有钥匙,170万,14584,新北区薛家,万科·弘阳君望甲第,3室2厅1厨2卫,中楼层 (共20层),116.57㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2023-11-25,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,房子是全明格局，落地窗采光好，房子小区位置好,"1、90平以内首套房契税1%，二套房1%，三套或以上3%
2、90平以上首套房契税1.5%，二套房2%，三套或以上3%
3、满五年唯一免个税1%",,,"1、小区生活设施齐全，银行，交通便捷；
2、小区内有健身器材，小型篮球场，可供小区居民使用；
3、小区内停车位充足，建有地上停车场和地下车库；
4、小区内24小时保安巡逻。","1、户型周正格 局分布合理，空间感好通透性强，居住舒适
2、楼层佳，朝向南北，视野开阔，采光透亮；
3、小区环境优美，绿化面积高，干净整洁，内有健身器材和娱乐广场，物业服务态度好；
4、小区地理位置优越，交通便捷，设施齐全，生活便利",,,,,,,,,,
25,南北通风户型好，业主诚心出售，看房随时联系。,153万,11276,新北区薛家,常州奥林匹克花园,3室2厅1厨2卫,低楼层 (共6层),135.69㎡,平层,暂无数据,板塔结合,南 北,钢混结构,简装,两梯两户,有,暂无数据,2023-09-03,商品房,2014-06-26,普通住宅,暂无数据,共有,有抵押,已上传房本照片,南北通风户型好，业主诚心出售，看房随时联系。,1、90平以内首套房契税1%，二套房1%，三套或以上3% 2、90平以上首套房契税1.5%，二套房2%，三套或以上3% 3、不满两年增值税5.6%，满两年免增值税 4、满五年唯一免个税1%,,,1、小区边生活设施齐全，、菜市场、银行、交通便捷； 2、小区内有健身器材，小型篮球场，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车库； 4、小区内24小时保安巡逻。,1、户型周正，格局分布合理，空间感好，通透性强，居住舒适； 2、楼层佳，朝向南北，视野开阔，采光透亮； 3、小区环境优美，绿化面积覆盖高，干净整洁，内有健身器材和娱乐广场，物业服务态度好； 4、小区地理位置优越，交通便捷,,,,,,,,,,
26,怡景名园 精装电梯小高层 采光充足 诚心出售 价格可谈,185万,12019,新北区薛家,怡景名园,4室2厅1厨2卫,低楼层 (共11层),153.93㎡,平层,暂无数据,板塔结合,南,钢混结构,简装,暂无数据,暂无数据,暂无数据,2023-09-07,商品房,2021-01-19,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,户型周正，格局分布合理，空间感好，通透性强，居住舒适,税费：1契税 首套房90平以下 1%，90平以上1.5% 二套房90平以下1%，90平以上2% 三套房不论面积统一3% 2税： 满两年不论面积 全免 不满二年 收全额的5.6% 3个人所得税： 满两年1% 满五免个人所得税,,,1、小区边生活设施齐全，菜市场、银行、交通便捷； 2、小区内有健身器材，小型篮球场，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车库； 4、小区内24小时保安巡逻。小区环境优美，配套齐全，居民素质高，交通配套成熟，,1、户型周正，格局分布合理，空间感好，通透性强，居住舒适； 2、小区环境优美，绿化面积覆盖高，干净整洁，内有健身器材和娱乐广场，物业服务态度好； 3、小区地理位置优越，交通便捷,,,,,,,,,,
27,新城悠活城   四房   房东诚心出售,136万,15222,新北区薛家,新城•悠活城,4室2厅1厨1卫,高楼层 (共34层),89.35㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯五户,有,暂无数据,2023-01-28,商品房,2018-05-18,普通住宅,暂无数据,共有,有抵押,已上传房本照片,小区地理位置优越，交通便捷，配套辐射广，设施齐全，生活便..,1、90平以内首套房契税1%，二套房1%，三套或以上3% 2、90平以上首套房契税1.5%，二套房2%，三套或以上3% 3、不满两年增值税5.6%，满两年免增值税 4、满五年唯一免个税1%,1、小区生活设施齐全，购物广场，菜市场、银行 交通便捷； 2、小区内有健身器材，小型篮球场，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车库； 4、小区内24小时保安巡逻。 本人从事房地产多年，公司有大量好房源，欢迎随时电话咨询,,,,,业主处理多余房产 诚意出售，手续齐全，价格公道，看房方便，随时恭候,,,,,,,,
28,不靠高架 户型方正 南北通透 有钥匙看房,135万,10970,新北区薛家,天逸城北区,3室2厅1厨2卫,低楼层 (共34层),123.07㎡,平层,暂无数据,板塔结合,南 北,钢混结构,毛坯,两梯两户,有,暂无数据,2023-04-03,商品房,2018-05-11,普通住宅,暂无数据,非共有,有抵押 68万元,已上传房本照片,小区地理位置优越，交通便捷，配套辐射广，设施齐全，生活便利,1、90平以内首套房契税1%，二套房1%，三套或以上3% 2、90平以上首套房契税1.5%，二套房2%，三套或以上3% 3、不满两年增值税5.6%，满两年免增值税 4、满五年唯一免个税1%,,,小区环境优美，绿化面积覆盖高，干净整洁，内有健身器材和娱乐广场，物业服务态度好,户型周正，格局分布合理，空间感好通透性强，居住舒适 ，楼层佳，朝向南北，视野开阔，采光透亮,,,,,,,,,,
29,小区环境优雅，配套成熟，自带幼儿园，居住舒适,120万,10785,新北区薛家,白马公馆,3室2厅1厨2卫,低楼层 (共34层),111.27㎡,平层,暂无数据,板塔结合,南 北,钢混结构,毛坯,暂无数据,暂无数据,暂无数据,2022-11-01,商品房,2020-10-10,普通住宅,暂无数据,共有,有抵押 80万元,已上传房本照片,彩虹路小区，环境优雅，配套成熟，自带幼儿园，居住舒适,1.90平以内首套房契税1%，二套房1%，三套或以上3% 2、90平以上首套房契税1.5%，二套房2%，三套或以上3%,,小区门口就有公交站，出门龙城大道和龙城大道高架，向东可到新北区天宁区和经开区，南到钟楼区和武进区，西到奔牛机场，北到薛家和沪蓉高速出入口,白马公馆为绿洲置业又一品牌升级力作，位于飞龙版块地处新北区龙城大道以北，太湖西路与昆仑路交汇处。 会所及沿街组成。满足不同人群的共同梦想居所。高架贯通轻松链接五大区,,,,,,,,,,,
