,标题,总价格,单价,地段,小区名,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,户型介绍,售房详情,税费解析,周边配套,房源核验码,查询房管备案记录,小区介绍,适宜人群,权属抵押,装修描述,交通出行,别墅类型,用水类型,用电类型,燃气价格
10,此房自住理财均OK，非此房莫属！,53.8万,10512,金坛区东城街道,左邻右里,3室1厅1厨1卫,高楼层 (共7层),51.18㎡,暂无数据,暂无数据,暂无数据,东南 南,框架结构,精装,两梯六户,有,暂无数据,2022-07-01,商品房,2020-07-20,普通住宅,满两年,共有,无抵押,已上传房本照片,全新装修，品牌家电，两套两证已打通，可自住一套出租一套,"房型格局好,南北通风户型,南边卧室均全墙落地窗，全天采光，户型方正视野好,干湿分离,明厨明卫，户型设计合理。","业主现诚心出售,证件齐全,欢迎看房,随时恭候,如看中房子,价格可以商量！",此房多出一套税费远房东愿意自行承担——————————契税:A首套90平以下1%B首套90平以上1.5%C二套90平以下1%D二套90平以上 2%E三套都是3%增值税:满两年免征不满2年权额征收5.3%个人所得税:不满5 年征1%,楼下就是xuexiao，开窗即见，从幼儿园到高中均在旁边，优势很大，菜场也在旁边，还有吾悦等商场齐全，包括公园都靠旁边，很是方便。,,,,,,,,,,,
11,城开半岛花园  2房 精装修 拎包入住,76.8万,9097,金坛区东城街道,城开半岛花园,2室2厅1厨1卫,低楼层 (共9层),84.43㎡,平层,暂无数据,暂无数据,南,未知结构,精装,暂无数据,暂无数据,暂无数据,2023-11-21,商品房,2011-06-14,普通住宅,暂无数据,共有,无抵押,已上传房本照片,此房满五唯一，客厅朝南采光好，格局好，楼层好，配套齐全,房子是84.43平的电梯二室 客厅朝南，明厨明卫得房率，保养好可拎包入住,,契税：首套房90平以下 1%，90平以上 1.5%。二套房90平以下1%，90平以上2%。三套房不论面积统一3%。 增值税：满两年不论面积全免，不满两年收全额的5.6%。 个人所得税：满两年1%，满五年且唯一全免。,,,,,上学养老都可以，南边就是钱资湖和人民医院，北面是愚池公园，饭后散步最合适,,,,,,,
12,联排双拼别墅  一~四层 东上手 毛坯 位置佳,316.2万,10300,金坛区东城街道,皇家华园,5室2厅1厨3卫,低楼层 (共4层),307㎡,复式,暂无数据,板塔结合,南 北,框架结构,毛坯,暂无数据,无,暂无数据,2022-04-22,商品房,2014-07-16,普通住宅,暂无数据,共有,有抵押 30万元 公积金 业主自还,已上传房本照片,此房满五不唯一 东上手 纯毛坯 采光好 一致四层 位置佳,,,契税：首套房90平以下 1%，90平以上 1.5%。二套房90平以下1%，90平以上2%。三套房不论面积统一3%。 增值税：满两年不论面积全免，不满两年收全额的5.6%。 个人所得税：满两年1%，满五年且唯一全免,该小区位于繁华地段，有公交站台，购物商场，医院，教育机构，银行等一一俱全，购物出行方便，交通发达，出行方便,,,,,,这是个毛坯房，可以让你有自己的想象或者装修公司来设计，让你有自己想要的装修风格去装饰您温暖的家,,,,,
13,来自于老城区的那份宁静和便利！,58.8万,5496,金坛区东城街道,华苑二村B区,2室2厅1厨1卫,中楼层 (共5层),107㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-11-14,商品房,2015-11-14,普通住宅,暂无数据,共有,无抵押,已上传房本照片,此房子地理位置好，老城区中间地段，生活，出行都很方便。,,"业主因置换房屋，现诚心出售,证件齐全,欢迎看房,随时恭候，看中随时可签。","首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90 平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值 税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5 年成交价的1%",,,,房子的小区大门旁边有公共电助力车，小区大门旁边有公共车站。打滴滴也比较方便滴。,,"此房产权清晰,房源真实,无抵押，业主诚心出售,看房方便,过户全程陪同。",,,,,,
14,中景华府 4室2厅 南,248.8万,13769,金坛区东城街道,中景华府,4室2厅1厨3卫,中楼层 (共26层),180.7㎡,平层,暂无数据,板塔结合,南,框架结构,毛坯,两梯三户,有,暂无数据,2023-10-30,商品房,2021-09-10,普通住宅,暂无数据,共有,无抵押,已上传房本照片,,,,,,,,,,,,,,,,
15,金玉华府，精装修，3室2厅2卫，中间楼层，全景采光，,135万,9783,金坛区东城街道,金玉华府,3室2厅1厨2卫,高楼层 (共21层),138㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,两梯三户,有,暂无数据,2023-11-15,商品房,2018-11-02,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,此房满五唯一，南北通透，视野开阔，采光充足，配套实施齐全,房龄新，户型方方正正，南北通透，双主卧都朝南，采光很棒，客厅南北通透，两个卫生间，并且干湿分离，很实用，,,,,,,,小区环境优美，人文环境优良，孩子上学方便，电梯房老人上下楼方便，,,房东自住房，经典设计，30多万的精装修，房东家有小孩装修材料低碳环保，家具家电都是一线品牌，,,,,,
16,焦园村9-3-1-3 271.28m²,300万,11059,金坛区东城街道,焦园村,9室3厅1厨3卫,低楼层 (共3层),271.28㎡,复式,暂无数据,板塔结合,南 北,框架结构,简装,暂无数据,无,暂无数据,2021-04-13,商品房,2002-05-29,普通住宅,满五年,共有,无抵押,已上传房本照片,此房子质量好。位置地理好。在圣东菜场西边。,,,"首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5年成交价的1%。",,,,,,,房子是房东自己建的，精心装修。地方大，。。。。。。。。。。。。,房子的小区大门旁边有公共电助力车，小区大门旁边有公共车站。打滴滴也比较方便滴。,,,,
17,金水华都，生活便捷，房东诚意出售，静待有缘人,226.8万,11173,金坛区东城街道,金水华都,5室2厅1厨3卫,低楼层 (共26层),203㎡,平层,暂无数据,平房,南,框架结构,精装,两梯四户,有,暂无数据,2023-08-08,商品房,2015-12-30,普通住宅,暂无数据,共有,无抵押,已上传房本照片,"此房格局好,南北通风户型,全天采光,户型方正视野好","房格局好,南北通风户型,全天采光,户型方正视野好,干湿分离,明厨明卫","业主现诚心出售,证件齐,欢迎看房,随时恭候,如看中房子,价格可谈。",契税:A首套90平以下1%B首套90平以上1.5%C二套90平以下1%D二套90平以上 2%E三套都是3%增值税:满两年免征不满2年权额征收5.3%个人所得税:不满5 年征1%,,,,,,,,,,,,
18,松庄独栋别墅，房子192平方，有院子，开价368万,368万,19167,金坛区东城街道,松庄别墅,6室2厅1厨3卫,低楼层 (共2层),192㎡,,暂无数据,,南,框架结构,精装,,,暂无数据,2020-06-23,商品房,2001-09-18,别墅,暂无数据,非共有,无抵押,已上传房本照片,"此房格局好,南北通风户型,全天采光,户型方正视野好",,"业主现诚心出售,证件齐,欢迎看房,随时恭候,如看中房子,价格可谈。","首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90
平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值
税,未满2年征收5.3%",,,,,,"此房产权清晰,房源真实,业主诚心出售,看房方便,过户全程陪同。",,,暂无数据,,,
19,房子户型方正，房东诚心出售  看房提前联系,83.8万,9077,金坛区东城街道,四季雅苑4区,3室2厅1厨1卫,低楼层 (共27层),92.33㎡,平层,暂无数据,板楼,东南,框架结构,简装,一梯六户,有,暂无数据,2023-11-25,商品房,2019-01-30,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,房子虽然是简装，但是已经通风好久了，买好软装就可入住，,,业主现诚心出售，证件齐，欢迎看房，随时恭候， 如看中房子，价格可谈,"：
首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90 平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值 税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5 年成交价的1%。",,,,交通便利，配套齐全。出行便利，小区环境好，绿化高，花草树木一应俱全，空气新鲜。,,,,,,,,
20,吾悦旁的热闹小区，华城二村的现浇房,53.8万,5521,金坛区东城街道,华城二村,2室2厅1厨1卫,中楼层 (共5层),97.45㎡,平层,暂无数据,板楼,南,钢混结构,简装,暂无数据,无,暂无数据,2023-11-17,商品房,2000-11-17,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,此房满5唯一 户型设计合理 属于老精装,,,"契税：首套房90平以下 1%，90平以上 1.5%。
二套房90平以下1%，90平以上2%。
三套房不论面积统一3%。 
增值税：满两年不论面积全免，不满两年收全额的5.6%。 
个人所得税：满两年1%，满五年且唯一全免。",,,,,楼层蛮好的，属于4楼，不是顶楼，离吾悦广场骑电瓶车也就很快，价格包含电瓶车库1个，11平方,"这套房子没有任何贷款，属于全款房，可以随时过户
对于首付款也没有要求",,,,,,
21,金坛区香格里拉山庄5-2-1-3 244.55m²,188万,7688,金坛区东城街道,香格里拉山庄,5室2厅1厨3卫,低楼层 (共3层),244.55㎡,复式,暂无数据,塔楼,南 北,框架结构,毛坯,暂无数据,无,暂无数据,2022-06-27,商品房,2020-04-26,普通住宅,满两年,非共有,无抵押,已上传房本照片,"全天采光,户型方正视野好.房格局好,南北通风户型","房格局好,南北通风户型,全天采光,户型方正视野好,干湿分离,明厨明卫",,"首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90 平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值 税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5 年成交价的1%",,,,,,"此房产权清晰,房源真实,业主诚心出售,看房方便,过户全程陪同。",,,,,,
22,金坛区香格里拉山庄6-2-1-2 258.00m²,191.8万,7468,金坛区东城街道,香格里拉山庄,6室2厅1厨2卫,低楼层 (共3层),256.86㎡,复式,暂无数据,板塔结合,南 北,框架结构,毛坯,暂无数据,无,暂无数据,2021-08-21,商品房,2012-11-29,普通住宅,暂无数据,共有,无抵押,已上传房本照片,"此房格局好,南北通风户型,全天采光,户型方正视野好",,,"首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5年成交价的1%。",房子的小区大门旁边有公共电助力车，小区大门旁边有公共车站。打滴滴也比较方便滴。,,,小区大门前面有公园，晚上可以去运动。离公共车站近。小区西边有商场，购物方便。,,,,,,,,
23,四季雅苑    三室   两厅   一卫,66.8万,7159,金坛区东城街道,四季雅苑4区,3室2厅1厨1卫,高楼层 (共29层),93.31㎡,平层,暂无数据,暂无数据,南 北,钢混结构,毛坯,暂无数据,暂无数据,暂无数据,2022-03-15,商品房,2021-07-01,普通住宅,满两年,非共有,无抵押,已上传房本照片,房子户型好三开间朝南 采光好 楼层好 房东诚心出售,,业主现诚心出售，证件齐，欢迎看房，随时恭候， 如看中房子，好谈,首套房90平以下成交价的1%，90平以上成交价的1.5%，二套房90平以下1%，以上2%，三套房不论大小均为3%；增值税分析：产证满两年免增值税，未满两年征收5.3%；个税：产证满五而且是唯一一套住房，免收个税，未满5念成交价的1%,,,,,,房源产权明晰，没有抵押贷款，房子不满二，需要协议付款，看房可提前联系,,,,,,
24,中景华府 大平层 四室两厅三卫 毛坯 无遮挡 采光好,260万,14445,金坛区东城街道,中景华府,4室2厅1厨3卫,低楼层 (共26层),180㎡,平层,暂无数据,板塔结合,南 北,框架结构,毛坯,一梯三户,有,暂无数据,2022-07-13,商品房,2021-08-05,普通住宅,暂无数据,共有,有抵押 63万元 业主自还,已上传房本照片,"此房格局好,南北通风户型,全天采光,户型方正视野好","房格局好,南北通风户型,全天采光,户型方正视野好,干湿分离,明厨明卫","业主现诚心出售,证件齐,欢迎看房,随时恭候,如看中房子,价格可谈","首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90 平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值 税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5 年成交价的1%。",,,,,,"此房产权清晰,房源真实,业主诚心出售,看房方便,过户全程陪同",,,,,,
25,新城金郡，婚房装修，拎包入住，三室两卫，,179万,15170,金坛区东城街道,金坛新城金郡,3室2厅1厨2卫,低楼层 (共27层),118㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,两梯四户,有,暂无数据,2023-07-07,商品房,2021-07-08,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,新城金郡，婚房装修，拎包入住，三室两卫，诚意出售，随时过户,此房3室2厅2卫，2021年的精装修，南北通透，通风好，双阳台，双主卧设计，两个主卧都朝南，客厅南北通透，厨房朝北，两个卫生间都有窗户，,,,,,,小区环境优美  ，小桥流水  ，鸟语花香，物业贴心，  直上段玉裁，,,,房子是2021年初的精装修，材料环保低碳，一线品牌的家具家电，房东只住了2个月，保持的很好，可有拎包入住，,,,,,
26,金坛区珑庭花园3-2-1-2 137.88m²,85万,6165,金坛区东城街道,珑庭花园,3室2厅1厨2卫,中楼层 (共10层),137.88㎡,平层,暂无数据,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2022-02-12,商品房,2010-05-01,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,"此房格局好,南北通风户型,全天采光,户型方正视野好","房格局好,南北通风户型,全天采光,户型方正视野好,干湿分离,明厨明卫","业主现诚心出售,证件齐,欢迎看房,随时恭候,如看中房子,，，，，，，","首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90 平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值 税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5 年成交价的1%",,,,,,"此房产权清晰,房源真实,业主诚心出售,看房方便,过户全程陪同",,,,,,
27,此房自住理财均OK，非此房莫属！,63.8万,10400,金坛区东城街道,左邻右里,3室1厅1厨1卫,高楼层 (共7层),61.35㎡,平层,暂无数据,暂无数据,东南,框架结构,精装,两梯六户,有,暂无数据,2022-07-01,商品房,2020-07-20,普通住宅,满两年,共有,无抵押,已上传房本照片,全新装修，品牌家电，两套两证已打通，可自住一套出租一套,"房型格局好,南北通风户型,南边卧室均全墙落地窗，全天采光，户型方正视野好,干湿分离,明厨明卫，户型设计合理。","业主现诚心出售,证件齐全,欢迎看房,随时恭候,如看中房子,价格可以商量！",此房多出税费原房东愿意自行承担————————契税:A首套90平以下1%B首套90平以上1.5%C二套90平以下1%D二套90平以上 2%E三套都是3%增值税:满两年免征不满2年权额征收5.3%个人所得税:不满5 年征1%,楼下就是xuexiao，开窗即见，从幼儿园到高中均在旁边，优势很大，菜场也在旁边，还有吾悦等商场齐全，包括公园都靠旁边，很是方便。,,,,,,,,,,,
28,金坛区金郡花园1区3-2-1-1 101.00m²,138万,13664,金坛区东城街道,金郡花园1区,3室2厅1厨1卫,高楼层 (共27层),101㎡,平层,暂无数据,塔楼,南 北,框架结构,精装,两梯四户,有,暂无数据,2023-05-15,商品房,2020-10-21,普通住宅,暂无数据,共有,无抵押,已上传房本照片,"业主人很友好、热情,很有诚意出售。欢迎看房,随时恭候户型棒,",,,首套房90平以下成交价的1%，90平以上成交价的1.5%，二套房90平以下1%，以上2%，三套房不论大小均为3%；增值税分析：产证满两年免增值税，未满两年征收5.3%；个税：产证满五而且是唯一一套住房，免收个税，未满5念成交价的1%,,,,小区环境各方面还是不错的，交通便利，配套齐全。出行便利，小区环境好，绿化高，花草树木一应俱全，空气新鲜,房适合年轻人居住，房子采光好，不临街，社区生活方便，邻里和睦小区内配套齐全，有大型菜市场，公园，医院，出门即是公交站，出行方便！管理以及卫生情况都不错，近小区里有购物点，周末早上小区门口有卖菜的早市，生活便利！,,,,,,,
29,金禧园  3室2厅1厨1卫  111.56平  南北通透,76万,6813,金坛区东城街道,金禧园(金坛市),3室2厅1厨1卫,中楼层 (共5层),111.56㎡,平层,暂无数据,板塔结合,南 北,框架结构,精装,暂无数据,暂无数据,暂无数据,2023-05-04,商品房,2021-03-15,普通住宅,满两年,共有,无抵押,已上传房本照片,南北通透格局好，出行方便，配套齐全。,,业主现诚心出售证件齐欢迎看房随时恭候如看中房子价格可谈售房原因业主工作在金坛单纯出售房屋现状有租户看房需提前联系,"税费解析：

契税：首套房90平以下 1%，90平以上 1.5%。
二套房90平以下1%，90平以上2%。
三套房不论面积统一3%。 
增值税：满两年不论面积全免，不满两年收全额的5.6%。 
个人所得税：满两年1%，满五年且唯一全免。",,,,,,"贷款抵押：目前房屋无任何贷款抵押，随时可以签约交易！
售房原因：单纯出售！",,,,,,
30,新城金郡，直上段玉裁，精装修，3室2卫，次新房,169.7万,14382,金坛区东城街道,金坛新城金郡,3室2厅1厨2卫,低楼层 (共27层),118㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,一梯四户,有,暂无数据,2023-07-11,商品房,2021-06-16,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,拎包入住，直上段玉裁，精装修，3室2卫，次新房，环境优美,3室2厅2卫，环保装修，双主卧设计，主卧次卧都朝南，8米的双阳台设计。客厅朝南，厨房朝北，两个卫生间都有窗户，明厨明卫，全明格局，户型经典，,,,,,,,,房产证满2年，随时可有过户，房子没有抵押，没有贷款，房东是全款购买，产权清晰，没有纠纷，房东诚意出售，随时过户，,2020年的精装修，壁纸，地板实用，整体橱柜，同层排水，一线品牌家具家电，,,,,,
31,"此房格局好,南北通风户型,全天采光,户型方正",156.8万,10954,金坛区东城街道,书香苑,4室3厅1厨2卫,高楼层 (共4层),143.15㎡,复式,暂无数据,板塔结合,南 北,框架结构,精装,暂无数据,暂无数据,暂无数据,2022-06-02,商品房,2011-08-17,普通住宅,暂无数据,共有,无抵押,已上传房本照片,"方正,视野宽阔,采光充足,配套设施齐全,交通便利","房格局好,南北通风户型,全天采光,户型方正视野好,干湿分离,明厨明卫","售房原因,业主置换,看房方便。房屋现状,业主自住随时可签约居住舒适",契税:A首套90平以下1%B首套90平以上1.5%C二套90平以下1%D二套90平以上2%E三套都是3%增值税:满两年免征不满2年权额征收5.3%个人所得税:不满5年征1%,,,,,,,,,,,,
32,哪哪都宽敞的 电梯5楼 153平 三房两卫 一衣帽间,120万,7844,金坛区东城街道,金源福地,3室2厅1厨2卫,中楼层 (共11层),153㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,一梯两户,有,暂无数据,2023-11-21,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房满五不唯一 洋房电梯5 楼精装修 户型房子 南北通风,,,契税：A首套90平以下1%B首套90平以上1.5%C二套90平以下1%D二套90平以上2%E三套都是3%增值税：满二年免征不满2年权额征收5.3%个人所得税：不满5年征1%,,,,,此房电梯中层 适合老人养老 刚需 改善 面积大适合一家人住在一起,"此房产权清晰,房源真实,业主诚心出售,看房方便,过户全程陪同",,,,,,
